  ,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
0,11.0,0.122347,0.634268,0.326552,1.597365,0.151074,AUT,0.0,0.002640,0.070207,0.001213,neutron,pi+,solid
1,11.0,0.140993,0.571001,0.325759,1.660660,0.139928,AUT,0.0,0.002361,0.070207,0.001241,neutron,pi+,solid
2,11.0,0.154161,0.528879,0.325510,1.682190,0.133256,AUT,0.0,0.002426,0.070207,0.001262,neutron,pi+,solid
3,11.0,0.166434,0.496200,0.325229,1.704098,0.127051,AUT,0.0,0.002633,0.070207,0.001283,neutron,pi+,solid
4,11.0,0.179145,0.467244,0.324984,1.727168,0.120684,AUT,0.0,0.002876,0.070207,0.001305,neutron,pi+,solid
5,11.0,0.194122,0.436576,0.324765,1.748450,0.114889,AUT,0.0,0.003110,0.070207,0.001333,neutron,pi+,solid
6,11.0,0.214189,0.401783,0.324555,1.774801,0.112036,AUT,0.0,0.003155,0.070207,0.001371,neutron,pi+,solid
7,11.0,0.246140,0.356325,0.324256,1.806230,0.117837,AUT,0.0,0.002866,0.070207,0.001437,neutron,pi+,solid
8,11.0,0.284141,0.320226,0.324003,1.877553,0.131735,AUT,0.0,0.009163,0.070207,0.001521,neutron,pi+,solid
9,11.0,0.064966,0.796608,0.321580,1.066451,0.345648,AUT,0.0,0.002293,0.070207,0.001149,neutron,pi+,solid
10,11.0,0.073074,0.728679,0.322868,1.098425,0.343044,AUT,0.0,0.002140,0.070207,0.001158,neutron,pi+,solid
11,11.0,0.079591,0.672009,0.323478,1.103474,0.341762,AUT,0.0,0.002229,0.070207,0.001165,neutron,pi+,solid
12,11.0,0.086223,0.627254,0.324005,1.115955,0.340549,AUT,0.0,0.002356,0.070207,0.001172,neutron,pi+,solid
13,11.0,0.096241,0.585549,0.325472,1.162017,0.342461,AUT,0.0,0.002958,0.070207,0.001183,neutron,pi+,solid
14,11.0,0.127334,0.632398,0.330205,1.664518,0.256761,AUT,0.0,0.002336,0.070207,0.001222,neutron,pi+,solid
15,11.0,0.172162,0.522454,0.330050,1.839408,0.227998,AUT,0.0,0.003471,0.070207,0.001294,neutron,pi+,solid
16,11.0,0.245494,0.370485,0.330617,1.861081,0.225936,AUT,0.0,0.010395,0.070207,0.001437,neutron,pi+,solid
17,11.0,0.062315,0.818318,0.326616,1.051076,0.465772,AUT,0.0,0.002252,0.070207,0.001147,neutron,pi+,solid
18,11.0,0.070399,0.748200,0.327849,1.086455,0.455070,AUT,0.0,0.002282,0.070207,0.001156,neutron,pi+,solid
19,11.0,0.078235,0.683327,0.328993,1.102484,0.448698,AUT,0.0,0.002591,0.070207,0.001165,neutron,pi+,solid
20,11.0,0.091314,0.604810,0.330781,1.135862,0.441810,AUT,0.0,0.003850,0.070207,0.001179,neutron,pi+,solid
21,11.0,0.115883,0.510959,0.337689,1.220835,0.425391,AUT,0.0,0.024608,0.070207,0.001209,neutron,pi+,solid
22,11.0,0.118352,0.600093,0.375096,1.461389,0.153885,AUT,0.0,0.002542,0.070207,0.001217,neutron,pi+,solid
23,11.0,0.137881,0.547087,0.374296,1.556210,0.142832,AUT,0.0,0.002392,0.070207,0.001245,neutron,pi+,solid
24,11.0,0.151558,0.515125,0.373879,1.610869,0.134877,AUT,0.0,0.002478,0.070207,0.001267,neutron,pi+,solid
25,11.0,0.165226,0.486570,0.373865,1.658812,0.127495,AUT,0.0,0.002587,0.070207,0.001290,neutron,pi+,solid
26,11.0,0.180311,0.457714,0.373970,1.702789,0.121363,AUT,0.0,0.002772,0.070207,0.001318,neutron,pi+,solid
27,11.0,0.198806,0.425033,0.374043,1.742842,0.115953,AUT,0.0,0.002937,0.070207,0.001353,neutron,pi+,solid
28,11.0,0.226919,0.381200,0.373947,1.782258,0.116591,AUT,0.0,0.002844,0.070207,0.001410,neutron,pi+,solid
29,11.0,0.267696,0.333251,0.373650,1.838176,0.131712,AUT,0.0,0.004839,0.070207,0.001499,neutron,pi+,solid
30,11.0,0.069443,0.757532,0.371493,1.082751,0.353346,AUT,0.0,0.002518,0.070207,0.001161,neutron,pi+,solid
31,11.0,0.080806,0.666125,0.372423,1.109764,0.351759,AUT,0.0,0.002302,0.070207,0.001174,neutron,pi+,solid
32,11.0,0.092207,0.610065,0.373149,1.160291,0.350387,AUT,0.0,0.002309,0.070207,0.001186,neutron,pi+,solid
33,11.0,0.111164,0.630185,0.376189,1.448285,0.292407,AUT,0.0,0.002332,0.070207,0.001208,neutron,pi+,solid
34,11.0,0.131410,0.626272,0.377034,1.697102,0.254123,AUT,0.0,0.002373,0.070207,0.001236,neutron,pi+,solid
35,11.0,0.148938,0.567660,0.376822,1.743474,0.249744,AUT,0.0,0.002505,0.070207,0.001263,neutron,pi+,solid
36,11.0,0.170513,0.505386,0.376656,1.775300,0.247401,AUT,0.0,0.004163,0.070207,0.001301,neutron,pi+,solid
