  ,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
0,8.8,0.109203,0.635192,0.322913,1.138410,0.149934,AUT,0.0,0.001895,0.070207,0.001466,neutron,pi-,solid
1,8.8,0.133817,0.560911,0.323545,1.238301,0.132457,AUT,0.0,0.001934,0.070207,0.001483,neutron,pi-,solid
2,8.8,0.153111,0.523832,0.323822,1.323613,0.122698,AUT,0.0,0.002112,0.070207,0.001503,neutron,pi-,solid
3,8.8,0.172542,0.493893,0.323906,1.406457,0.116462,AUT,0.0,0.002291,0.070207,0.001525,neutron,pi-,solid
4,8.8,0.194696,0.470254,0.323936,1.511214,0.112750,AUT,0.0,0.002368,0.070207,0.001553,neutron,pi-,solid
5,8.8,0.232671,0.435831,0.323964,1.670234,0.111791,AUT,0.0,0.002306,0.070207,0.001601,neutron,pi-,solid
6,8.8,0.287293,0.398405,0.323829,1.889614,0.123044,AUT,0.0,0.009877,0.070207,0.001664,neutron,pi-,solid
7,8.8,0.088500,0.736806,0.323185,1.074357,0.309389,AUT,0.0,0.001867,0.070207,0.001460,neutron,pi-,solid
8,8.8,0.102669,0.676945,0.323714,1.146989,0.298492,AUT,0.0,0.002068,0.070207,0.001464,neutron,pi-,solid
9,8.8,0.114402,0.639412,0.323890,1.207439,0.293681,AUT,0.0,0.002402,0.070207,0.001470,neutron,pi-,solid
10,8.8,0.126671,0.607154,0.323998,1.269476,0.291898,AUT,0.0,0.002887,0.070207,0.001480,neutron,pi-,solid
11,8.8,0.140560,0.573977,0.324010,1.331606,0.291474,AUT,0.0,0.003484,0.070207,0.001492,neutron,pi-,solid
12,8.8,0.156631,0.538528,0.324030,1.392024,0.291977,AUT,0.0,0.004040,0.070207,0.001509,neutron,pi-,solid
13,8.8,0.176207,0.499107,0.323972,1.451078,0.293299,AUT,0.0,0.004030,0.070207,0.001531,neutron,pi-,solid
14,8.8,0.203326,0.463177,0.323915,1.553223,0.294292,AUT,0.0,0.004185,0.070207,0.001564,neutron,pi-,solid
15,8.8,0.248351,0.421747,0.324000,1.725572,0.293711,AUT,0.0,0.006808,0.070207,0.001619,neutron,pi-,solid
16,8.8,0.090795,0.731173,0.324498,1.092386,0.482465,AUT,0.0,0.001900,0.070207,0.001460,neutron,pi-,solid
17,8.8,0.112172,0.647301,0.324385,1.197192,0.484007,AUT,0.0,0.001917,0.070207,0.001469,neutron,pi-,solid
18,8.8,0.134207,0.585241,0.324474,1.295038,0.482553,AUT,0.0,0.002095,0.070207,0.001486,neutron,pi-,solid
19,8.8,0.161922,0.528012,0.324669,1.409408,0.479730,AUT,0.0,0.002725,0.070207,0.001515,neutron,pi-,solid
20,8.8,0.202236,0.470064,0.324760,1.564727,0.478424,AUT,0.0,0.004271,0.070207,0.001563,neutron,pi-,solid
21,8.8,0.258958,0.415226,0.324807,1.772791,0.480740,AUT,0.0,0.018182,0.070207,0.001631,neutron,pi-,solid
22,8.8,0.129730,0.656824,0.330630,1.362235,0.638573,AUT,0.0,0.008616,0.070207,0.001490,neutron,pi-,solid
23,8.8,0.117992,0.601822,0.373172,1.163994,0.144140,AUT,0.0,0.001834,0.070207,0.001454,neutron,pi-,solid
24,8.8,0.148754,0.525935,0.373692,1.290284,0.125648,AUT,0.0,0.001990,0.070207,0.001478,neutron,pi-,solid
25,8.8,0.174842,0.486068,0.373793,1.402122,0.117868,AUT,0.0,0.002147,0.070207,0.001506,neutron,pi-,solid
26,8.8,0.207130,0.457388,0.373856,1.562263,0.115149,AUT,0.0,0.002173,0.070207,0.001544,neutron,pi-,solid
27,8.8,0.254356,0.418631,0.373795,1.755167,0.119649,AUT,0.0,0.003372,0.070207,0.001597,neutron,pi-,solid
28,8.8,0.092449,0.717069,0.373188,1.091132,0.311319,AUT,0.0,0.001848,0.070207,0.001446,neutron,pi-,solid
29,8.8,0.110147,0.648096,0.373753,1.177846,0.299438,AUT,0.0,0.002038,0.070207,0.001451,neutron,pi-,solid
30,8.8,0.125617,0.606987,0.373993,1.258266,0.294130,AUT,0.0,0.002439,0.070207,0.001461,neutron,pi-,solid
31,8.8,0.143407,0.567037,0.374048,1.341700,0.292021,AUT,0.0,0.003142,0.070207,0.001476,neutron,pi-,solid
32,8.8,0.165656,0.520783,0.374046,1.422907,0.291417,AUT,0.0,0.004236,0.070207,0.001498,neutron,pi-,solid
33,8.8,0.195604,0.472547,0.374056,1.523985,0.292437,AUT,0.0,0.005064,0.070207,0.001531,neutron,pi-,solid
34,8.8,0.243876,0.424701,0.374071,1.705637,0.292820,AUT,0.0,0.006722,0.070207,0.001585,neutron,pi-,solid
35,8.8,0.092679,0.723402,0.374187,1.102480,0.488281,AUT,0.0,0.002106,0.070207,0.001446,neutron,pi-,solid
