Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.0000	 0.1390
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1390	 0.1570
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1570	 0.1748
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1748	 0.1959
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1959	 0.2294
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2294	 0.7000
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0000	 0.0706
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0706	 0.0789
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0789	 0.0873
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0873	 0.1082
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1082	 0.1667
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1667	 0.7000
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0000	 0.0686
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0686	 0.0790
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0790	 0.1000
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1000	 0.7000
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.0000	 0.1370
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1370	 0.1567
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1567	 0.1781
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1781	 0.2073
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.2073	 0.2810
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.2810	 0.7000
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.0000	 0.0802
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.0802	 0.0963
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.0963	 0.1254
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1254	 0.1507
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1507	 0.1903
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1903	 0.7000
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.0000	 0.0687
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.0687	 0.0759
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.0759	 0.0835
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.0835	 0.0952
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.0952	 0.7000
1.0	 2.0	 0.35	 0.40	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.0000	 0.1407
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.1407	 0.1686
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.1686	 0.2037
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.2037	 0.7000
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.0000	 0.0964
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.0964	 0.1239
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1239	 0.1427
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1427	 0.1658
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1658	 0.2161
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.2161	 0.7000
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.0000	 0.0724
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.0724	 0.0809
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.0809	 0.0901
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.0901	 0.1059
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.1059	 0.7000
1.0	 2.0	 0.40	 0.45	 0.6	 0.8	 0.0000	 0.0968
1.0	 2.0	 0.40	 0.45	 0.6	 0.8	 0.0968	 0.7000
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.0000	 0.1527
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.1527	 0.1960
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.1960	 0.7000
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.0000	 0.1125
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1125	 0.1329
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1329	 0.1529
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1529	 0.1852
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1852	 0.7000
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.0000	 0.0779
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.0779	 0.0894
