Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.0000	 0.1235
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1235	 0.1436
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1436	 0.1627
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1627	 0.1827
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1827	 0.2086
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2086	 0.2762
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2762	 0.7000
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0000	 0.0965
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0965	 0.1086
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1086	 0.1203
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1203	 0.1333
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1333	 0.1482
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1482	 0.1656
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1656	 0.1877
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1877	 0.2238
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.2238	 0.7000
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0000	 0.1022
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1022	 0.1223
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1223	 0.1470
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1470	 0.1785
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1785	 0.2374
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.2374	 0.7000
1.0	 2.0	 0.30	 0.35	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.0000	 0.1355
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1355	 0.1617
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1617	 0.1885
