Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.0000	 0.1175
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1175	 0.1333
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1333	 0.1471
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1471	 0.1604
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1604	 0.1740
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1740	 0.1886
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1886	 0.2062
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2062	 0.2345
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2345	 0.7000
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0000	 0.0927
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0927	 0.1021
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1021	 0.1108
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1108	 0.1193
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1193	 0.1281
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1281	 0.1376
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1376	 0.1482
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1482	 0.1603
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1603	 0.1742
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1742	 0.1905
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1905	 0.2131
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.2131	 0.2649
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.2649	 0.7000
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0000	 0.0968
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0968	 0.1122
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1122	 0.1272
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1272	 0.1442
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1442	 0.1642
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1642	 0.1892
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1892	 0.2317
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.2317	 0.7000
1.0	 2.0	 0.30	 0.35	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.0000	 0.1266
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1266	 0.1459
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1459	 0.1634
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1634	 0.1809
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1809	 0.2013
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.2013	 0.2352
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.2352	 0.7000
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.0000	 0.0980
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.0980	 0.1096
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1096	 0.1205
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1205	 0.1317
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1317	 0.1442
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1442	 0.1587
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1587	 0.1757
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1757	 0.1966
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1966	 0.2336
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.2336	 0.7000
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.0000	 0.0991
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.0991	 0.1162
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.1162	 0.1353
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.1353	 0.1580
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.1580	 0.1853
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.1853	 0.2303
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.2303	 0.7000
1.0	 2.0	 0.35	 0.40	 0.6	 0.8	 0.0000	 0.1491
1.0	 2.0	 0.35	 0.40	 0.6	 0.8	 0.1491	 0.7000
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.0000	 0.1366
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.1366	 0.1602
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.1602	 0.1832
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.1832	 0.2119
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.2119	 0.7000
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.0000	 0.1041
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1041	 0.1190
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1190	 0.1329
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1329	 0.1487
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1487	 0.1673
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1673	 0.1891
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1891	 0.2263
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.2263	 0.7000
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.0000	 0.1031
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.1031	 0.1240
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.1240	 0.1495
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.1495	 0.1811
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.1811	 0.2420
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.2420	 0.7000
1.0	 2.0	 0.40	 0.45	 0.6	 0.8	 0.0000	 0.1320
1.0	 2.0	 0.40	 0.45	 0.6	 0.8	 0.1320	 0.2221
1.0	 2.0	 0.40	 0.45	 0.6	 0.8	 0.2221	 0.7000
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.0000	 0.1477
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.1477	 0.1772
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.1772	 0.2130
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.2130	 0.7000
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.0000	 0.1115
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1115	 0.1299
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1299	 0.1495
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1495	 0.1728
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1728	 0.2048
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.2048	 0.7000
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.0000	 0.1082
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.1082	 0.1360
