Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.0000	 0.1787
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1787	 0.2122
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2122	 0.2694
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2694	 0.7000
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0000	 0.0962
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0962	 0.1176
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1176	 0.1708
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1708	 0.7000
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0000	 0.1113
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1113	 0.7000
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.0000	 0.1674
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1674	 0.1988
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1988	 0.2405
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.2405	 0.7000
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.0000	 0.1071
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1071	 0.1501
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1501	 0.2015
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.2015	 0.7000
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.0000	 0.1002
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.1002	 0.1280
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.1280	 0.7000
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.0000	 0.1666
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.1666	 0.2014
