  ,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
0,11.0,0.071694,0.765134,0.322582,1.126526,0.130218,AUT,0.0,0.008384,0.070207,0.009064,proton,pi-,solid
1,11.0,0.086220,0.684608,0.322785,1.217522,0.129002,AUT,0.0,0.009146,0.070207,0.009064,proton,pi-,solid
2,11.0,0.096357,0.647941,0.322979,1.288275,0.128231,AUT,0.0,0.008529,0.070207,0.009054,proton,pi-,solid
3,11.0,0.105695,0.619153,0.323091,1.350367,0.127695,AUT,0.0,0.007664,0.070207,0.009037,proton,pi-,solid
4,11.0,0.115322,0.587408,0.323176,1.397729,0.127458,AUT,0.0,0.007081,0.070207,0.009015,proton,pi-,solid
5,11.0,0.125467,0.551519,0.323392,1.427680,0.127424,AUT,0.0,0.006712,0.070207,0.008987,proton,pi-,solid
6,11.0,0.136485,0.513547,0.323476,1.446069,0.128119,AUT,0.0,0.006317,0.070207,0.008953,proton,pi-,solid
7,11.0,0.149225,0.473604,0.323542,1.457889,0.128751,AUT,0.0,0.005735,0.070207,0.008908,proton,pi-,solid
8,11.0,0.164628,0.431473,0.323599,1.464980,0.129960,AUT,0.0,0.005293,0.070207,0.008850,proton,pi-,solid
9,11.0,0.184372,0.387916,0.323610,1.474824,0.131044,AUT,0.0,0.005045,0.070207,0.008772,proton,pi-,solid
10,11.0,0.216253,0.354814,0.323630,1.581104,0.132551,AUT,0.0,0.004917,0.070207,0.008637,proton,pi-,solid
11,11.0,0.264056,0.326790,0.323596,1.779427,0.134189,AUT,0.0,0.009279,0.070207,0.008455,proton,pi-,solid
12,11.0,0.066102,0.808505,0.324001,1.099208,0.296755,AUT,0.0,0.008718,0.070207,0.009062,proton,pi-,solid
13,11.0,0.076935,0.726935,0.324084,1.153744,0.295437,AUT,0.0,0.007864,0.070207,0.009069,proton,pi-,solid
14,11.0,0.084680,0.686028,0.324159,1.198709,0.295372,AUT,0.0,0.006766,0.070207,0.009068,proton,pi-,solid
15,11.0,0.091670,0.656571,0.324192,1.242115,0.294916,AUT,0.0,0.006529,0.070207,0.009064,proton,pi-,solid
16,11.0,0.098115,0.633432,0.324285,1.282660,0.294993,AUT,0.0,0.006523,0.070207,0.009056,proton,pi-,solid
17,11.0,0.104338,0.613123,0.324266,1.320280,0.294963,AUT,0.0,0.006349,0.070207,0.009045,proton,pi-,solid
18,11.0,0.110876,0.589861,0.324280,1.349729,0.294963,AUT,0.0,0.006121,0.070207,0.009031,proton,pi-,solid
19,11.0,0.117633,0.566410,0.324287,1.375071,0.295211,AUT,0.0,0.006216,0.070207,0.009015,proton,pi-,solid
