Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.0000	 0.1279
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1279	 0.1484
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1484	 0.1836
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1836	 0.7000
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0000	 0.0779
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0779	 0.0993
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0993	 0.1283
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1283	 0.1733
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1733	 0.7000
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0000	 0.0980
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0980	 0.7000
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.0000	 0.1205
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1205	 0.1395
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1395	 0.1653
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1653	 0.7000
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.0000	 0.0863
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.0863	 0.1158
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1158	 0.1398
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1398	 0.1683
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1683	 0.7000
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.0000	 0.0814
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.0814	 0.1094
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.1094	 0.7000
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.0000	 0.1185
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.1185	 0.1404
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.1404	 0.1725
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.1725	 0.7000
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.0000	 0.1015
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1015	 0.1251
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1251	 0.1458
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1458	 0.1727
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1727	 0.2465
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.2465	 0.7000
