Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.30	 0.35	 0.0	 0.4	 0.0000	 0.1472
1.0	 2.0	 0.30	 0.35	 0.0	 0.4	 0.1472	 0.2273
1.0	 2.0	 0.30	 0.35	 0.0	 0.4	 0.2273	 0.7000
1.0	 2.0	 0.30	 0.35	 0.4	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.0000	 0.2253
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.2253	 0.7000
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.0000	 0.1787
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1787	 0.7000
1.0	 2.0	 0.35	 0.40	 0.4	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.0000	 0.2222
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.2222	 0.7000
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.0000	 0.1816
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1816	 0.7000
1.0	 2.0	 0.40	 0.45	 0.4	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.45	 0.50	 0.0	 0.4	 0.0000	 0.1495
1.0	 2.0	 0.45	 0.50	 0.0	 0.4	 0.1495	 0.2073
1.0	 2.0	 0.45	 0.50	 0.0	 0.4	 0.2073	 0.7000
1.0	 2.0	 0.45	 0.50	 0.4	 0.8	 0.0000	 0.1832
1.0	 2.0	 0.45	 0.50	 0.4	 0.8	 0.1832	 0.7000
1.0	 2.0	 0.50	 0.55	 0.0	 0.4	 0.0000	 0.1589
1.0	 2.0	 0.50	 0.55	 0.0	 0.4	 0.1589	 0.2406
1.0	 2.0	 0.50	 0.55	 0.0	 0.4	 0.2406	 0.7000
1.0	 2.0	 0.50	 0.55	 0.4	 0.8	 0.0000	 0.1890
1.0	 2.0	 0.50	 0.55	 0.4	 0.8	 0.1890	 0.7000
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.0000	 0.1703
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.1703	 0.7000
1.0	 2.0	 0.55	 0.60	 0.4	 1.0	 0.0000	 0.2690
1.0	 2.0	 0.55	 0.60	 0.4	 1.0	 0.2690	 0.7000
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.0000	 0.1867
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.1867	 0.7000
1.0	 2.0	 0.60	 0.65	 0.4	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.65	 0.70	 0.0	 0.6	 0.0000	 0.1756
1.0	 2.0	 0.65	 0.70	 0.0	 0.6	 0.1756	 0.7000
2.0	 3.0	 0.30	 0.35	 0.0	 0.4	 0.0000	 0.2550
2.0	 3.0	 0.30	 0.35	 0.0	 0.4	 0.2550	 0.7000
2.0	 3.0	 0.35	 0.40	 0.0	 0.4	 0.0000	 0.2527
2.0	 3.0	 0.35	 0.40	 0.0	 0.4	 0.2527	 0.7000
2.0	 3.0	 0.40	 0.45	 0.0	 0.4	 0.0000	 0.2687
2.0	 3.0	 0.40	 0.45	 0.0	 0.4	 0.2687	 0.7000
2.0	 3.0	 0.45	 0.50	 0.0	 0.4	 0.0000	 0.2999
2.0	 3.0	 0.45	 0.50	 0.0	 0.4	 0.2999	 0.7000
2.0	 3.0	 0.45	 0.50	 0.4	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.50	 0.55	 0.0	 0.6	 0.0000	 0.2941
2.0	 3.0	 0.50	 0.55	 0.0	 0.6	 0.2941	 0.7000
2.0	 3.0	 0.55	 0.60	 0.0	 0.8	 0.0000	 0.3584
2.0	 3.0	 0.55	 0.60	 0.0	 0.8	 0.3584	 0.7000
2.0	 3.0	 0.60	 0.65	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.65	 0.70	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.30	 0.35	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.35	 0.40	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.40	 0.45	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.45	 0.50	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.50	 0.55	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.55	 0.60	 0.0	 1.6	 0.0000	 0.7000
4.0	 5.0	 0.30	 0.35	 0.0	 1.6	 0.0000	 0.7000
4.0	 5.0	 0.35	 0.40	 0.0	 1.6	 0.0000	 0.7000
4.0	 5.0	 0.40	 0.45	 0.0	 1.6	 0.0000	 0.7000
