i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment,Dependence
0,27.6,0.03752505,0.643301182255363,0.1509102,1.250269,0.1104111,M_Hermes,3.958759,0.05016465,0,0.4982168,deuteron,pi+,hermes,NA
1,27.6,0.03752505,0.643301182255363,0.1548277,1.250269,0.2226635,M_Hermes,8.119493,0.06337268,0,0.5313309,deuteron,pi+,hermes,NA
2,27.6,0.03752505,0.643301182255363,0.1564604,1.250269,0.3287458,M_Hermes,9.023596,0.0621737,0,0.411911,deuteron,pi+,hermes,NA
3,27.6,0.03752505,0.643301182255363,0.1589897,1.250269,0.4397235,M_Hermes,7.179964,0.0610451,0,0.2614694,deuteron,pi+,hermes,NA
4,27.6,0.03752505,0.643301182255363,0.1615771,1.250269,0.5778117,M_Hermes,4.522384,0.05202488,0,0.3266121,deuteron,pi+,hermes,NA
5,27.6,0.03752505,0.643301182255363,0.1665684,1.250269,0.7812505,M_Hermes,1.762375,0.05265482,0,0.306772,deuteron,pi+,hermes,NA
6,27.6,0.03752366,0.643388301812006,0.1690838,1.250392,1.034574,M_Hermes,0.2307967,0.05030301,0,0.03934285,deuteron,pi+,hermes,NA
7,27.6,0.03752505,0.643301182255363,0.2287176,1.250269,0.1037035,M_Hermes,1.774099,0.0485584,0,0.08794667,deuteron,pi+,hermes,NA
8,27.6,0.03752505,0.643301182255363,0.233352,1.250269,0.2124866,M_Hermes,4.007687,0.06812956,0,0.2427637,deuteron,pi+,hermes,NA
9,27.6,0.03752505,0.643301182255363,0.2352547,1.250269,0.315913,M_Hermes,4.556011,0.06424602,0,0.3481957,deuteron,pi+,hermes,NA
10,27.6,0.03752505,0.643301182255363,0.2372395,1.250269,0.4223607,M_Hermes,4.38649,0.05769644,0,0.3409993,deuteron,pi+,hermes,NA
11,27.6,0.03752505,0.643301182255363,0.2414499,1.250269,0.5588681,M_Hermes,2.928773,0.03836837,0,0.129521,deuteron,pi+,hermes,NA
12,27.6,0.03752505,0.643301182255363,0.2473463,1.250269,0.7520168,M_Hermes,1.253468,0.02606083,0,0.1289586,deuteron,pi+,hermes,NA
13,27.6,0.03752505,0.643301182255363,0.2491446,1.250269,1.028318,M_Hermes,0.2404978,0.0145912,0,0.02507477,deuteron,pi+,hermes,NA
14,27.6,0.03752505,0.643301182255363,0.2799762,1.250269,0.1036415,M_Hermes,1.185153,0.04269664,0,0.04530847,deuteron,pi+,hermes,NA
