Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.30	 0.35	 0.0	 0.4	 0.0000	 0.0742
1.0	 2.0	 0.30	 0.35	 0.0	 0.4	 0.0742	 0.7000
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0000	 0.0709
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0709	 0.7000
1.0	 2.0	 0.35	 0.40	 0.0	 0.4	 0.0000	 0.0821
1.0	 2.0	 0.35	 0.40	 0.0	 0.4	 0.0821	 0.1195
1.0	 2.0	 0.35	 0.40	 0.0	 0.4	 0.1195	 0.1553
1.0	 2.0	 0.35	 0.40	 0.0	 0.4	 0.1553	 0.7000
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.0000	 0.0695
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.0695	 0.0777
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.0777	 0.0888
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.0888	 0.7000
1.0	 2.0	 0.40	 0.45	 0.0	 0.4	 0.0000	 0.0991
1.0	 2.0	 0.40	 0.45	 0.0	 0.4	 0.0991	 0.1215
1.0	 2.0	 0.40	 0.45	 0.0	 0.4	 0.1215	 0.1388
1.0	 2.0	 0.40	 0.45	 0.0	 0.4	 0.1388	 0.1635
1.0	 2.0	 0.40	 0.45	 0.0	 0.4	 0.1635	 0.7000
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.0000	 0.0737
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.0737	 0.0828
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.0828	 0.0942
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.0942	 0.7000
1.0	 2.0	 0.40	 0.45	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.0000	 0.1638
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.1638	 0.7000
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.0000	 0.1142
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1142	 0.1346
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1346	 0.1591
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1591	 0.7000
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.0000	 0.0790
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.0790	 0.0917
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.0917	 0.1174
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.1174	 0.7000
1.0	 2.0	 0.45	 0.50	 0.6	 0.8	 0.0000	 0.0842
1.0	 2.0	 0.45	 0.50	 0.6	 0.8	 0.0842	 0.7000
1.0	 2.0	 0.50	 0.55	 0.0	 0.2	 0.0000	 0.1759
1.0	 2.0	 0.50	 0.55	 0.0	 0.2	 0.1759	 0.7000
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.0000	 0.1212
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.1212	 0.1444
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.1444	 0.1804
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.1804	 0.7000
1.0	 2.0	 0.50	 0.55	 0.4	 0.6	 0.0000	 0.0858
1.0	 2.0	 0.50	 0.55	 0.4	 0.6	 0.0858	 0.1112
1.0	 2.0	 0.50	 0.55	 0.4	 0.6	 0.1112	 0.7000
1.0	 2.0	 0.50	 0.55	 0.6	 0.8	 0.0000	 0.0858
1.0	 2.0	 0.50	 0.55	 0.6	 0.8	 0.0858	 0.7000
1.0	 2.0	 0.50	 0.55	 0.8	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.55	 0.60	 0.0	 0.2	 0.0000	 0.2035
1.0	 2.0	 0.55	 0.60	 0.0	 0.2	 0.2035	 0.7000
1.0	 2.0	 0.55	 0.60	 0.2	 0.4	 0.0000	 0.1276
1.0	 2.0	 0.55	 0.60	 0.2	 0.4	 0.1276	 0.1595
1.0	 2.0	 0.55	 0.60	 0.2	 0.4	 0.1595	 0.7000
1.0	 2.0	 0.55	 0.60	 0.4	 0.6	 0.0000	 0.0974
1.0	 2.0	 0.55	 0.60	 0.4	 0.6	 0.0974	 0.1540
1.0	 2.0	 0.55	 0.60	 0.4	 0.6	 0.1540	 0.7000
1.0	 2.0	 0.55	 0.60	 0.6	 0.8	 0.0000	 0.0919
1.0	 2.0	 0.55	 0.60	 0.6	 0.8	 0.0919	 0.7000
1.0	 2.0	 0.55	 0.60	 0.8	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.0000	 0.1326
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.1326	 0.1662
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.1662	 0.2362
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.2362	 0.7000
1.0	 2.0	 0.60	 0.65	 0.4	 0.6	 0.0000	 0.1194
1.0	 2.0	 0.60	 0.65	 0.4	 0.6	 0.1194	 0.7000
1.0	 2.0	 0.60	 0.65	 0.6	 0.8	 0.0000	 0.1029
1.0	 2.0	 0.60	 0.65	 0.6	 0.8	 0.1029	 0.7000
1.0	 2.0	 0.60	 0.65	 0.8	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.65	 0.70	 0.0	 0.4	 0.0000	 0.1470
1.0	 2.0	 0.65	 0.70	 0.0	 0.4	 0.1470	 0.2103
1.0	 2.0	 0.65	 0.70	 0.0	 0.4	 0.2103	 0.7000
1.0	 2.0	 0.65	 0.70	 0.4	 0.6	 0.0000	 0.1387
1.0	 2.0	 0.65	 0.70	 0.4	 0.6	 0.1387	 0.7000
1.0	 2.0	 0.65	 0.70	 0.6	 0.8	 0.0000	 0.1317
1.0	 2.0	 0.65	 0.70	 0.6	 0.8	 0.1317	 0.7000
