Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.30	 0.35	 0.0	 0.4	 0.0000	 0.0705
1.0	 2.0	 0.30	 0.35	 0.0	 0.4	 0.0705	 0.0779
1.0	 2.0	 0.30	 0.35	 0.0	 0.4	 0.0779	 0.0865
1.0	 2.0	 0.30	 0.35	 0.0	 0.4	 0.0865	 0.0962
1.0	 2.0	 0.30	 0.35	 0.0	 0.4	 0.0962	 0.1076
1.0	 2.0	 0.30	 0.35	 0.0	 0.4	 0.1076	 0.1223
1.0	 2.0	 0.30	 0.35	 0.0	 0.4	 0.1223	 0.7000
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0000	 0.0644
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0644	 0.0690
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0690	 0.0735
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0735	 0.0785
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0785	 0.0840
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0840	 0.0905
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0905	 0.0992
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0992	 0.1100
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1100	 0.1290
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1290	 0.7000
1.0	 2.0	 0.30	 0.35	 0.6	 0.8	 0.0000	 0.0719
1.0	 2.0	 0.30	 0.35	 0.6	 0.8	 0.0719	 0.0889
1.0	 2.0	 0.30	 0.35	 0.6	 0.8	 0.0889	 0.1394
1.0	 2.0	 0.30	 0.35	 0.6	 0.8	 0.1394	 0.7000
1.0	 2.0	 0.35	 0.40	 0.0	 0.4	 0.0000	 0.0750
1.0	 2.0	 0.35	 0.40	 0.0	 0.4	 0.0750	 0.0817
1.0	 2.0	 0.35	 0.40	 0.0	 0.4	 0.0817	 0.0880
1.0	 2.0	 0.35	 0.40	 0.0	 0.4	 0.0880	 0.0947
1.0	 2.0	 0.35	 0.40	 0.0	 0.4	 0.0947	 0.1016
