Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.35	 0.40	 0.0	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.40	 0.45	 0.0	 0.4	 0.0000	 0.1461
1.0	 2.0	 0.40	 0.45	 0.0	 0.4	 0.1461	 0.7000
1.0	 2.0	 0.40	 0.45	 0.4	 0.8	 0.0000	 0.1124
1.0	 2.0	 0.40	 0.45	 0.4	 0.8	 0.1124	 0.7000
1.0	 2.0	 0.45	 0.50	 0.0	 0.4	 0.0000	 0.1239
1.0	 2.0	 0.45	 0.50	 0.0	 0.4	 0.1239	 0.7000
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.0000	 0.1306
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.1306	 0.7000
1.0	 2.0	 0.45	 0.50	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.50	 0.55	 0.0	 0.4	 0.0000	 0.1312
1.0	 2.0	 0.50	 0.55	 0.0	 0.4	 0.1312	 0.7000
1.0	 2.0	 0.50	 0.55	 0.4	 0.6	 0.0000	 0.1377
1.0	 2.0	 0.50	 0.55	 0.4	 0.6	 0.1377	 0.7000
1.0	 2.0	 0.50	 0.55	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.0000	 0.1404
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.1404	 0.7000
1.0	 2.0	 0.55	 0.60	 0.4	 0.6	 0.0000	 0.1526
1.0	 2.0	 0.55	 0.60	 0.4	 0.6	 0.1526	 0.7000
1.0	 2.0	 0.55	 0.60	 0.6	 1.6	 0.0000	 0.2007
1.0	 2.0	 0.55	 0.60	 0.6	 1.6	 0.2007	 0.7000
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.0000	 0.1554
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.1554	 0.7000
1.0	 2.0	 0.60	 0.65	 0.4	 0.6	 0.0000	 0.1858
1.0	 2.0	 0.60	 0.65	 0.4	 0.6	 0.1858	 0.7000
1.0	 2.0	 0.60	 0.65	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.65	 0.70	 0.0	 0.4	 0.0000	 0.1771
1.0	 2.0	 0.65	 0.70	 0.0	 0.4	 0.1771	 0.7000
1.0	 2.0	 0.65	 0.70	 0.4	 0.8	 0.0000	 0.1527
1.0	 2.0	 0.65	 0.70	 0.4	 0.8	 0.1527	 0.7000
2.0	 3.0	 0.50	 0.55	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.55	 0.60	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.60	 0.65	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.65	 0.70	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.50	 0.55	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.55	 0.60	 0.0	 1.6	 0.0000	 0.7000
