Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.35	 0.40	 0.0	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.40	 0.45	 0.0	 0.6	 0.0000	 0.0991
1.0	 2.0	 0.40	 0.45	 0.0	 0.6	 0.0991	 0.7000
1.0	 2.0	 0.45	 0.50	 0.0	 0.4	 0.0000	 0.1452
1.0	 2.0	 0.45	 0.50	 0.0	 0.4	 0.1452	 0.7000
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.0000	 0.1111
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.1111	 0.7000
1.0	 2.0	 0.45	 0.50	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.50	 0.55	 0.0	 0.4	 0.0000	 0.1415
1.0	 2.0	 0.50	 0.55	 0.0	 0.4	 0.1415	 0.1881
1.0	 2.0	 0.50	 0.55	 0.0	 0.4	 0.1881	 0.7000
1.0	 2.0	 0.50	 0.55	 0.4	 0.6	 0.0000	 0.1169
1.0	 2.0	 0.50	 0.55	 0.4	 0.6	 0.1169	 0.7000
1.0	 2.0	 0.50	 0.55	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.0000	 0.1422
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.1422	 0.1817
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.1817	 0.7000
1.0	 2.0	 0.55	 0.60	 0.4	 0.6	 0.0000	 0.1351
1.0	 2.0	 0.55	 0.60	 0.4	 0.6	 0.1351	 0.7000
1.0	 2.0	 0.55	 0.60	 0.6	 1.0	 0.0000	 0.1535
1.0	 2.0	 0.55	 0.60	 0.6	 1.0	 0.1535	 0.7000
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.0000	 0.1468
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.1468	 0.1903
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.1903	 0.7000
1.0	 2.0	 0.60	 0.65	 0.4	 0.6	 0.0000	 0.1643
1.0	 2.0	 0.60	 0.65	 0.4	 0.6	 0.1643	 0.7000
1.0	 2.0	 0.60	 0.65	 0.6	 1.0	 0.0000	 0.1702
1.0	 2.0	 0.60	 0.65	 0.6	 1.0	 0.1702	 0.7000
1.0	 2.0	 0.65	 0.70	 0.0	 0.4	 0.0000	 0.1532
1.0	 2.0	 0.65	 0.70	 0.0	 0.4	 0.1532	 0.2103
1.0	 2.0	 0.65	 0.70	 0.0	 0.4	 0.2103	 0.7000
1.0	 2.0	 0.65	 0.70	 0.4	 0.6	 0.0000	 0.2173
1.0	 2.0	 0.65	 0.70	 0.4	 0.6	 0.2173	 0.7000
1.0	 2.0	 0.65	 0.70	 0.6	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.50	 0.55	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.55	 0.60	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.60	 0.65	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.65	 0.70	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.50	 0.55	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.55	 0.60	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.60	 0.65	 0.0	 1.6	 0.0000	 0.7000
4.0	 5.0	 0.50	 0.55	 0.0	 1.6	 0.0000	 0.7000
