Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.30	 0.35	 0.0	 0.6	 0.0000	 0.1334
1.0	 2.0	 0.30	 0.35	 0.0	 0.6	 0.1334	 0.7000
1.0	 2.0	 0.35	 0.40	 0.0	 0.4	 0.0000	 0.1170
1.0	 2.0	 0.35	 0.40	 0.0	 0.4	 0.1170	 0.7000
1.0	 2.0	 0.35	 0.40	 0.4	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.40	 0.45	 0.0	 0.4	 0.0000	 0.1177
1.0	 2.0	 0.40	 0.45	 0.0	 0.4	 0.1177	 0.1789
1.0	 2.0	 0.40	 0.45	 0.0	 0.4	 0.1789	 0.7000
1.0	 2.0	 0.40	 0.45	 0.4	 0.8	 0.0000	 0.1024
1.0	 2.0	 0.40	 0.45	 0.4	 0.8	 0.1024	 0.7000
1.0	 2.0	 0.45	 0.50	 0.0	 0.4	 0.0000	 0.1217
1.0	 2.0	 0.45	 0.50	 0.0	 0.4	 0.1217	 0.1641
1.0	 2.0	 0.45	 0.50	 0.0	 0.4	 0.1641	 0.7000
1.0	 2.0	 0.45	 0.50	 0.4	 0.8	 0.0000	 0.1021
1.0	 2.0	 0.45	 0.50	 0.4	 0.8	 0.1021	 0.7000
1.0	 2.0	 0.50	 0.55	 0.0	 0.4	 0.0000	 0.1289
1.0	 2.0	 0.50	 0.55	 0.0	 0.4	 0.1289	 0.1866
1.0	 2.0	 0.50	 0.55	 0.0	 0.4	 0.1866	 0.7000
1.0	 2.0	 0.50	 0.55	 0.4	 0.8	 0.0000	 0.1070
1.0	 2.0	 0.50	 0.55	 0.4	 0.8	 0.1070	 0.7000
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.0000	 0.1378
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.1378	 0.7000
1.0	 2.0	 0.55	 0.60	 0.4	 0.8	 0.0000	 0.1217
1.0	 2.0	 0.55	 0.60	 0.4	 0.8	 0.1217	 0.7000
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.0000	 0.1530
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.1530	 0.7000
1.0	 2.0	 0.60	 0.65	 0.4	 0.8	 0.0000	 0.1504
1.0	 2.0	 0.60	 0.65	 0.4	 0.8	 0.1504	 0.7000
1.0	 2.0	 0.65	 0.70	 0.0	 0.4	 0.0000	 0.1809
1.0	 2.0	 0.65	 0.70	 0.0	 0.4	 0.1809	 0.7000
1.0	 2.0	 0.65	 0.70	 0.4	 1.0	 0.0000	 0.1553
1.0	 2.0	 0.65	 0.70	 0.4	 1.0	 0.1553	 0.7000
2.0	 3.0	 0.30	 0.35	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.35	 0.40	 0.0	 0.4	 0.0000	 0.1985
2.0	 3.0	 0.35	 0.40	 0.0	 0.4	 0.1985	 0.7000
2.0	 3.0	 0.40	 0.45	 0.0	 0.4	 0.0000	 0.1921
2.0	 3.0	 0.40	 0.45	 0.0	 0.4	 0.1921	 0.7000
2.0	 3.0	 0.45	 0.50	 0.0	 0.4	 0.0000	 0.2040
2.0	 3.0	 0.45	 0.50	 0.0	 0.4	 0.2040	 0.7000
2.0	 3.0	 0.45	 0.50	 0.4	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.50	 0.55	 0.0	 0.4	 0.0000	 0.2201
2.0	 3.0	 0.50	 0.55	 0.0	 0.4	 0.2201	 0.7000
2.0	 3.0	 0.50	 0.55	 0.4	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.55	 0.60	 0.0	 0.4	 0.0000	 0.2504
2.0	 3.0	 0.55	 0.60	 0.0	 0.4	 0.2504	 0.7000
2.0	 3.0	 0.55	 0.60	 0.4	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.60	 0.65	 0.0	 0.6	 0.0000	 0.2377
2.0	 3.0	 0.60	 0.65	 0.0	 0.6	 0.2377	 0.7000
2.0	 3.0	 0.65	 0.70	 0.0	 0.6	 0.0000	 0.3270
2.0	 3.0	 0.65	 0.70	 0.0	 0.6	 0.3270	 0.7000
3.0	 4.0	 0.35	 0.40	 0.0	 0.4	 0.0000	 0.3011
3.0	 4.0	 0.35	 0.40	 0.0	 0.4	 0.3011	 0.7000
3.0	 4.0	 0.40	 0.45	 0.0	 0.4	 0.0000	 0.2910
3.0	 4.0	 0.40	 0.45	 0.0	 0.4	 0.2910	 0.7000
3.0	 4.0	 0.40	 0.45	 0.4	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.45	 0.50	 0.0	 0.4	 0.0000	 0.3146
3.0	 4.0	 0.45	 0.50	 0.0	 0.4	 0.3146	 0.7000
3.0	 4.0	 0.45	 0.50	 0.4	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.50	 0.55	 0.0	 0.4	 0.0000	 0.4211
3.0	 4.0	 0.50	 0.55	 0.0	 0.4	 0.4211	 0.7000
3.0	 4.0	 0.50	 0.55	 0.4	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.55	 0.60	 0.0	 0.6	 0.0000	 0.3542
3.0	 4.0	 0.55	 0.60	 0.0	 0.6	 0.3542	 0.7000
3.0	 4.0	 0.60	 0.65	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.65	 0.70	 0.0	 1.6	 0.0000	 0.7000
4.0	 5.0	 0.35	 0.40	 0.0	 0.4	 0.0000	 0.3834
4.0	 5.0	 0.35	 0.40	 0.0	 0.4	 0.3834	 0.7000
4.0	 5.0	 0.35	 0.40	 0.4	 1.6	 0.0000	 0.7000
4.0	 5.0	 0.40	 0.45	 0.0	 0.4	 0.0000	 0.3693
4.0	 5.0	 0.40	 0.45	 0.0	 0.4	 0.3693	 0.7000
4.0	 5.0	 0.40	 0.45	 0.4	 1.6	 0.0000	 0.7000
4.0	 5.0	 0.45	 0.50	 0.0	 0.4	 0.0000	 0.3960
4.0	 5.0	 0.45	 0.50	 0.0	 0.4	 0.3960	 0.7000
4.0	 5.0	 0.45	 0.50	 0.4	 1.6	 0.0000	 0.7000
4.0	 5.0	 0.50	 0.55	 0.0	 0.6	 0.0000	 0.3992
4.0	 5.0	 0.50	 0.55	 0.0	 0.6	 0.3992	 0.7000
4.0	 5.0	 0.55	 0.60	 0.0	 0.8	 0.0000	 0.4342
4.0	 5.0	 0.55	 0.60	 0.0	 0.8	 0.4342	 0.7000
4.0	 5.0	 0.60	 0.65	 0.0	 1.6	 0.0000	 0.7000
4.0	 5.0	 0.65	 0.70	 0.0	 1.6	 0.0000	 0.7000
5.0	 6.0	 0.35	 0.40	 0.0	 1.6	 0.0000	 0.7000
5.0	 6.0	 0.40	 0.45	 0.0	 0.6	 0.0000	 0.5192
5.0	 6.0	 0.40	 0.45	 0.0	 0.6	 0.5192	 0.7000
5.0	 6.0	 0.45	 0.50	 0.0	 1.6	 0.0000	 0.7000
5.0	 6.0	 0.50	 0.55	 0.0	 1.6	 0.0000	 0.7000
5.0	 6.0	 0.55	 0.60	 0.0	 1.6	 0.0000	 0.7000
5.0	 6.0	 0.60	 0.65	 0.0	 1.6	 0.0000	 0.7000
5.0	 6.0	 0.65	 0.70	 0.0	 1.6	 0.0000	 0.7000
6.0	 8.0	 0.35	 0.40	 0.0	 1.6	 0.0000	 0.7000
6.0	 8.0	 0.40	 0.45	 0.0	 1.6	 0.0000	 0.7000
6.0	 8.0	 0.45	 0.50	 0.0	 1.6	 0.0000	 0.7000
6.0	 8.0	 0.50	 0.55	 0.0	 1.6	 0.0000	 0.7000
