Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.30	 0.35	 0.0	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.35	 0.40	 0.0	 0.4	 0.0000	 0.1295
1.0	 2.0	 0.35	 0.40	 0.0	 0.4	 0.1295	 0.7000
1.0	 2.0	 0.35	 0.40	 0.4	 0.8	 0.0000	 0.1036
1.0	 2.0	 0.35	 0.40	 0.4	 0.8	 0.1036	 0.7000
1.0	 2.0	 0.40	 0.45	 0.0	 0.4	 0.0000	 0.1200
1.0	 2.0	 0.40	 0.45	 0.0	 0.4	 0.1200	 0.1584
1.0	 2.0	 0.40	 0.45	 0.0	 0.4	 0.1584	 0.7000
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.0000	 0.0974
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.0974	 0.7000
1.0	 2.0	 0.40	 0.45	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.45	 0.50	 0.0	 0.4	 0.0000	 0.1211
1.0	 2.0	 0.45	 0.50	 0.0	 0.4	 0.1211	 0.1495
1.0	 2.0	 0.45	 0.50	 0.0	 0.4	 0.1495	 0.7000
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.0000	 0.1077
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.1077	 0.7000
1.0	 2.0	 0.45	 0.50	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.50	 0.55	 0.0	 0.2	 0.0000	 0.2169
1.0	 2.0	 0.50	 0.55	 0.0	 0.2	 0.2169	 0.7000
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.0000	 0.1383
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.1383	 0.7000
1.0	 2.0	 0.50	 0.55	 0.4	 0.6	 0.0000	 0.1340
1.0	 2.0	 0.50	 0.55	 0.4	 0.6	 0.1340	 0.7000
1.0	 2.0	 0.50	 0.55	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.0000	 0.1312
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.1312	 0.1673
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.1673	 0.7000
1.0	 2.0	 0.55	 0.60	 0.4	 0.6	 0.0000	 0.1554
1.0	 2.0	 0.55	 0.60	 0.4	 0.6	 0.1554	 0.7000
1.0	 2.0	 0.55	 0.60	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.0000	 0.1363
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.1363	 0.1831
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.1831	 0.7000
1.0	 2.0	 0.60	 0.65	 0.4	 0.6	 0.0000	 0.1758
1.0	 2.0	 0.60	 0.65	 0.4	 0.6	 0.1758	 0.7000
1.0	 2.0	 0.60	 0.65	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.65	 0.70	 0.0	 0.4	 0.0000	 0.1471
1.0	 2.0	 0.65	 0.70	 0.0	 0.4	 0.1471	 0.7000
1.0	 2.0	 0.65	 0.70	 0.4	 0.8	 0.0000	 0.1308
1.0	 2.0	 0.65	 0.70	 0.4	 0.8	 0.1308	 0.7000
1.0	 2.0	 0.65	 0.70	 0.8	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.35	 0.40	 0.0	 0.4	 0.0000	 0.1991
2.0	 3.0	 0.35	 0.40	 0.0	 0.4	 0.1991	 0.7000
2.0	 3.0	 0.40	 0.45	 0.0	 0.4	 0.0000	 0.1881
2.0	 3.0	 0.40	 0.45	 0.0	 0.4	 0.1881	 0.2309
2.0	 3.0	 0.40	 0.45	 0.0	 0.4	 0.2309	 0.7000
2.0	 3.0	 0.40	 0.45	 0.4	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.45	 0.50	 0.0	 0.4	 0.0000	 0.1963
2.0	 3.0	 0.45	 0.50	 0.0	 0.4	 0.1963	 0.2334
2.0	 3.0	 0.45	 0.50	 0.0	 0.4	 0.2334	 0.7000
2.0	 3.0	 0.45	 0.50	 0.4	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.50	 0.55	 0.0	 0.4	 0.0000	 0.2072
2.0	 3.0	 0.50	 0.55	 0.0	 0.4	 0.2072	 0.2516
2.0	 3.0	 0.50	 0.55	 0.0	 0.4	 0.2516	 0.7000
2.0	 3.0	 0.50	 0.55	 0.4	 0.8	 0.0000	 0.3052
2.0	 3.0	 0.50	 0.55	 0.4	 0.8	 0.3052	 0.7000
2.0	 3.0	 0.55	 0.60	 0.0	 0.4	 0.0000	 0.2192
2.0	 3.0	 0.55	 0.60	 0.0	 0.4	 0.2192	 0.2845
2.0	 3.0	 0.55	 0.60	 0.0	 0.4	 0.2845	 0.7000
2.0	 3.0	 0.55	 0.60	 0.4	 0.6	 0.0000	 0.2885
2.0	 3.0	 0.55	 0.60	 0.4	 0.6	 0.2885	 0.7000
2.0	 3.0	 0.60	 0.65	 0.0	 0.4	 0.0000	 0.2362
2.0	 3.0	 0.60	 0.65	 0.0	 0.4	 0.2362	 0.7000
2.0	 3.0	 0.60	 0.65	 0.4	 0.8	 0.0000	 0.2676
2.0	 3.0	 0.60	 0.65	 0.4	 0.8	 0.2676	 0.7000
2.0	 3.0	 0.65	 0.70	 0.0	 0.4	 0.0000	 0.2603
2.0	 3.0	 0.65	 0.70	 0.0	 0.4	 0.2603	 0.7000
2.0	 3.0	 0.65	 0.70	 0.4	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.35	 0.40	 0.0	 0.4	 0.0000	 0.2757
3.0	 4.0	 0.35	 0.40	 0.0	 0.4	 0.2757	 0.7000
3.0	 4.0	 0.35	 0.40	 0.4	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.40	 0.45	 0.0	 0.4	 0.0000	 0.2715
3.0	 4.0	 0.40	 0.45	 0.0	 0.4	 0.2715	 0.3404
3.0	 4.0	 0.40	 0.45	 0.0	 0.4	 0.3404	 0.7000
3.0	 4.0	 0.40	 0.45	 0.4	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.45	 0.50	 0.0	 0.4	 0.0000	 0.2825
3.0	 4.0	 0.45	 0.50	 0.0	 0.4	 0.2825	 0.3523
3.0	 4.0	 0.45	 0.50	 0.0	 0.4	 0.3523	 0.7000
3.0	 4.0	 0.45	 0.50	 0.4	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.50	 0.55	 0.0	 0.4	 0.0000	 0.2972
3.0	 4.0	 0.50	 0.55	 0.0	 0.4	 0.2972	 0.7000
3.0	 4.0	 0.50	 0.55	 0.4	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.55	 0.60	 0.0	 0.4	 0.0000	 0.3181
3.0	 4.0	 0.55	 0.60	 0.0	 0.4	 0.3181	 0.7000
