Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.35	 0.40	 0.0	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.40	 0.45	 0.0	 0.8	 0.0000	 0.1663
1.0	 2.0	 0.40	 0.45	 0.0	 0.8	 0.1663	 0.7000
1.0	 2.0	 0.45	 0.50	 0.0	 0.6	 0.0000	 0.1426
1.0	 2.0	 0.45	 0.50	 0.0	 0.6	 0.1426	 0.7000
1.0	 2.0	 0.45	 0.50	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.50	 0.55	 0.0	 0.6	 0.0000	 0.1405
1.0	 2.0	 0.50	 0.55	 0.0	 0.6	 0.1405	 0.7000
1.0	 2.0	 0.50	 0.55	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.0000	 0.2249
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.2249	 0.7000
1.0	 2.0	 0.55	 0.60	 0.4	 0.8	 0.0000	 0.1904
1.0	 2.0	 0.55	 0.60	 0.4	 0.8	 0.1904	 0.7000
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.0000	 0.2346
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.2346	 0.7000
1.0	 2.0	 0.60	 0.65	 0.4	 1.0	 0.0000	 0.1866
1.0	 2.0	 0.60	 0.65	 0.4	 1.0	 0.1866	 0.7000
1.0	 2.0	 0.65	 0.70	 0.0	 0.6	 0.0000	 0.1752
1.0	 2.0	 0.65	 0.70	 0.0	 0.6	 0.1752	 0.7000
1.0	 2.0	 0.65	 0.70	 0.6	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.45	 0.50	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.50	 0.55	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.55	 0.60	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.60	 0.65	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.65	 0.70	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.50	 0.55	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.55	 0.60	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.60	 0.65	 0.0	 1.6	 0.0000	 0.7000
