Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.0000	 0.0992
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.0992	 0.1123
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1123	 0.1230
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1230	 0.1324
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1324	 0.1408
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1408	 0.1492
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1492	 0.1579
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1579	 0.1670
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1670	 0.1770
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1770	 0.1886
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1886	 0.2031
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2031	 0.2229
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2229	 0.2540
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2540	 0.7000
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0000	 0.0697
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0697	 0.0750
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0750	 0.0791
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0791	 0.0828
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0828	 0.0860
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0860	 0.0892
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0892	 0.0922
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0922	 0.0951
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0951	 0.0982
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0982	 0.1012
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1012	 0.1043
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1043	 0.1073
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1073	 0.1106
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1106	 0.1137
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1137	 0.1170
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1170	 0.1204
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1204	 0.1239
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1239	 0.1273
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1273	 0.1309
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1309	 0.1348
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1348	 0.1393
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1393	 0.1441
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1441	 0.1496
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1496	 0.1561
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1561	 0.1640
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1640	 0.1743
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1743	 0.1875
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1875	 0.2057
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.2057	 0.2332
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.2332	 0.2890
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.2890	 0.7000
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0000	 0.0644
