Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.0000	 0.1234
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1234	 0.1427
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1427	 0.1605
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1605	 0.1785
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1785	 0.1997
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1997	 0.2334
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2334	 0.7000
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0000	 0.0973
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0973	 0.1094
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1094	 0.1213
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1213	 0.1342
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1342	 0.1486
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1486	 0.1651
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1651	 0.1853
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1853	 0.2143
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.2143	 0.7000
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0000	 0.1039
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1039	 0.1254
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1254	 0.1509
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1509	 0.1831
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1831	 0.2466
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.2466	 0.7000
1.0	 2.0	 0.30	 0.35	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.0000	 0.1354
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1354	 0.1604
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1604	 0.1849
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1849	 0.2184
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.2184	 0.7000
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.0000	 0.1033
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1033	 0.1189
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1189	 0.1352
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1352	 0.1543
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1543	 0.1781
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1781	 0.2116
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.2116	 0.7000
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.0000	 0.1077
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.1077	 0.1344
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.1344	 0.1685
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.1685	 0.2190
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.2190	 0.7000
1.0	 2.0	 0.35	 0.40	 0.6	 0.8	 0.0000	 0.2269
1.0	 2.0	 0.35	 0.40	 0.6	 0.8	 0.2269	 0.7000
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.0000	 0.1483
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.1483	 0.1817
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.1817	 0.2304
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.2304	 0.7000
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.0000	 0.1114
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1114	 0.1325
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1325	 0.1562
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1562	 0.1877
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1877	 0.2631
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.2631	 0.7000
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.0000	 0.1139
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.1139	 0.1512
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.1512	 0.2067
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.2067	 0.7000
1.0	 2.0	 0.40	 0.45	 0.6	 0.8	 0.0000	 0.1661
1.0	 2.0	 0.40	 0.45	 0.6	 0.8	 0.1661	 0.7000
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.0000	 0.1631
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.1631	 0.2156
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.2156	 0.7000
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.0000	 0.1208
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1208	 0.1495
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1495	 0.1874
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1874	 0.7000
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.0000	 0.1225
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.1225	 0.1758
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.1758	 0.7000
1.0	 2.0	 0.45	 0.50	 0.6	 0.8	 0.0000	 0.1728
1.0	 2.0	 0.45	 0.50	 0.6	 0.8	 0.1728	 0.7000
1.0	 2.0	 0.50	 0.55	 0.0	 0.2	 0.0000	 0.1822
1.0	 2.0	 0.50	 0.55	 0.0	 0.2	 0.1822	 0.7000
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.0000	 0.1331
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.1331	 0.1773
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.1773	 0.7000
1.0	 2.0	 0.50	 0.55	 0.4	 0.6	 0.0000	 0.1318
1.0	 2.0	 0.50	 0.55	 0.4	 0.6	 0.1318	 0.2215
1.0	 2.0	 0.50	 0.55	 0.4	 0.6	 0.2215	 0.7000
1.0	 2.0	 0.50	 0.55	 0.6	 0.8	 0.0000	 0.2142
1.0	 2.0	 0.50	 0.55	 0.6	 0.8	 0.2142	 0.7000
1.0	 2.0	 0.50	 0.55	 0.8	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.55	 0.60	 0.0	 0.2	 0.0000	 0.2128
1.0	 2.0	 0.55	 0.60	 0.0	 0.2	 0.2128	 0.7000
1.0	 2.0	 0.55	 0.60	 0.2	 0.4	 0.0000	 0.1484
1.0	 2.0	 0.55	 0.60	 0.2	 0.4	 0.1484	 0.2297
1.0	 2.0	 0.55	 0.60	 0.2	 0.4	 0.2297	 0.7000
1.0	 2.0	 0.55	 0.60	 0.4	 0.6	 0.0000	 0.1469
1.0	 2.0	 0.55	 0.60	 0.4	 0.6	 0.1469	 0.7000
1.0	 2.0	 0.55	 0.60	 0.6	 1.0	 0.0000	 0.1823
1.0	 2.0	 0.55	 0.60	 0.6	 1.0	 0.1823	 0.7000
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.0000	 0.1508
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.1508	 0.2060
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.2060	 0.7000
1.0	 2.0	 0.60	 0.65	 0.4	 0.6	 0.0000	 0.1733
1.0	 2.0	 0.60	 0.65	 0.4	 0.6	 0.1733	 0.7000
1.0	 2.0	 0.60	 0.65	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.65	 0.70	 0.0	 0.4	 0.0000	 0.1724
1.0	 2.0	 0.65	 0.70	 0.0	 0.4	 0.1724	 0.7000
1.0	 2.0	 0.65	 0.70	 0.4	 0.8	 0.0000	 0.1525
1.0	 2.0	 0.65	 0.70	 0.4	 0.8	 0.1525	 0.7000
2.0	 3.0	 0.30	 0.35	 0.0	 0.2	 0.0000	 0.2883
2.0	 3.0	 0.30	 0.35	 0.0	 0.2	 0.2883	 0.7000
2.0	 3.0	 0.30	 0.35	 0.2	 0.4	 0.0000	 0.3043
2.0	 3.0	 0.30	 0.35	 0.2	 0.4	 0.3043	 0.7000
2.0	 3.0	 0.30	 0.35	 0.4	 1.0	 0.0000	 0.3737
2.0	 3.0	 0.30	 0.35	 0.4	 1.0	 0.3737	 0.7000
2.0	 3.0	 0.35	 0.40	 0.0	 0.2	 0.0000	 0.3151
2.0	 3.0	 0.35	 0.40	 0.0	 0.2	 0.3151	 0.7000
2.0	 3.0	 0.35	 0.40	 0.2	 0.4	 0.0000	 0.3364
2.0	 3.0	 0.35	 0.40	 0.2	 0.4	 0.3364	 0.7000
2.0	 3.0	 0.35	 0.40	 0.4	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.40	 0.45	 0.0	 0.4	 0.0000	 0.2863
2.0	 3.0	 0.40	 0.45	 0.0	 0.4	 0.2863	 0.7000
2.0	 3.0	 0.40	 0.45	 0.4	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.45	 0.50	 0.0	 0.4	 0.0000	 0.3087
2.0	 3.0	 0.45	 0.50	 0.0	 0.4	 0.3087	 0.7000
2.0	 3.0	 0.45	 0.50	 0.4	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.50	 0.55	 0.0	 0.6	 0.0000	 0.3124
2.0	 3.0	 0.50	 0.55	 0.0	 0.6	 0.3124	 0.7000
2.0	 3.0	 0.55	 0.60	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.60	 0.65	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.65	 0.70	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.30	 0.35	 0.0	 0.4	 0.0000	 0.3883
3.0	 4.0	 0.30	 0.35	 0.0	 0.4	 0.3883	 0.7000
3.0	 4.0	 0.30	 0.35	 0.4	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.35	 0.40	 0.0	 0.4	 0.0000	 0.4139
3.0	 4.0	 0.35	 0.40	 0.0	 0.4	 0.4139	 0.7000
3.0	 4.0	 0.35	 0.40	 0.4	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.40	 0.45	 0.0	 0.6	 0.0000	 0.4257
3.0	 4.0	 0.40	 0.45	 0.0	 0.6	 0.4257	 0.7000
3.0	 4.0	 0.45	 0.50	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.50	 0.55	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.55	 0.60	 0.0	 1.6	 0.0000	 0.7000
4.0	 5.0	 0.30	 0.35	 0.0	 1.6	 0.0000	 0.7000
4.0	 5.0	 0.35	 0.40	 0.0	 1.6	 0.0000	 0.7000
4.0	 5.0	 0.40	 0.45	 0.0	 1.6	 0.0000	 0.7000
4.0	 5.0	 0.45	 0.50	 0.0	 1.6	 0.0000	 0.7000
