Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.0000	 0.1886
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1886	 0.2401
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2401	 0.7000
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0000	 0.1042
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1042	 0.1623
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1623	 0.7000
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0000	 0.1434
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1434	 0.7000
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.0000	 0.1800
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1800	 0.2290
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.2290	 0.7000
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.0000	 0.1229
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1229	 0.1908
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1908	 0.7000
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.0000	 0.1122
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.1122	 0.7000
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.0000	 0.1826
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.1826	 0.2513
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.2513	 0.7000
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.0000	 0.1470
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1470	 0.2150
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.2150	 0.7000
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.0000	 0.1147
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.1147	 0.2061
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.2061	 0.7000
1.0	 2.0	 0.40	 0.45	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.0000	 0.1926
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.1926	 0.7000
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.0000	 0.1584
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1584	 0.2390
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.2390	 0.7000
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.0000	 0.1255
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.1255	 0.7000
1.0	 2.0	 0.45	 0.50	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.50	 0.55	 0.0	 0.2	 0.0000	 0.2119
1.0	 2.0	 0.50	 0.55	 0.0	 0.2	 0.2119	 0.7000
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.0000	 0.1688
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.1688	 0.7000
1.0	 2.0	 0.50	 0.55	 0.4	 0.6	 0.0000	 0.1460
1.0	 2.0	 0.50	 0.55	 0.4	 0.6	 0.1460	 0.7000
1.0	 2.0	 0.50	 0.55	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.0000	 0.1583
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.1583	 0.2054
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.2054	 0.7000
1.0	 2.0	 0.55	 0.60	 0.4	 0.6	 0.0000	 0.1925
1.0	 2.0	 0.55	 0.60	 0.4	 0.6	 0.1925	 0.7000
1.0	 2.0	 0.55	 0.60	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.0000	 0.1681
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.1681	 0.7000
1.0	 2.0	 0.60	 0.65	 0.4	 0.8	 0.0000	 0.1489
1.0	 2.0	 0.60	 0.65	 0.4	 0.8	 0.1489	 0.7000
1.0	 2.0	 0.65	 0.70	 0.0	 0.4	 0.0000	 0.1885
1.0	 2.0	 0.65	 0.70	 0.0	 0.4	 0.1885	 0.7000
1.0	 2.0	 0.65	 0.70	 0.4	 1.0	 0.0000	 0.1866
1.0	 2.0	 0.65	 0.70	 0.4	 1.0	 0.1866	 0.7000
2.0	 3.0	 0.30	 0.35	 0.0	 0.2	 0.0000	 0.2883
2.0	 3.0	 0.30	 0.35	 0.0	 0.2	 0.2883	 0.7000
2.0	 3.0	 0.30	 0.35	 0.2	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.35	 0.40	 0.0	 0.2	 0.0000	 0.3151
2.0	 3.0	 0.35	 0.40	 0.0	 0.2	 0.3151	 0.7000
2.0	 3.0	 0.35	 0.40	 0.2	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.40	 0.45	 0.0	 0.4	 0.0000	 0.2871
2.0	 3.0	 0.40	 0.45	 0.0	 0.4	 0.2871	 0.7000
2.0	 3.0	 0.45	 0.50	 0.0	 0.4	 0.0000	 0.3087
2.0	 3.0	 0.45	 0.50	 0.0	 0.4	 0.3087	 0.7000
2.0	 3.0	 0.50	 0.55	 0.0	 0.6	 0.0000	 0.3215
2.0	 3.0	 0.50	 0.55	 0.0	 0.6	 0.3215	 0.7000
2.0	 3.0	 0.55	 0.60	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.60	 0.65	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.65	 0.70	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.30	 0.35	 0.0	 0.4	 0.0000	 0.3906
