Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.0000	 0.1764
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1764	 0.2064
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2064	 0.2470
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2470	 0.7000
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0000	 0.0972
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0972	 0.1206
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1206	 0.1745
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1745	 0.7000
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0000	 0.1149
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1149	 0.7000
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.0000	 0.1661
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1661	 0.1951
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1951	 0.2298
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.2298	 0.7000
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.0000	 0.1084
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1084	 0.1521
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1521	 0.2001
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.2001	 0.7000
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.0000	 0.1017
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.1017	 0.1328
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.1328	 0.7000
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.0000	 0.1656
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.1656	 0.1982
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.1982	 0.2431
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.2431	 0.7000
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.0000	 0.1289
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1289	 0.1675
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1675	 0.2138
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.2138	 0.7000
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.0000	 0.1043
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.1043	 0.1321
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.1321	 0.2030
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.2030	 0.7000
1.0	 2.0	 0.40	 0.45	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.0000	 0.1707
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.1707	 0.2108
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.2108	 0.7000
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.0000	 0.1410
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1410	 0.1763
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1763	 0.2297
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.2297	 0.7000
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.0000	 0.1097
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.1097	 0.1537
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.1537	 0.7000
1.0	 2.0	 0.45	 0.50	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.50	 0.55	 0.0	 0.2	 0.0000	 0.1792
1.0	 2.0	 0.50	 0.55	 0.0	 0.2	 0.1792	 0.2428
1.0	 2.0	 0.50	 0.55	 0.0	 0.2	 0.2428	 0.7000
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.0000	 0.1472
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.1472	 0.1862
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.1862	 0.2670
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.2670	 0.7000
