Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.0000	 0.1468
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1468	 0.2212
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2212	 0.7000
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0000	 0.1087
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1087	 0.7000
1.0	 2.0	 0.30	 0.35	 0.4	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.0000	 0.1442
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1442	 0.2153
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.2153	 0.7000
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.0000	 0.1254
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1254	 0.7000
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.0000	 0.1125
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.1125	 0.7000
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.0000	 0.1520
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.1520	 0.7000
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.0000	 0.1340
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1340	 0.2471
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.2471	 0.7000
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.0000	 0.1114
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.1114	 0.7000
1.0	 2.0	 0.40	 0.45	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.0000	 0.1723
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.1723	 0.7000
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.0000	 0.1380
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1380	 0.2560
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.2560	 0.7000
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.0000	 0.1418
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.1418	 0.7000
1.0	 2.0	 0.45	 0.50	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.50	 0.55	 0.0	 0.2	 0.0000	 0.2205
1.0	 2.0	 0.50	 0.55	 0.0	 0.2	 0.2205	 0.7000
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.0000	 0.1471
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.1471	 0.7000
1.0	 2.0	 0.50	 0.55	 0.4	 0.6	 0.0000	 0.1967
1.0	 2.0	 0.50	 0.55	 0.4	 0.6	 0.1967	 0.7000
1.0	 2.0	 0.50	 0.55	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.0000	 0.1379
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.1379	 0.2022
