Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.0000	 0.1553
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1553	 0.2062
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2062	 0.7000
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0000	 0.1025
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1025	 0.2952
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.2952	 0.7000
1.0	 2.0	 0.30	 0.35	 0.4	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.0000	 0.1464
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1464	 0.1884
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1884	 0.7000
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.0000	 0.1264
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1264	 0.1854
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1854	 0.7000
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.0000	 0.0961
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.0961	 0.7000
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.0000	 0.1500
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.1500	 0.2074
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.2074	 0.7000
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.0000	 0.1315
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1315	 0.1757
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1757	 0.7000
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.0000	 0.0958
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.0958	 0.7000
1.0	 2.0	 0.40	 0.45	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.0000	 0.1597
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.1597	 0.7000
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.0000	 0.1336
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1336	 0.1759
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1759	 0.7000
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.0000	 0.1058
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.1058	 0.7000
1.0	 2.0	 0.45	 0.50	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.50	 0.55	 0.0	 0.2	 0.0000	 0.1746
1.0	 2.0	 0.50	 0.55	 0.0	 0.2	 0.1746	 0.7000
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.0000	 0.1385
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.1385	 0.1922
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.1922	 0.7000
1.0	 2.0	 0.50	 0.55	 0.4	 0.6	 0.0000	 0.1282
1.0	 2.0	 0.50	 0.55	 0.4	 0.6	 0.1282	 0.7000
1.0	 2.0	 0.50	 0.55	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.55	 0.60	 0.0	 0.2	 0.0000	 0.2046
1.0	 2.0	 0.55	 0.60	 0.0	 0.2	 0.2046	 0.7000
1.0	 2.0	 0.55	 0.60	 0.2	 0.4	 0.0000	 0.1440
1.0	 2.0	 0.55	 0.60	 0.2	 0.4	 0.1440	 0.2238
1.0	 2.0	 0.55	 0.60	 0.2	 0.4	 0.2238	 0.7000
1.0	 2.0	 0.55	 0.60	 0.4	 0.6	 0.0000	 0.1526
1.0	 2.0	 0.55	 0.60	 0.4	 0.6	 0.1526	 0.7000
1.0	 2.0	 0.55	 0.60	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.0000	 0.1364
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.1364	 0.1811
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.1811	 0.7000
1.0	 2.0	 0.60	 0.65	 0.4	 0.6	 0.0000	 0.1727
1.0	 2.0	 0.60	 0.65	 0.4	 0.6	 0.1727	 0.7000
1.0	 2.0	 0.60	 0.65	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.65	 0.70	 0.0	 0.4	 0.0000	 0.1460
1.0	 2.0	 0.65	 0.70	 0.0	 0.4	 0.1460	 0.2436
1.0	 2.0	 0.65	 0.70	 0.0	 0.4	 0.2436	 0.7000
1.0	 2.0	 0.65	 0.70	 0.4	 0.8	 0.0000	 0.1293
1.0	 2.0	 0.65	 0.70	 0.4	 0.8	 0.1293	 0.7000
1.0	 2.0	 0.65	 0.70	 0.8	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.30	 0.35	 0.0	 0.2	 0.0000	 0.2046
2.0	 3.0	 0.30	 0.35	 0.0	 0.2	 0.2046	 0.2410
2.0	 3.0	 0.30	 0.35	 0.0	 0.2	 0.2410	 0.2873
2.0	 3.0	 0.30	 0.35	 0.0	 0.2	 0.2873	 0.7000
2.0	 3.0	 0.30	 0.35	 0.2	 0.4	 0.0000	 0.2004
2.0	 3.0	 0.30	 0.35	 0.2	 0.4	 0.2004	 0.2379
2.0	 3.0	 0.30	 0.35	 0.2	 0.4	 0.2379	 0.2941
2.0	 3.0	 0.30	 0.35	 0.2	 0.4	 0.2941	 0.7000
2.0	 3.0	 0.35	 0.40	 0.0	 0.2	 0.0000	 0.2156
2.0	 3.0	 0.35	 0.40	 0.0	 0.2	 0.2156	 0.2639
2.0	 3.0	 0.35	 0.40	 0.0	 0.2	 0.2639	 0.3564
2.0	 3.0	 0.35	 0.40	 0.0	 0.2	 0.3564	 0.7000
2.0	 3.0	 0.35	 0.40	 0.2	 0.4	 0.0000	 0.1938
2.0	 3.0	 0.35	 0.40	 0.2	 0.4	 0.1938	 0.2266
2.0	 3.0	 0.35	 0.40	 0.2	 0.4	 0.2266	 0.2688
2.0	 3.0	 0.35	 0.40	 0.2	 0.4	 0.2688	 0.3590
2.0	 3.0	 0.35	 0.40	 0.2	 0.4	 0.3590	 0.7000
2.0	 3.0	 0.40	 0.45	 0.0	 0.2	 0.0000	 0.2320
2.0	 3.0	 0.40	 0.45	 0.0	 0.2	 0.2320	 0.3093
2.0	 3.0	 0.40	 0.45	 0.0	 0.2	 0.3093	 0.7000
2.0	 3.0	 0.40	 0.45	 0.2	 0.4	 0.0000	 0.1971
2.0	 3.0	 0.40	 0.45	 0.2	 0.4	 0.1971	 0.2348
2.0	 3.0	 0.40	 0.45	 0.2	 0.4	 0.2348	 0.2899
2.0	 3.0	 0.40	 0.45	 0.2	 0.4	 0.2899	 0.7000
2.0	 3.0	 0.40	 0.45	 0.4	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.45	 0.50	 0.0	 0.2	 0.0000	 0.2528
2.0	 3.0	 0.45	 0.50	 0.0	 0.2	 0.2528	 0.7000
2.0	 3.0	 0.45	 0.50	 0.2	 0.4	 0.0000	 0.2109
2.0	 3.0	 0.45	 0.50	 0.2	 0.4	 0.2109	 0.2642
2.0	 3.0	 0.45	 0.50	 0.2	 0.4	 0.2642	 0.7000
2.0	 3.0	 0.45	 0.50	 0.4	 0.6	 0.0000	 0.3367
2.0	 3.0	 0.45	 0.50	 0.4	 0.6	 0.3367	 0.7000
2.0	 3.0	 0.50	 0.55	 0.0	 0.2	 0.0000	 0.2909
2.0	 3.0	 0.50	 0.55	 0.0	 0.2	 0.2909	 0.7000
2.0	 3.0	 0.50	 0.55	 0.2	 0.4	 0.0000	 0.2246
2.0	 3.0	 0.50	 0.55	 0.2	 0.4	 0.2246	 0.3111
2.0	 3.0	 0.50	 0.55	 0.2	 0.4	 0.3111	 0.7000
2.0	 3.0	 0.50	 0.55	 0.4	 0.6	 0.0000	 0.2762
2.0	 3.0	 0.50	 0.55	 0.4	 0.6	 0.2762	 0.7000
2.0	 3.0	 0.55	 0.60	 0.0	 0.4	 0.0000	 0.2200
2.0	 3.0	 0.55	 0.60	 0.0	 0.4	 0.2200	 0.2778
