Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.0000	 0.1665
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1665	 0.7000
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0000	 0.1507
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1507	 0.7000
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0000	 0.2104
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.2104	 0.7000
1.0	 2.0	 0.30	 0.35	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.0000	 0.1856
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1856	 0.7000
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.0000	 0.1690
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1690	 0.7000
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.0000	 0.2210
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.2210	 0.7000
1.0	 2.0	 0.35	 0.40	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.0000	 0.2428
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.2428	 0.7000
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.0000	 0.1900
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1900	 0.7000
1.0	 2.0	 0.40	 0.45	 0.4	 0.8	 0.0000	 0.1905
1.0	 2.0	 0.40	 0.45	 0.4	 0.8	 0.1905	 0.7000
1.0	 2.0	 0.45	 0.50	 0.0	 0.4	 0.0000	 0.1559
1.0	 2.0	 0.45	 0.50	 0.0	 0.4	 0.1559	 0.7000
1.0	 2.0	 0.45	 0.50	 0.4	 0.8	 0.0000	 0.2410
1.0	 2.0	 0.45	 0.50	 0.4	 0.8	 0.2410	 0.7000
1.0	 2.0	 0.50	 0.55	 0.0	 0.4	 0.0000	 0.1765
1.0	 2.0	 0.50	 0.55	 0.0	 0.4	 0.1765	 0.7000
1.0	 2.0	 0.50	 0.55	 0.4	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.0000	 0.2089
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.2089	 0.7000
1.0	 2.0	 0.55	 0.60	 0.4	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.60	 0.65	 0.0	 0.6	 0.0000	 0.1951
1.0	 2.0	 0.60	 0.65	 0.0	 0.6	 0.1951	 0.7000
1.0	 2.0	 0.60	 0.65	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.65	 0.70	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.30	 0.35	 0.0	 0.6	 0.0000	 0.3062
2.0	 3.0	 0.30	 0.35	 0.0	 0.6	 0.3062	 0.7000
2.0	 3.0	 0.35	 0.40	 0.0	 0.6	 0.0000	 0.3475
2.0	 3.0	 0.35	 0.40	 0.0	 0.6	 0.3475	 0.7000
2.0	 3.0	 0.40	 0.45	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.45	 0.50	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.50	 0.55	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.55	 0.60	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.60	 0.65	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.30	 0.35	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.35	 0.40	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.40	 0.45	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.45	 0.50	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.50	 0.55	 0.0	 1.6	 0.0000	 0.7000
4.0	 5.0	 0.30	 0.35	 0.0	 1.6	 0.0000	 0.7000
