Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.0000	 0.1590
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1590	 0.2234
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2234	 0.7000
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0000	 0.1222
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1222	 0.1556
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1556	 0.1966
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1966	 0.7000
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0000	 0.1312
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1312	 0.2009
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.2009	 0.7000
1.0	 2.0	 0.30	 0.35	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.0000	 0.1748
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1748	 0.7000
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.0000	 0.1331
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1331	 0.1777
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1777	 0.2767
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.2767	 0.7000
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.0000	 0.1409
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.1409	 0.2890
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.2890	 0.7000
1.0	 2.0	 0.35	 0.40	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.0000	 0.1898
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.1898	 0.7000
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.0000	 0.1473
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1473	 0.2085
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.2085	 0.7000
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.0000	 0.1525
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.1525	 0.7000
1.0	 2.0	 0.40	 0.45	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.0000	 0.2192
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.2192	 0.7000
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.0000	 0.1600
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1600	 0.2931
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.2931	 0.7000
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.0000	 0.1780
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.1780	 0.7000
1.0	 2.0	 0.45	 0.50	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.50	 0.55	 0.0	 0.4	 0.0000	 0.1539
1.0	 2.0	 0.50	 0.55	 0.0	 0.4	 0.1539	 0.2059
1.0	 2.0	 0.50	 0.55	 0.0	 0.4	 0.2059	 0.7000
1.0	 2.0	 0.50	 0.55	 0.4	 0.6	 0.0000	 0.2241
1.0	 2.0	 0.50	 0.55	 0.4	 0.6	 0.2241	 0.7000
1.0	 2.0	 0.50	 0.55	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.0000	 0.1672
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.1672	 0.2717
1.0	 2.0	 0.55	 0.60	 0.0	 0.4	 0.2717	 0.7000
1.0	 2.0	 0.55	 0.60	 0.4	 0.8	 0.0000	 0.1681
1.0	 2.0	 0.55	 0.60	 0.4	 0.8	 0.1681	 0.7000
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.0000	 0.1837
1.0	 2.0	 0.60	 0.65	 0.0	 0.4	 0.1837	 0.7000
1.0	 2.0	 0.60	 0.65	 0.4	 0.8	 0.0000	 0.2293
1.0	 2.0	 0.60	 0.65	 0.4	 0.8	 0.2293	 0.7000
1.0	 2.0	 0.65	 0.70	 0.0	 0.6	 0.0000	 0.1715
1.0	 2.0	 0.65	 0.70	 0.0	 0.6	 0.1715	 0.7000
1.0	 2.0	 0.65	 0.70	 0.6	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.30	 0.35	 0.0	 0.4	 0.0000	 0.2756
2.0	 3.0	 0.30	 0.35	 0.0	 0.4	 0.2756	 0.7000
2.0	 3.0	 0.30	 0.35	 0.4	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.35	 0.40	 0.0	 0.4	 0.0000	 0.2933
