i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
0,11.0,0.072566,0.778851,0.326422,1.163175,0.266682,AUT,0.0,0.007246,0.070207,0.007820,proton,pi-,solid
1,11.0,0.099158,0.755017,0.328930,1.544278,0.251926,AUT,0.0,0.007654,0.070207,0.007808,proton,pi-,solid
2,11.0,0.127199,0.714934,0.334168,1.875174,0.229489,AUT,0.0,0.019941,0.070207,0.007779,proton,pi-,solid
3,11.0,0.081894,0.781647,0.327822,1.315888,0.487195,AUT,0.0,0.009455,0.070207,0.007816,proton,pi-,solid
4,11.0,0.122796,0.728121,0.332793,1.842873,0.487520,AUT,0.0,0.028820,0.070207,0.007785,proton,pi-,solid
5,11.0,0.085868,0.777799,0.329211,1.369278,0.699360,AUT,0.0,0.007221,0.070207,0.007813,proton,pi-,solid
6,11.0,0.074731,0.738426,0.373683,1.133946,0.270006,AUT,0.0,0.007145,0.070207,0.007850,proton,pi-,solid
7,11.0,0.093804,0.697221,0.375558,1.349612,0.254356,AUT,0.0,0.007282,0.070207,0.007855,proton,pi-,solid
8,11.0,0.117845,0.675508,0.376701,1.641096,0.239119,AUT,0.0,0.007555,0.070207,0.007841,proton,pi-,solid
9,11.0,0.144532,0.630535,0.381547,1.879075,0.222999,AUT,0.0,0.016563,0.070207,0.007803,proton,pi-,solid
10,11.0,0.078695,0.743394,0.375062,1.200327,0.489823,AUT,0.0,0.007994,0.070207,0.007851,proton,pi-,solid
11,11.0,0.114956,0.685864,0.377225,1.619854,0.489266,AUT,0.0,0.009493,0.070207,0.007841,proton,pi-,solid
12,11.0,0.093460,0.724642,0.376777,1.378116,0.710314,AUT,0.0,0.006218,0.070207,0.007846,proton,pi-,solid
13,11.0,0.111624,0.634271,0.424690,1.445635,0.132898,AUT,0.0,0.007726,0.070207,0.007882,proton,pi-,solid
14,11.0,0.165160,0.557571,0.430403,1.899111,0.125925,AUT,0.0,0.030672,0.070207,0.007817,proton,pi-,solid
15,11.0,0.082692,0.700428,0.423694,1.187029,0.307390,AUT,0.0,0.007072,0.070207,0.007881,proton,pi-,solid
16,11.0,0.113423,0.642534,0.425110,1.502066,0.299430,AUT,0.0,0.007683,0.070207,0.007889,proton,pi-,solid
17,11.0,0.147813,0.591643,0.427014,1.800489,0.294077,AUT,0.0,0.012328,0.070207,0.007849,proton,pi-,solid
18,11.0,0.082720,0.717965,0.424359,1.215994,0.492063,AUT,0.0,0.007248,0.070207,0.007879,proton,pi-,solid
19,11.0,0.124138,0.635467,0.425892,1.616653,0.489181,AUT,0.0,0.008719,0.070207,0.007877,proton,pi-,solid
20,11.0,0.095816,0.697671,0.425450,1.356259,0.720962,AUT,0.0,0.006314,0.070207,0.007881,proton,pi-,solid
21,11.0,0.155097,0.577323,0.428447,1.845118,0.721945,AUT,0.0,0.016840,0.070207,0.007836,proton,pi-,solid
22,11.0,0.085637,0.676133,0.473444,1.185506,0.271996,AUT,0.0,0.007105,0.070207,0.007910,proton,pi-,solid
23,11.0,0.111917,0.606989,0.474347,1.401298,0.247690,AUT,0.0,0.007801,0.070207,0.007934,proton,pi-,solid
24,11.0,0.142238,0.569390,0.474986,1.667514,0.230737,AUT,0.0,0.007919,0.070207,0.007912,proton,pi-,solid
25,11.0,0.177682,0.511281,0.478148,1.872767,0.218652,AUT,0.0,0.017125,0.070207,0.007848,proton,pi-,solid
26,11.0,0.086727,0.696591,0.474149,1.234482,0.493822,AUT,0.0,0.007206,0.070207,0.007908,proton,pi-,solid
27,11.0,0.133163,0.594908,0.475338,1.620073,0.488925,AUT,0.0,0.009023,0.070207,0.007915,proton,pi-,solid
28,11.0,0.095048,0.685138,0.474967,1.319939,0.732855,AUT,0.0,0.006707,0.070207,0.007913,proton,pi-,solid
29,11.0,0.153713,0.554901,0.476309,1.752346,0.737007,AUT,0.0,0.011017,0.070207,0.007893,proton,pi-,solid
30,11.0,0.092805,0.644699,0.523443,1.222282,0.270406,AUT,0.0,0.007227,0.070207,0.007949,proton,pi-,solid
31,11.0,0.126679,0.565762,0.524268,1.477077,0.242053,AUT,0.0,0.008027,0.070207,0.007980,proton,pi-,solid
32,11.0,0.166835,0.507312,0.525366,1.737828,0.224152,AUT,0.0,0.009503,0.070207,0.007936,proton,pi-,solid
33,11.0,0.092664,0.672624,0.524030,1.269984,0.494649,AUT,0.0,0.007191,0.070207,0.007946,proton,pi-,solid
34,11.0,0.145440,0.554219,0.525118,1.646460,0.488829,AUT,0.0,0.011107,0.070207,0.007960,proton,pi-,solid
35,11.0,0.095811,0.675062,0.524699,1.308474,0.743578,AUT,0.0,0.007041,0.070207,0.007947,proton,pi-,solid
36,11.0,0.157565,0.527096,0.525362,1.701850,0.746330,AUT,0.0,0.010294,0.070207,0.007949,proton,pi-,solid
37,11.0,0.100602,0.614594,0.573471,1.260258,0.267360,AUT,0.0,0.007473,0.070207,0.008003,proton,pi-,solid
38,11.0,0.145349,0.521333,0.574263,1.557471,0.235643,AUT,0.0,0.008279,0.070207,0.008038,proton,pi-,solid
39,11.0,0.195250,0.447460,0.575645,1.797664,0.225399,AUT,0.0,0.015412,0.070207,0.007974,proton,pi-,solid
40,11.0,0.100162,0.645697,0.574060,1.311904,0.495154,AUT,0.0,0.007493,0.070207,0.007997,proton,pi-,solid
41,11.0,0.162004,0.508830,0.574987,1.682654,0.488560,AUT,0.0,0.014866,0.070207,0.008019,proton,pi-,solid
