Q2	x	y	z	pT	obs	target	hadron	value	error
2.533	0.109	0.46	0.341	0.11	AUTsivers	proton	pi+	0.009119294701514801	0.008761849119906141
2.53	0.106	0.49	0.35	0.21100000000000002	AUTsivers	proton	pi+	0.01767446057488129	0.007783315488916019
2.4859999999999998	0.1	0.519	0.355	0.29	AUTsivers	proton	pi+	0.02390683578353989	0.007333484846919642
2.415	0.09300000000000001	0.5489999999999999	0.355	0.37	AUTsivers	proton	pi+	0.029274026700901106	0.0074953318805774044
2.342	0.086	0.58	0.36	0.488	AUTsivers	proton	pi+	0.036994332152087625	0.007516648189186455
2.303	0.08	0.616	0.38799999999999996	0.669	AUTsivers	proton	pi+	0.050010847838123665	0.012140016474453402
2.262	0.073	0.6579999999999999	0.45299999999999996	0.9540000000000001	AUTsivers	proton	pi+	0.06736046063708986	0.02052997808084558
1.281	0.036000000000000004	0.7070000000000001	0.336	0.489	AUTsivers	proton	pi+	0.021126794286624246	0.008856635930193809
1.631	0.055999999999999994	0.569	0.35600000000000004	0.409	AUTsivers	proton	pi+	0.02515379359912992	0.007300684899377592
2.017	0.076	0.513	0.36700000000000005	0.37200000000000005	AUTsivers	proton	pi+	0.027940071976434007	0.008160882305241266
2.467	0.098	0.484	0.376	0.35600000000000004	AUTsivers	proton	pi+	0.03057833473139797	0.00773886296557834
3.2030000000000003	0.133	0.46399999999999997	0.379	0.344	AUTsivers	proton	pi+	0.032732042646291835	0.008044874144447507
4.321000000000001	0.18600000000000003	0.449	0.379	0.33899999999999997	AUTsivers	proton	pi+	0.03295942707458398	0.01072007462660592
6.178999999999999	0.275	0.434	0.375	0.344	AUTsivers	proton	pi+	0.028239003220472892	0.01502431362824938
2.423	0.086	0.5920000000000001	0.23399999999999999	0.34600000000000003	AUTsivers	proton	pi+	0.016688512755828052	0.00604648658313239
2.428	0.094	0.551	0.303	0.377	AUTsivers	proton	pi+	0.02532634997710195	0.007715568676384133
2.425	0.09699999999999999	0.528	0.373	0.40299999999999997	AUTsivers	proton	pi+	0.03393209672970601	0.009689685237405809
2.418	0.099	0.514	0.447	0.429	AUTsivers	proton	pi+	0.04314357238050666	0.01171537451385998
2.411	0.1	0.504	0.523	0.45299999999999996	AUTsivers	proton	pi+	0.052624341230918525	0.014599999999999997
2.4	0.10099999999999999	0.494	0.593	0.465	AUTsivers	proton	pi+	0.06055925083066326	0.017074249617479536
2.385	0.10300000000000001	0.478	0.6629999999999999	0.465	AUTsivers	proton	pi+	0.06770754300427648	0.019682479518597244
2.454	0.106	0.462	0.337	0.11	AUTsivers	proton	pi-	0.002770974153412802	0.009709788875150685
2.445	0.102	0.493	0.34600000000000003	0.21100000000000002	AUTsivers	proton	pi-	0.005022844650868935	0.0097082439194738
2.3930000000000002	0.096	0.525	0.35	0.29	AUTsivers	proton	pi-	0.006296085038496336	0.00917605579756357
2.314	0.08900000000000001	0.556	0.348	0.369	AUTsivers	proton	pi-	0.007113561417379367	0.008998888820293314
2.269	0.083	0.586	0.349	0.488	AUTsivers	proton	pi-	0.008281046086075567	0.006760177512462229
2.265	0.079	0.619	0.371	0.67	AUTsivers	proton	pi-	0.009607129424649008	0.008683317338436964
2.224	0.07200000000000001	0.6579999999999999	0.433	0.951	AUTsivers	proton	pi-	0.007861216419461818	0.014616429112474771
1.278	0.035	0.708	0.33	0.484	AUTsivers	proton	pi-	4.987402327026027e-05	0.010346980235798268
1.629	0.055	0.57	0.35	0.40299999999999997	AUTsivers	proton	pi-	0.0026218212659148486	0.008856635930193809
2.011	0.076	0.512	0.36	0.36700000000000005	AUTsivers	proton	pi-	0.005163971732593153	0.00952732911156112
2.451	0.098	0.48100000000000004	0.36700000000000005	0.35200000000000004	AUTsivers	proton	pi-	0.0077050745243584275	0.008766413177577247
3.1919999999999997	0.133	0.462	0.369	0.344	AUTsivers	proton	pi-	0.011140754712734811	0.008286132994346641
4.291	0.18600000000000003	0.447	0.36700000000000005	0.34	AUTsivers	proton	pi-	0.014361757803177914	0.010917875251164944
6.125	0.275	0.43	0.363	0.354	AUTsivers	proton	pi-	0.015441495841153138	0.015411683879446787
2.373	0.084	0.596	0.233	0.35200000000000004	AUTsivers	proton	pi-	0.00685474793911903	0.0064412731660751675
2.356	0.091	0.5529999999999999	0.303	0.385	AUTsivers	proton	pi-	0.007993950107488483	0.008200609733428363
2.338	0.094	0.53	0.373	0.41100000000000003	AUTsivers	proton	pi-	0.008232614949301997	0.010555093557141028
2.332	0.096	0.515	0.447	0.43	AUTsivers	proton	pi-	0.007652776400332739	0.012798828071350908
2.315	0.09699999999999999	0.504	0.523	0.444	AUTsivers	proton	pi-	0.005330075017847777	0.016268988905276196
