i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
0,11.0,0.089519,0.624788,0.322016,1.152031,0.164361,AUT,0.0,0.002945,0.070207,0.001120,neutron,pi+,solid
1,11.0,0.106087,0.595709,0.322744,1.304020,0.153792,AUT,0.0,0.002390,0.070207,0.001146,neutron,pi+,solid
2,11.0,0.117812,0.578133,0.323010,1.405659,0.147490,AUT,0.0,0.002248,0.070207,0.001165,neutron,pi+,solid
3,11.0,0.127812,0.562533,0.323123,1.483873,0.142850,AUT,0.0,0.002214,0.070207,0.001182,neutron,pi+,solid
4,11.0,0.136614,0.545915,0.323418,1.539260,0.138431,AUT,0.0,0.002282,0.070207,0.001197,neutron,pi+,solid
5,11.0,0.144975,0.529675,0.323598,1.584851,0.133892,AUT,0.0,0.002341,0.070207,0.001212,neutron,pi+,solid
6,11.0,0.153520,0.511257,0.323543,1.619881,0.129351,AUT,0.0,0.002416,0.070207,0.001228,neutron,pi+,solid
7,11.0,0.162377,0.493256,0.323639,1.653011,0.124985,AUT,0.0,0.002554,0.070207,0.001244,neutron,pi+,solid
8,11.0,0.171931,0.474943,0.323867,1.685222,0.120876,AUT,0.0,0.002705,0.070207,0.001262,neutron,pi+,solid
9,11.0,0.182634,0.453802,0.324016,1.710377,0.116441,AUT,0.0,0.002851,0.070207,0.001281,neutron,pi+,solid
10,11.0,0.195505,0.430572,0.323988,1.736993,0.112267,AUT,0.0,0.003028,0.070207,0.001305,neutron,pi+,solid
11,11.0,0.212437,0.402725,0.323973,1.764915,0.110612,AUT,0.0,0.003078,0.070207,0.001336,neutron,pi+,solid
12,11.0,0.236859,0.367175,0.323940,1.793101,0.114429,AUT,0.0,0.002844,0.070207,0.001380,neutron,pi+,solid
13,11.0,0.272209,0.328903,0.323967,1.845707,0.127341,AUT,0.0,0.004354,0.070207,0.001443,neutron,pi+,solid
14,11.0,0.065248,0.794126,0.321501,1.067775,0.338409,AUT,0.0,0.002207,0.070207,0.001084,neutron,pi+,solid
15,11.0,0.072512,0.742132,0.322340,1.110531,0.323979,AUT,0.0,0.002097,0.070207,0.001095,neutron,pi+,solid
16,11.0,0.077110,0.716177,0.322650,1.139781,0.319202,AUT,0.0,0.002072,0.070207,0.001102,neutron,pi+,solid
17,11.0,0.080988,0.695620,0.322787,1.162793,0.315827,AUT,0.0,0.002017,0.070207,0.001108,neutron,pi+,solid
18,11.0,0.084409,0.681454,0.323029,1.187292,0.312781,AUT,0.0,0.002074,0.070207,0.001113,neutron,pi+,solid
