Q2	x	y	z	pT	obs	target	hadron	value	error
1.2109999999999999	0.09	0.6629999999999999	0.345	0.377	AUTsivers	proton	pi+	0.02952012660056043	0.004
1.213	0.09	0.6709999999999999	0.34700000000000003	0.52	AUTsivers	proton	pi+	0.03984178636360376	0.005
1.216	0.08900000000000001	0.6759999999999999	0.34700000000000003	0.669	AUTsivers	proton	pi+	0.04909448639513328	0.006
1.217	0.08800000000000001	0.6809999999999999	0.34700000000000003	0.818	AUTsivers	proton	pi+	0.056948323694277776	0.008
1.219	0.087	0.69	0.34700000000000003	0.9670000000000001	AUTsivers	proton	pi+	0.0632501975486852	0.01
1.222	0.086	0.7020000000000001	0.349	1.115	AUTsivers	proton	pi+	0.06814611063436474	0.015
1.2309999999999999	0.084	0.72	0.35100000000000003	1.261	AUTsivers	proton	pi+	0.0708966431935539	0.024
1.227	0.08	0.748	0.355	1.4069999999999998	AUTsivers	proton	pi+	0.07130292033165186	0.046
1.311	0.145	0.44299999999999995	0.34700000000000003	0.375	AUTsivers	proton	pi+	0.03402756823590884	0.006999999999999999
1.311	0.145	0.444	0.348	0.519	AUTsivers	proton	pi+	0.04593401573922871	0.006999999999999999
1.311	0.145	0.44299999999999995	0.348	0.6679999999999999	AUTsivers	proton	pi+	0.056907722150984	0.01
1.3130000000000002	0.145	0.445	0.34700000000000003	0.816	AUTsivers	proton	pi+	0.06614085557737799	0.013000000000000001
1.324	0.14	0.46299999999999997	0.349	0.9590000000000001	AUTsivers	proton	pi+	0.07349620997042901	0.022000000000000002
1.365	0.131	0.505	0.354	1.101	AUTsivers	proton	pi+	0.07878716442228677	0.048
1.426	0.125	0.552	0.361	1.238	AUTsivers	proton	pi+	0.08228374803908231	0.162
1.499	0.124	0.584	0.391	1.3559999999999999	AUTsivers	proton	pi+	0.08610675228153608	2.9810000000000003
1.38	0.207	0.324	0.34700000000000003	0.10099999999999999	AUTsivers	proton	pi+	0.009253403150563716	0.015
1.382	0.205	0.32799999999999996	0.349	0.518	AUTsivers	proton	pi+	0.0452474021410866	0.012
1.383	0.204	0.331	0.34700000000000003	0.6659999999999999	AUTsivers	proton	pi+	0.05579788459683795	0.016
1.392	0.19399999999999998	0.349	0.35	0.799	AUTsivers	proton	pi+	0.06531023655320414	0.03
1.4480000000000002	0.185	0.379	0.365	0.92	AUTsivers	proton	pi+	0.07448949144783215	0.19
1.204	0.099	0.594	0.446	0.10300000000000001	AUTsivers	proton	pi+	0.011186440809925917	0.012
1.21	0.09	0.664	0.446	0.523	AUTsivers	proton	pi+	0.0504032314410353	0.006
1.214	0.08900000000000001	0.672	0.447	0.669	AUTsivers	proton	pi+	0.06090332133349332	0.006999999999999999
1.215	0.08900000000000001	0.6779999999999999	0.447	0.818	AUTsivers	proton	pi+	0.0695196927155557	0.009000000000000001
1.219	0.08800000000000001	0.688	0.447	0.9670000000000001	AUTsivers	proton	pi+	0.07529831148371804	0.012
1.2209999999999999	0.087	0.695	0.447	1.1159999999999999	AUTsivers	proton	pi+	0.07852900637662952	0.017
1.226	0.085	0.708	0.447	1.263	AUTsivers	proton	pi+	0.07890755948212771	0.026000000000000002
1.2309999999999999	0.08199999999999999	0.732	0.446	1.41	AUTsivers	proton	pi+	0.07668095858681034	0.044000000000000004
1.3090000000000002	0.146	0.441	0.447	0.10400000000000001	AUTsivers	proton	pi+	0.01246309102467021	0.012
1.308	0.146	0.439	0.44799999999999995	0.521	AUTsivers	proton	pi+	0.05769500045128812	0.008
1.3090000000000002	0.146	0.44	0.449	0.6679999999999999	AUTsivers	proton	pi+	0.0701762872512363	0.01
1.31	0.145	0.442	0.449	0.816	AUTsivers	proton	pi+	0.0799804933377376	0.013999999999999999
1.32	0.141	0.456	0.449	0.96	AUTsivers	proton	pi+	0.08653671083248739	0.023
1.35	0.133	0.49200000000000005	0.44799999999999995	1.105	AUTsivers	proton	pi+	0.08968559629398315	0.046
1.4069999999999998	0.127	0.5379999999999999	0.45	1.242	AUTsivers	proton	pi+	0.09035092620418671	0.125
1.475	0.122	0.585	0.45799999999999996	1.3659999999999999	AUTsivers	proton	pi+	0.08917451367096864	0.8270000000000001
1.379	0.207	0.324	0.44799999999999995	0.105	AUTsivers	proton	pi+	0.012306405836280485	0.018000000000000002
1.381	0.205	0.32799999999999996	0.449	0.519	AUTsivers	proton	pi+	0.05638082597129244	0.013000000000000001
1.385	0.20199999999999999	0.33299999999999996	0.45	0.664	AUTsivers	proton	pi+	0.06874144424847718	0.018000000000000002
1.395	0.195	0.348	0.44799999999999995	0.804	AUTsivers	proton	pi+	0.07841331247376211	0.032
1.444	0.187	0.375	0.447	0.9259999999999999	AUTsivers	proton	pi+	0.08499960855514872	0.13699999999999998
1.202	0.10099999999999999	0.585	0.547	0.1	AUTsivers	proton	pi+	0.01327979639858148	0.015
1.205	0.095	0.624	0.546	0.23199999999999998	AUTsivers	proton	pi+	0.029561531242905864	0.008
1.208	0.09	0.6629999999999999	0.546	0.6709999999999999	AUTsivers	proton	pi+	0.07157660133513129	0.008
1.213	0.09	0.6709999999999999	0.547	0.8170000000000001	AUTsivers	proton	pi+	0.0800733826300852	0.01
1.215	0.08900000000000001	0.6779999999999999	0.547	0.966	AUTsivers	proton	pi+	0.08484548758208442	0.013999999999999999
1.219	0.08800000000000001	0.688	0.546	1.115	AUTsivers	proton	pi+	0.08616256644295117	0.021
1.225	0.086	0.703	0.546	1.263	AUTsivers	proton	pi+	0.08411478814984888	0.033
1.232	0.08199999999999999	0.7340000000000001	0.545	1.412	AUTsivers	proton	pi+	0.078678421100595	0.055
1.308	0.146	0.43799999999999994	0.5479999999999999	0.1	AUTsivers	proton	pi+	0.01447717917899497	0.013999999999999999
1.305	0.147	0.434	0.5479999999999999	0.23	AUTsivers	proton	pi+	0.032759472376851034	0.009000000000000001
1.306	0.146	0.43700000000000006	0.5479999999999999	0.669	AUTsivers	proton	pi+	0.0814420785051959	0.011000000000000001
1.3090000000000002	0.145	0.441	0.5489999999999999	0.815	AUTsivers	proton	pi+	0.09109141966257886	0.016
1.319	0.14	0.45899999999999996	0.547	0.96	AUTsivers	proton	pi+	0.09627716074122161	0.026000000000000002
1.358	0.132	0.498	0.546	1.104	AUTsivers	proton	pi+	0.09741325225758239	0.055999999999999994
1.419	0.127	0.5429999999999999	0.54	1.24	AUTsivers	proton	pi+	0.09543663203213516	0.163
1.4880000000000002	0.12300000000000001	0.588	0.508	1.368	AUTsivers	proton	pi+	0.09086740615796386	1.217
1.38	0.20600000000000002	0.326	0.547	0.10300000000000001	AUTsivers	proton	pi+	0.014489044990348185	0.02
1.38	0.20600000000000002	0.326	0.547	0.231	AUTsivers	proton	pi+	0.031950254409695004	0.011000000000000001
1.3840000000000001	0.201	0.335	0.547	0.6629999999999999	AUTsivers	proton	pi+	0.07923107375540395	0.019
1.4	0.192	0.354	0.544	0.799	AUTsivers	proton	pi+	0.0888532468352912	0.039
1.4509999999999998	0.185	0.381	0.5329999999999999	0.9209999999999999	AUTsivers	proton	pi+	0.09385182908328235	0.214
1.453	0.24600000000000002	0.28600000000000003	0.531	0.627	AUTsivers	proton	pi+	0.06888800040373641	0.11599999999999999
1.189	0.10400000000000001	0.5589999999999999	0.632	0.098	AUTsivers	proton	pi+	0.01510660400416874	0.022000000000000002
1.19	0.10099999999999999	0.5770000000000001	0.63	0.23199999999999998	AUTsivers	proton	pi+	0.03462216581980339	0.013000000000000001
1.198	0.098	0.602	0.627	0.6709999999999999	AUTsivers	proton	pi+	0.08251581704351972	0.013999999999999999
1.202	0.09699999999999999	0.61	0.627	0.818	AUTsivers	proton	pi+	0.09080320166845363	0.018000000000000002
1.208	0.09699999999999999	0.614	0.626	0.965	AUTsivers	proton	pi+	0.09507895808058704	0.025
1.226	0.095	0.634	0.623	1.113	AUTsivers	proton	pi+	0.09452776225333115	0.04
1.239	0.09	0.675	0.618	1.2590000000000001	AUTsivers	proton	pi+	0.08941634674237824	0.069
1.246	0.085	0.7140000000000001	0.614	1.4040000000000001	AUTsivers	proton	pi+	0.08190456815002012	0.138
1.306	0.147	0.434	0.647	0.09699999999999999	AUTsivers	proton	pi+	0.016360904934200973	0.017
1.3019999999999998	0.14800000000000002	0.431	0.6459999999999999	0.23199999999999998	AUTsivers	proton	pi+	0.038305592172794674	0.01
1.31	0.14300000000000002	0.447	0.643	0.813	AUTsivers	proton	pi+	0.10080230070304941	0.019
1.335	0.136	0.479	0.639	0.955	AUTsivers	proton	pi+	0.10450681214641779	0.036000000000000004
1.39	0.129	0.523	0.632	1.101	AUTsivers	proton	pi+	0.10360246442781643	0.09
1.453	0.12300000000000001	0.5710000000000001	0.622	1.236	AUTsivers	proton	pi+	0.09927755771640888	0.382
1.381	0.20600000000000002	0.327	0.647	0.1	AUTsivers	proton	pi+	0.016315198099494756	0.024
1.38	0.20600000000000002	0.326	0.647	0.23199999999999998	AUTsivers	proton	pi+	0.03709071938523246	0.013999999999999999
1.429	0.188	0.369	0.623	0.785	AUTsivers	proton	pi+	0.09658573035118663	0.091
1.4869999999999999	0.182	0.397	0.606	0.905	AUTsivers	proton	pi+	0.10045562642512368	1.7209999999999999
1.6569999999999998	0.11	0.7340000000000001	0.345	0.111	AUTsivers	proton	pi+	0.00954064271152411	0.021
1.676	0.107	0.763	0.34700000000000003	0.521	AUTsivers	proton	pi+	0.04219020417317536	0.009000000000000001
1.6769999999999998	0.107	0.763	0.34700000000000003	0.669	AUTsivers	proton	pi+	0.05216311756703376	0.011000000000000001
1.679	0.107	0.765	0.34700000000000003	0.8190000000000001	AUTsivers	proton	pi+	0.0608674893183628	0.013999999999999999
1.681	0.106	0.768	0.34700000000000003	0.968	AUTsivers	proton	pi+	0.06770974679367033	0.018000000000000002
1.6840000000000002	0.106	0.772	0.348	1.1159999999999999	AUTsivers	proton	pi+	0.07318891350256256	0.025
1.686	0.106	0.773	0.35	1.263	AUTsivers	proton	pi+	0.07703576929357102	0.039
1.682	0.105	0.775	0.353	1.41	AUTsivers	proton	pi+	0.07894012852398218	0.068
