i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
0,11.0,0.066916,0.788001,0.323346,1.086368,0.336323,AUT,0.0,0.001996,0.070207,0.000989,neutron,pi-,solid
1,11.0,0.077965,0.756221,0.326971,1.216901,0.323393,AUT,0.0,0.001891,0.070207,0.000990,neutron,pi-,solid
2,11.0,0.089012,0.749532,0.327514,1.377024,0.317239,AUT,0.0,0.001960,0.070207,0.000990,neutron,pi-,solid
3,11.0,0.101814,0.740179,0.328639,1.555332,0.309695,AUT,0.0,0.001970,0.070207,0.000992,neutron,pi-,solid
4,11.0,0.120360,0.723782,0.331501,1.796746,0.299148,AUT,0.0,0.001894,0.070207,0.000996,neutron,pi-,solid
5,11.0,0.140265,0.677268,0.343051,1.960592,0.285520,AUT,0.0,0.010504,0.070207,0.001001,neutron,pi-,solid
6,11.0,0.062097,0.825064,0.322960,1.056438,0.500838,AUT,0.0,0.001871,0.070207,0.000989,neutron,pi-,solid
7,11.0,0.069015,0.784564,0.324999,1.117461,0.496503,AUT,0.0,0.001900,0.070207,0.000989,neutron,pi-,solid
8,11.0,0.075119,0.771024,0.326485,1.195471,0.494877,AUT,0.0,0.001933,0.070207,0.000990,neutron,pi-,solid
9,11.0,0.082057,0.764817,0.326927,1.295376,0.492989,AUT,0.0,0.001972,0.070207,0.000990,neutron,pi-,solid
10,11.0,0.090729,0.757750,0.327373,1.418984,0.491209,AUT,0.0,0.001999,0.070207,0.000991,neutron,pi-,solid
11,11.0,0.102709,0.746921,0.328358,1.583263,0.488171,AUT,0.0,0.002079,0.070207,0.000992,neutron,pi-,solid
12,11.0,0.120879,0.727882,0.331370,1.814354,0.484044,AUT,0.0,0.002608,0.070207,0.000996,neutron,pi-,solid
13,11.0,0.066899,0.807058,0.326910,1.111707,0.668654,AUT,0.0,0.001904,0.070207,0.000989,neutron,pi-,solid
14,11.0,0.089627,0.761423,0.329106,1.406733,0.669761,AUT,0.0,0.001898,0.070207,0.000991,neutron,pi-,solid
15,11.0,0.120177,0.728120,0.332371,1.804207,0.672650,AUT,0.0,0.003718,0.070207,0.000996,neutron,pi-,solid
16,11.0,0.071662,0.743488,0.372033,1.096549,0.334142,AUT,0.0,0.002110,0.070207,0.000984,neutron,pi-,solid
17,11.0,0.082372,0.693633,0.374719,1.179180,0.314702,AUT,0.0,0.001976,0.070207,0.000982,neutron,pi-,solid
18,11.0,0.090715,0.686355,0.375532,1.285157,0.308832,AUT,0.0,0.001936,0.070207,0.000982,neutron,pi-,solid
19,11.0,0.099781,0.682249,0.375691,1.405156,0.303646,AUT,0.0,0.001881,0.070207,0.000982,neutron,pi-,solid
20,11.0,0.110011,0.677952,0.375937,1.539418,0.298174,AUT,0.0,0.001861,0.070207,0.000984,neutron,pi-,solid
21,11.0,0.121606,0.672577,0.376134,1.688134,0.291872,AUT,0.0,0.001882,0.070207,0.000986,neutron,pi-,solid
