i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
0,11.0,0.065556,0.795349,0.322672,1.074543,0.338840,AUT,0.0,0.002177,0.070207,0.001085,neutron,pi+,solid
1,11.0,0.074180,0.759616,0.326734,1.163024,0.325686,AUT,0.0,0.002168,0.070207,0.001098,neutron,pi+,solid
2,11.0,0.082113,0.753935,0.327278,1.277818,0.321208,AUT,0.0,0.002104,0.070207,0.001109,neutron,pi+,solid
3,11.0,0.091221,0.747839,0.327995,1.408045,0.316194,AUT,0.0,0.002140,0.070207,0.001123,neutron,pi+,solid
4,11.0,0.101678,0.740130,0.328862,1.553243,0.310193,AUT,0.0,0.002180,0.070207,0.001140,neutron,pi+,solid
5,11.0,0.114500,0.730968,0.330177,1.727375,0.303043,AUT,0.0,0.002260,0.070207,0.001162,neutron,pi+,solid
6,11.0,0.129222,0.710704,0.334611,1.894185,0.294806,AUT,0.0,0.002951,0.070207,0.001188,neutron,pi+,solid
7,11.0,0.061068,0.832522,0.322886,1.048563,0.501139,AUT,0.0,0.002070,0.070207,0.001078,neutron,pi+,solid
8,11.0,0.066740,0.794826,0.324110,1.094794,0.497729,AUT,0.0,0.002120,0.070207,0.001087,neutron,pi+,solid
9,11.0,0.071241,0.777207,0.325909,1.142826,0.495620,AUT,0.0,0.002143,0.070207,0.001093,neutron,pi+,solid
10,11.0,0.075944,0.769968,0.326751,1.206983,0.494350,AUT,0.0,0.002158,0.070207,0.001100,neutron,pi+,solid
11,11.0,0.081175,0.765427,0.327042,1.282520,0.493357,AUT,0.0,0.002232,0.070207,0.001108,neutron,pi+,solid
12,11.0,0.087142,0.760415,0.327360,1.367764,0.492017,AUT,0.0,0.002291,0.070207,0.001117,neutron,pi+,solid
13,11.0,0.094648,0.753477,0.327977,1.471963,0.490212,AUT,0.0,0.002267,0.070207,0.001128,neutron,pi+,solid
14,11.0,0.104263,0.745377,0.328785,1.604040,0.487878,AUT,0.0,0.002482,0.070207,0.001144,neutron,pi+,solid
15,11.0,0.118238,0.733157,0.330499,1.788809,0.484789,AUT,0.0,0.002709,0.070207,0.001168,neutron,pi+,solid
16,11.0,0.133506,0.701675,0.337168,1.932698,0.481820,AUT,0.0,0.008484,0.070207,0.001197,neutron,pi+,solid
17,11.0,0.064983,0.814400,0.326486,1.090326,0.668456,AUT,0.0,0.002091,0.070207,0.001084,neutron,pi+,solid
