i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
0,11.0,0.076200,0.757618,0.327952,1.188192,0.291283,AUT,0.0,0.007738,0.070207,0.007337,proton,pi+,solid
1,11.0,0.108408,0.730657,0.331697,1.631942,0.292377,AUT,0.0,0.008096,0.070207,0.007159,proton,pi+,solid
2,11.0,0.074505,0.786388,0.326476,1.205567,0.494926,AUT,0.0,0.005563,0.070207,0.007347,proton,pi+,solid
3,11.0,0.106578,0.756412,0.328985,1.659787,0.494454,AUT,0.0,0.005979,0.070207,0.007169,proton,pi+,solid
4,11.0,0.086872,0.783356,0.328790,1.395966,0.689095,AUT,0.0,0.006463,0.070207,0.007277,proton,pi+,solid
5,11.0,0.077597,0.709289,0.374124,1.131674,0.280301,AUT,0.0,0.007462,0.070207,0.007315,proton,pi+,solid
6,11.0,0.097688,0.673447,0.376427,1.357509,0.268298,AUT,0.0,0.007415,0.070207,0.007204,proton,pi+,solid
7,11.0,0.124640,0.655210,0.377868,1.683410,0.263371,AUT,0.0,0.006796,0.070207,0.007055,proton,pi+,solid
8,11.0,0.152621,0.611428,0.385916,1.925256,0.245233,AUT,0.0,0.021470,0.070207,0.006902,proton,pi+,solid
9,11.0,0.074676,0.752023,0.374134,1.153858,0.496057,AUT,0.0,0.005906,0.070207,0.007332,proton,pi+,solid
10,11.0,0.098573,0.709275,0.375496,1.442278,0.494062,AUT,0.0,0.005213,0.070207,0.007199,proton,pi+,solid
11,11.0,0.128224,0.667902,0.377749,1.762504,0.490480,AUT,0.0,0.005989,0.070207,0.007034,proton,pi+,solid
12,11.0,0.086513,0.748469,0.375734,1.326983,0.679653,AUT,0.0,0.005204,0.070207,0.007265,proton,pi+,solid
13,11.0,0.129289,0.671292,0.378494,1.785772,0.677302,AUT,0.0,0.010488,0.070207,0.007028,proton,pi+,solid
14,11.0,0.093365,0.736588,0.378739,1.398715,0.872567,AUT,0.0,0.013233,0.070207,0.007225,proton,pi+,solid
15,11.0,0.114569,0.607989,0.425539,1.426504,0.133465,AUT,0.0,0.006686,0.070207,0.007096,proton,pi+,solid
16,11.0,0.169407,0.548083,0.432631,1.915352,0.129062,AUT,0.0,0.030657,0.070207,0.006803,proton,pi+,solid
17,11.0,0.083875,0.674710,0.423713,1.161622,0.311327,AUT,0.0,0.007881,0.070207,0.007268,proton,pi+,solid
18,11.0,0.110609,0.627906,0.425146,1.432825,0.305118,AUT,0.0,0.007931,0.070207,0.007119,proton,pi+,solid
19,11.0,0.143478,0.594733,0.426820,1.755897,0.301220,AUT,0.0,0.007637,0.070207,0.006938,proton,pi+,solid
20,11.0,0.079025,0.722567,0.423924,1.171436,0.496622,AUT,0.0,0.006327,0.070207,0.007296,proton,pi+,solid
21,11.0,0.106688,0.663388,0.424818,1.459462,0.492716,AUT,0.0,0.005796,0.070207,0.007140,proton,pi+,solid
22,11.0,0.140654,0.609926,0.426173,1.763914,0.488382,AUT,0.0,0.006685,0.070207,0.006952,proton,pi+,solid
23,11.0,0.086549,0.728422,0.424784,1.289820,0.684952,AUT,0.0,0.005123,0.070207,0.007253,proton,pi+,solid
24,11.0,0.131217,0.635732,0.426253,1.710876,0.682996,AUT,0.0,0.007111,0.070207,0.007003,proton,pi+,solid
25,11.0,0.098938,0.706938,0.426733,1.410011,0.889949,AUT,0.0,0.008641,0.070207,0.007181,proton,pi+,solid
26,11.0,0.118359,0.572589,0.474712,1.387290,0.131621,AUT,0.0,0.006641,0.070207,0.007063,proton,pi+,solid
27,11.0,0.172313,0.516934,0.477563,1.835289,0.128482,AUT,0.0,0.015601,0.070207,0.006775,proton,pi+,solid
28,11.0,0.089788,0.644237,0.473548,1.185379,0.309568,AUT,0.0,0.007792,0.070207,0.007225,proton,pi+,solid
29,11.0,0.121047,0.589273,0.474664,1.470960,0.302803,AUT,0.0,0.008217,0.070207,0.007048,proton,pi+,solid
30,11.0,0.157473,0.544599,0.476037,1.763036,0.298314,AUT,0.0,0.008155,0.070207,0.006850,proton,pi+,solid
31,11.0,0.083651,0.696177,0.473880,1.193104,0.497411,AUT,0.0,0.006940,0.070207,0.007260,proton,pi+,solid
