Q2	x	y	z	pT	obs	target	hadron	value	error
1.206	0.094	0.631	0.344	0.385	AUTsivers	proton	pi-	0	0.009
1.208	0.091	0.655	0.344	0.526	AUTsivers	proton	pi-	0	0.008
1.21	0.09	0.665	0.344	0.673	AUTsivers	proton	pi-	0	0.008
1.213	0.09	0.671	0.345	0.82	AUTsivers	proton	pi-	0	0.009
1.215	0.089	0.678	0.346	0.969	AUTsivers	proton	pi-	0	0.011
1.22	0.088	0.687	0.347	1.116	AUTsivers	proton	pi-	0	0.015
1.229	0.085	0.708	0.35	1.263	AUTsivers	proton	pi-	0	0.022
1.233	0.082	0.738	0.354	1.41	AUTsivers	proton	pi-	0	0.039
1.309	0.145	0.441	0.346	0.378	AUTsivers	proton	pi-	0	0.011
1.308	0.145	0.442	0.345	0.524	AUTsivers	proton	pi-	0	0.011
1.309	0.145	0.442	0.345	0.672	AUTsivers	proton	pi-	0	0.012
1.31	0.145	0.444	0.346	0.819	AUTsivers	proton	pi-	0	0.014
1.323	0.14	0.462	0.348	0.961	AUTsivers	proton	pi-	0	0.021
1.362	0.131	0.503	0.353	1.105	AUTsivers	proton	pi-	0	0.041
1.427	0.126	0.551	0.362	1.239	AUTsivers	proton	pi-	0	0.136
1.469	0.121	0.587	0.384	1.355	AUTsivers	proton	pi-	0	1.721
1.38	0.206	0.327	0.346	0.523	AUTsivers	proton	pi-	0	0.017
1.381	0.205	0.329	0.345	0.67	AUTsivers	proton	pi-	0	0.019
1.394	0.194	0.348	0.349	0.801	AUTsivers	proton	pi-	0	0.032
1.452	0.184	0.382	0.363	0.923	AUTsivers	proton	pi-	0	0.172
1.207	0.093	0.643	0.445	0.525	AUTsivers	proton	pi-	0	0.01
1.207	0.091	0.655	0.445	0.674	AUTsivers	proton	pi-	0	0.011
1.21	0.09	0.666	0.445	0.821	AUTsivers	proton	pi-	0	0.012
1.213	0.089	0.673	0.445	0.969	AUTsivers	proton	pi-	0	0.014
