Q2	x	y	z	pT	obs	target	hadron	value	error
1.281	0.036	0.707	0.336	0.489	AUTcollins	proton	pi+	0.03222071343331332	0.007632168761236875
1.631	0.056	0.569	0.356	0.409	AUTcollins	proton	pi+	0.05834744709419239	0.00698927750200262
2.017	0.076	0.513	0.367	0.372	AUTcollins	proton	pi+	0.0765701394412084	0.00802807573457052
2.467	0.098	0.484	0.376	0.356	AUTcollins	proton	pi+	0.09312545215915864	0.007495331880577404
3.203	0.133	0.464	0.379	0.344	AUTcollins	proton	pi+	0.11566948610456325	0.0072277243998370615
4.321	0.186	0.449	0.379	0.339	AUTcollins	proton	pi+	0.14050892220147312	0.00949210198006743
6.179	0.275	0.434	0.375	0.344	AUTcollins	proton	pi+	0.1590666832990351	0.012997307413460682
2.423	0.086	0.592	0.234	0.346	AUTcollins	proton	pi+	0.09458073680248699	0.010023971268913334
2.428	0.094	0.551	0.303	0.377	AUTcollins	proton	pi+	0.09990098526194664	0.010234256201600584
2.425	0.097	0.528	0.373	0.403	AUTcollins	proton	pi+	0.09599279461036421	0.01065269918846862
2.418	0.099	0.514	0.447	0.429	AUTcollins	proton	pi+	0.09072022635960675	0.011101801655587258
2.411	0.1	0.504	0.523	0.453	AUTcollins	proton	pi+	0.08639506559600188	0.012560254774486065
2.4	0.101	0.494	0.593	0.465	AUTcollins	proton	pi+	0.08403587448589808	0.013960659010233006
2.385	0.103	0.478	0.663	0.465	AUTcollins	proton	pi+	0.08397747295159866	0.015697452022541747
2.533	0.109	0.46	0.341	0.11	AUTcollins	proton	pi+	0.03917530478912656	0.008683893136145792
2.53	0.106	0.49	0.35	0.211	AUTcollins	proton	pi+	0.06726411229448742	0.009035485598461214
2.486	0.1	0.519	0.355	0.29	AUTcollins	proton	pi+	0.08070351522999138	0.008772684879784524
2.415	0.093	0.549	0.355	0.37	AUTcollins	proton	pi+	0.08796038888632007	0.008077747210701756
2.342	0.086	0.58	0.36	0.488	AUTcollins	proton	pi+	0.091976397721559	0.005923681287847954
2.303	0.08	0.616	0.388	0.669	AUTcollins	proton	pi+	0.08540506925361814	0.0070035705179572515
2.262	0.073	0.658	0.453	0.954	AUTcollins	proton	pi+	0.06272335664235903	0.011162884931772789
1.278	0.035	0.708	0.33	0.484	AUTcollins	proton	pi-	-0.023773348812903463	0.009347726996441435
1.629	0.055	0.57	0.35	0.403	AUTcollins	proton	pi-	-0.045258582743499705	0.008930845424706443
2.011	0.076	0.512	0.36	0.367	AUTcollins	proton	pi-	-0.06312109713762828	0.010111874208078343
2.451	0.098	0.481	0.367	0.352	AUTcollins	proton	pi-	-0.07999090787453181	0.009664884893261793
3.192	0.133	0.462	0.369	0.344	AUTcollins	proton	pi-	-0.10434162726415062	0.009391485505499116
4.291	0.186	0.447	0.367	0.34	AUTcollins	proton	pi-	-0.1323239015463823	0.012080562900792331
6.125	0.275	0.43	0.363	0.354	AUTcollins	proton	pi-	-0.15779331128337012	0.01622621335986927
2.373	0.084	0.596	0.233	0.352	AUTcollins	proton	pi-	-0.08199678893012313	0.005629387178015028
2.356	0.091	0.553	0.303	0.385	AUTcollins	proton	pi-	-0.08432771536650581	0.00796303962064738
2.338	0.094	0.53	0.373	0.411	AUTcollins	proton	pi-	-0.07957048937884913	0.011314592347937243
2.332	0.096	0.515	0.447	0.43	AUTcollins	proton	pi-	-0.07327186086176518	0.015024313628249379
2.315	0.097	0.504	0.523	0.444	AUTcollins	proton	pi-	-0.06732580356861496	0.019804039991880445
2.263	0.096	0.494	0.593	0.447	AUTcollins	proton	pi-	-0.06178822581702204	0.02416298822579691
2.247	0.098	0.475	0.663	0.435	AUTcollins	proton	pi-	-0.058712592694589845	0.02852227199926401
2.454	0.106	0.462	0.337	0.11	AUTcollins	proton	pi-	-0.03336863801245224	0.016155494421403512
2.445	0.102	0.493	0.346	0.211	AUTcollins	proton	pi-	-0.05627034593392934	0.015445711378890906
2.393	0.096	0.525	0.35	0.29	AUTcollins	proton	pi-	-0.06655477211432594	0.01430873858870865
2.314	0.089	0.556	0.348	0.369	AUTcollins	proton	pi-	-0.07155415153962946	0.012803515142334935
2.269	0.083	0.586	0.349	0.488	AUTcollins	proton	pi-	-0.07517667163581024	0.009567131231461185
2.265	0.079	0.619	0.371	0.67	AUTcollins	proton	pi-	-0.07072358069077238	0.008989994438263017
2.224	0.072	0.658	0.433	0.951	AUTcollins	proton	pi-	-0.04973698650538944	0.013224220203853231
1.24	0.0065	0.65	0.285	0.54	AUTcollins	proton	pi+	0.00701996638922596	0.0179
1.46	0.0106	0.47	0.321	0.52	AUTcollins	proton	pi+	0.01443065892842931	0.0085
1.71	0.0164	0.35	0.347	0.51	AUTcollins	proton	pi+	0.02387172693020448	0.0064
2.04	0.0257	0.27	0.363	0.49	AUTcollins	proton	pi+	0.03770670861668296	0.0052
2.7	0.0399	0.23	0.37	0.48	AUTcollins	proton	pi+	0.05769578547523391	0.0053
4.2	0.0627	0.23	0.367	0.48	AUTcollins	proton	pi+	0.08942441884037312	0.0062
6.65	0.1009	0.22	0.365	0.48	AUTcollins	proton	pi+	0.1377034016359092	0.0075
10.48	0.1621	0.22	0.363	0.48	AUTcollins	proton	pi+	0.19430000862847718	0.0096
20.94	0.2876	0.24	0.361	0.51	AUTcollins	proton	pi+	0.23556124035754927	0.0127
3.71	0.0464	0.33	0.223	0.45	AUTcollins	proton	pi+	0.08036430116788267	0.0046
3.71	0.048	0.32	0.274	0.47	AUTcollins	proton	pi+	0.0776559770792775	0.0055
3.68	0.0494	0.31	0.324	0.5	AUTcollins	proton	pi+	0.07547236762501511	0.0065
3.64	0.0507	0.29	0.374	0.52	AUTcollins	proton	pi+	0.0731088013320554	0.0076
3.54	0.0523	0.27	0.445	0.54	AUTcollins	proton	pi+	0.06971642071306561	0.0067
3.37	0.0542	0.24	0.565	0.57	AUTcollins	proton	pi+	0.06694959058616433	0.0077
3.07	0.0545	0.21	0.716	0.56	AUTcollins	proton	pi+	0.06564996277937304	0.0109
2.7	0.0525	0.19	0.877	0.47	AUTcollins	proton	pi+	0.06001918861615715	0.0147
3.54	0.0517	0.28	0.346	0.15	AUTcollins	proton	pi+	0.029676903385443015	0.0073
3.49	0.0507	0.28	0.345	0.25	AUTcollins	proton	pi+	0.0465645965620056	0.006
3.44	0.0493	0.29	0.344	0.35	AUTcollins	proton	pi+	0.0592573209545465	0.0057
3.52	0.0492	0.29	0.345	0.45	AUTcollins	proton	pi+	0.06947648623988499	0.006
