i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
0,11.0,0.092695,0.619736,0.321973,1.182863,0.162230,AUT,0.0,0.002417,0.070207,0.000988,neutron,pi-,solid
1,11.0,0.112564,0.585811,0.322689,1.360504,0.150154,AUT,0.0,0.001962,0.070207,0.000990,neutron,pi-,solid
2,11.0,0.126711,0.564165,0.322920,1.475117,0.143544,AUT,0.0,0.001878,0.070207,0.000994,neutron,pi-,solid
3,11.0,0.138803,0.542055,0.323211,1.552620,0.137229,AUT,0.0,0.001909,0.070207,0.000998,neutron,pi-,solid
4,11.0,0.150544,0.517980,0.323330,1.609125,0.131018,AUT,0.0,0.001961,0.070207,0.001003,neutron,pi-,solid
5,11.0,0.163048,0.492403,0.323557,1.656671,0.124750,AUT,0.0,0.002069,0.070207,0.001010,neutron,pi-,solid
6,11.0,0.177229,0.464843,0.323749,1.699812,0.118751,AUT,0.0,0.002210,0.070207,0.001018,neutron,pi-,solid
7,11.0,0.194971,0.432003,0.323850,1.737335,0.112769,AUT,0.0,0.002383,0.070207,0.001029,neutron,pi-,solid
8,11.0,0.221253,0.389674,0.323789,1.776809,0.110973,AUT,0.0,0.002321,0.070207,0.001046,neutron,pi-,solid
9,11.0,0.262733,0.338644,0.323702,1.831733,0.123461,AUT,0.0,0.002821,0.070207,0.001072,neutron,pi-,solid
10,11.0,0.065975,0.788707,0.321484,1.072059,0.336956,AUT,0.0,0.002098,0.070207,0.000989,neutron,pi-,solid
11,11.0,0.074140,0.732627,0.322278,1.120812,0.322083,AUT,0.0,0.001883,0.070207,0.000989,neutron,pi-,solid
12,11.0,0.079573,0.703460,0.322575,1.155260,0.317138,AUT,0.0,0.001891,0.070207,0.000989,neutron,pi-,solid
13,11.0,0.083977,0.683185,0.322869,1.184171,0.313724,AUT,0.0,0.001893,0.070207,0.000989,neutron,pi-,solid
14,11.0,0.088055,0.673445,0.323035,1.224018,0.311511,AUT,0.0,0.001864,0.070207,0.000989,neutron,pi-,solid
15,11.0,0.092158,0.665337,0.323010,1.265627,0.309331,AUT,0.0,0.001870,0.070207,0.000989,neutron,pi-,solid
16,11.0,0.096200,0.657327,0.323155,1.305237,0.307814,AUT,0.0,0.001893,0.070207,0.000989,neutron,pi-,solid
17,11.0,0.100294,0.650476,0.323211,1.346602,0.305685,AUT,0.0,0.001881,0.070207,0.000989,neutron,pi-,solid
