i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
0,11.0,0.085761,0.678198,0.323055,1.190879,0.133118,AUT,0.0,0.007621,0.070207,0.007825,proton,pi-,solid
1,11.0,0.110710,0.593067,0.323646,1.353486,0.124854,AUT,0.0,0.007984,0.070207,0.007821,proton,pi-,solid
2,11.0,0.132000,0.543790,0.323860,1.479638,0.121686,AUT,0.0,0.007504,0.070207,0.007796,proton,pi-,solid
3,11.0,0.158245,0.481907,0.324061,1.569984,0.120475,AUT,0.0,0.006677,0.070207,0.007741,proton,pi-,solid
4,11.0,0.208976,0.388628,0.324185,1.658167,0.126606,AUT,0.0,0.005836,0.070207,0.007602,proton,pi-,solid
5,11.0,0.072884,0.753111,0.323561,1.127735,0.303689,AUT,0.0,0.007476,0.070207,0.007821,proton,pi-,solid
6,11.0,0.089697,0.680645,0.324013,1.259066,0.298147,AUT,0.0,0.007001,0.070207,0.007823,proton,pi-,solid
7,11.0,0.105232,0.636174,0.324138,1.380730,0.295890,AUT,0.0,0.006606,0.070207,0.007820,proton,pi-,solid
8,11.0,0.122519,0.585916,0.324196,1.480057,0.294321,AUT,0.0,0.006592,0.070207,0.007806,proton,pi-,solid
9,11.0,0.144144,0.525346,0.324184,1.560076,0.293470,AUT,0.0,0.005905,0.070207,0.007770,proton,pi-,solid
10,11.0,0.180920,0.433956,0.324365,1.610174,0.291410,AUT,0.0,0.005210,0.070207,0.007682,proton,pi-,solid
11,11.0,0.242634,0.347906,0.324421,1.734924,0.288738,AUT,0.0,0.008156,0.070207,0.007506,proton,pi-,solid
12,11.0,0.076172,0.743669,0.324364,1.161151,0.486882,AUT,0.0,0.007938,0.070207,0.007822,proton,pi-,solid
13,11.0,0.100134,0.652335,0.324342,1.345766,0.485812,AUT,0.0,0.006737,0.070207,0.007822,proton,pi-,solid
14,11.0,0.126901,0.575223,0.324539,1.501969,0.483978,AUT,0.0,0.005967,0.070207,0.007798,proton,pi-,solid
15,11.0,0.183936,0.448451,0.324923,1.662367,0.480215,AUT,0.0,0.005718,0.070207,0.007665,proton,pi-,solid
16,11.0,0.108058,0.668267,0.326454,1.429971,0.682784,AUT,0.0,0.004822,0.070207,0.007795,proton,pi-,solid
17,11.0,0.237446,0.376803,0.328551,1.838482,0.648194,AUT,0.0,0.072479,0.070207,0.007515,proton,pi-,solid
18,11.0,0.093619,0.643206,0.372984,1.230125,0.133434,AUT,0.0,0.008070,0.070207,0.007863,proton,pi-,solid
19,11.0,0.125857,0.551151,0.373607,1.428644,0.125340,AUT,0.0,0.007948,0.070207,0.007856,proton,pi-,solid
20,11.0,0.158997,0.477087,0.373902,1.559110,0.122797,AUT,0.0,0.007150,0.070207,0.007800,proton,pi-,solid
21,11.0,0.213340,0.381599,0.374044,1.665353,0.128864,AUT,0.0,0.007544,0.070207,0.007660,proton,pi-,solid
22,11.0,0.077426,0.725436,0.373475,1.152468,0.306113,AUT,0.0,0.007068,0.070207,0.007852,proton,pi-,solid
23,11.0,0.098778,0.645270,0.373890,1.313890,0.297703,AUT,0.0,0.007032,0.070207,0.007862,proton,pi-,solid
24,11.0,0.118930,0.592381,0.374190,1.452135,0.293686,AUT,0.0,0.007166,0.070207,0.007858,proton,pi-,solid
