i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
0,11.0,0.089660,0.635156,0.323458,1.167274,0.135243,AUT,0.0,0.007907,0.070207,0.007265,proton,pi+,solid
1,11.0,0.115320,0.563474,0.323971,1.339714,0.129480,AUT,0.0,0.008831,0.070207,0.007129,proton,pi+,solid
2,11.0,0.137980,0.528450,0.324169,1.503708,0.127968,AUT,0.0,0.008641,0.070207,0.007010,proton,pi+,solid
3,11.0,0.163979,0.482561,0.324424,1.630169,0.126727,AUT,0.0,0.008651,0.070207,0.006880,proton,pi+,solid
4,11.0,0.211497,0.401437,0.324567,1.737181,0.126424,AUT,0.0,0.008349,0.070207,0.006672,proton,pi+,solid
5,11.0,0.282359,0.323810,0.324863,1.886071,0.121715,AUT,0.0,0.025433,0.070207,0.006423,proton,pi+,solid
6,11.0,0.073996,0.735178,0.323329,1.118218,0.310186,AUT,0.0,0.007874,0.070207,0.007350,proton,pi+,solid
7,11.0,0.089366,0.669740,0.323971,1.234586,0.303162,AUT,0.0,0.008118,0.070207,0.007267,proton,pi+,solid
8,11.0,0.102462,0.633901,0.323979,1.340002,0.300313,AUT,0.0,0.007790,0.070207,0.007197,proton,pi+,solid
9,11.0,0.115739,0.606015,0.324066,1.447119,0.298583,AUT,0.0,0.007530,0.070207,0.007126,proton,pi+,solid
10,11.0,0.129319,0.575430,0.324156,1.535235,0.295847,AUT,0.0,0.007061,0.070207,0.007055,proton,pi+,solid
11,11.0,0.144534,0.537198,0.324347,1.601412,0.292903,AUT,0.0,0.006457,0.070207,0.006975,proton,pi+,solid
12,11.0,0.165113,0.482711,0.324463,1.642274,0.289635,AUT,0.0,0.005621,0.070207,0.006874,proton,pi+,solid
13,11.0,0.203120,0.403702,0.324587,1.682969,0.285874,AUT,0.0,0.005350,0.070207,0.006705,proton,pi+,solid
14,11.0,0.261825,0.333802,0.324260,1.800690,0.286806,AUT,0.0,0.015678,0.070207,0.006489,proton,pi+,solid
15,11.0,0.071894,0.768998,0.323974,1.136093,0.493479,AUT,0.0,0.005732,0.070207,0.007362,proton,pi+,solid
16,11.0,0.089509,0.700834,0.324176,1.293721,0.491356,AUT,0.0,0.005330,0.070207,0.007266,proton,pi+,solid
17,11.0,0.105138,0.662257,0.324184,1.436234,0.490951,AUT,0.0,0.005072,0.070207,0.007182,proton,pi+,solid
18,11.0,0.122944,0.612327,0.324375,1.551686,0.489320,AUT,0.0,0.004777,0.070207,0.007087,proton,pi+,solid
