Q2	x	y	z	pT	obs	target	hadron	value	error
1.2109999999999999	0.09	0.6629999999999999	0.345	0.377	AUTsivers	proton	pi+	0.041127820317056134	0.004
1.213	0.09	0.6709999999999999	0.34700000000000003	0.52	AUTsivers	proton	pi+	0.048181002352809275	0.005
1.216	0.08900000000000001	0.6759999999999999	0.34700000000000003	0.669	AUTsivers	proton	pi+	0.050101752975462745	0.006
1.217	0.08800000000000001	0.6809999999999999	0.34700000000000003	0.818	AUTsivers	proton	pi+	0.047165412411665206	0.008
1.219	0.087	0.69	0.34700000000000003	0.9670000000000001	AUTsivers	proton	pi+	0.040452017425804336	0.01
1.222	0.086	0.7020000000000001	0.349	1.115	AUTsivers	proton	pi+	0.032004933209959244	0.015
1.2309999999999999	0.084	0.72	0.35100000000000003	1.261	AUTsivers	proton	pi+	0.023190984587087002	0.024
1.227	0.08	0.748	0.355	1.4069999999999998	AUTsivers	proton	pi+	0.015011748421838127	0.046
1.311	0.145	0.44299999999999995	0.34700000000000003	0.375	AUTsivers	proton	pi+	0.07809406157367615	0.006999999999999999
1.311	0.145	0.444	0.348	0.519	AUTsivers	proton	pi+	0.09371270342710994	0.006999999999999999
1.311	0.145	0.44299999999999995	0.348	0.6679999999999999	AUTsivers	proton	pi+	0.09968496317258765	0.01
1.3130000000000002	0.145	0.445	0.34700000000000003	0.816	AUTsivers	proton	pi+	0.09591212674444644	0.013000000000000001
1.324	0.14	0.46299999999999997	0.349	0.9590000000000001	AUTsivers	proton	pi+	0.08234979896450657	0.022000000000000002
1.365	0.131	0.505	0.354	1.101	AUTsivers	proton	pi+	0.06318707494197127	0.048
1.426	0.125	0.552	0.361	1.238	AUTsivers	proton	pi+	0.04605881774203174	0.162
1.499	0.124	0.584	0.391	1.3559999999999999	AUTsivers	proton	pi+	0.035542893706276314	2.9810000000000003
1.38	0.207	0.324	0.34700000000000003	0.10099999999999999	AUTsivers	proton	pi+	0.030583373644786853	0.015
