kt	u	d	ub	db	uv	dv	du	dd	dub	ddb	duv	ddv
0.000000E+00	-4.156166E-01	4.561913E-01	-1.259750E-02	3.981649E-02	-4.030195E-01	4.163754E-01	3.095459E-02	9.454857E-03	2.083795E-03	1.124538E-03	3.087628E-02	8.952077E-03
1.000000E-02	-4.155200E-01	4.560853E-01	-1.259458E-02	3.980723E-02	-4.049405E-01	4.183599E-01	3.094741E-02	9.451934E-03	2.083307E-03	1.124222E-03	3.093515E-02	9.189515E-03
2.000000E-02	-4.152304E-01	4.557673E-01	-1.258579E-02	3.977948E-02	-4.046693E-01	4.180796E-01	3.092586E-02	9.443172E-03	2.081844E-03	1.123278E-03	3.091436E-02	9.183873E-03
3.000000E-02	-4.147481E-01	4.552379E-01	-1.257117E-02	3.973327E-02	-4.042003E-01	4.175950E-01	3.088999E-02	9.428587E-03	2.079407E-03	1.121704E-03	3.087860E-02	9.170390E-03
4.000000E-02	-4.140738E-01	4.544977E-01	-1.255073E-02	3.966866E-02	-4.035441E-01	4.169170E-01	3.083984E-02	9.408204E-03	2.076001E-03	1.119506E-03	3.082858E-02	9.151443E-03
5.000000E-02	-4.132086E-01	4.535478E-01	-1.252450E-02	3.958575E-02	-4.027018E-01	4.160466E-01	3.077549E-02	9.382061E-03	2.071629E-03	1.116685E-03	3.076436E-02	9.127077E-03
6.000000E-02	-4.121534E-01	4.523895E-01	-1.249251E-02	3.948465E-02	-4.016744E-01	4.149850E-01	3.069701E-02	9.350207E-03	2.066299E-03	1.113248E-03	3.068605E-02	9.097336E-03
7.000000E-02	-4.109099E-01	4.510244E-01	-1.245481E-02	3.936550E-02	-4.004635E-01	4.137338E-01	3.060454E-02	9.312698E-03	2.060017E-03	1.109199E-03	3.059375E-02	9.062274E-03
8.000000E-02	-4.094798E-01	4.494544E-01	-1.241145E-02	3.922847E-02	-3.990707E-01	4.122946E-01	3.049818E-02	9.269603E-03	2.052792E-03	1.104547E-03	3.048758E-02	9.021954E-03
9.000000E-02	-4.078650E-01	4.476816E-01	-1.236250E-02	3.907374E-02	-3.974979E-01	4.106694E-01	3.037810E-02	9.221001E-03	2.044635E-03	1.099297E-03	3.036771E-02	8.976446E-03
1.000000E-01	-4.060678E-01	4.457086E-01	-1.230801E-02	3.890153E-02	-3.957472E-01	4.088604E-01	3.024446E-02	9.166978E-03	2.035556E-03	1.093460E-03	3.023429E-02	8.925834E-03
1.100000E-01	-4.040905E-01	4.435381E-01	-1.224807E-02	3.871208E-02	-3.938212E-01	4.068703E-01	3.009745E-02	9.107632E-03	2.025570E-03	1.087045E-03	3.008751E-02	8.870206E-03
1.200000E-01	-4.019361E-01	4.411729E-01	-1.218275E-02	3.850565E-02	-3.917224E-01	4.047016E-01	2.993727E-02	9.043070E-03	2.014688E-03	1.080063E-03	2.992758E-02	8.809661E-03
1.300000E-01	-3.996073E-01	4.386164E-01	-1.211215E-02	3.828251E-02	-3.894537E-01	4.023574E-01	2.976414E-02	8.973406E-03	2.002926E-03	1.072526E-03	2.975472E-02	8.744306E-03
1.400000E-01	-3.971073E-01	4.358720E-01	-1.203636E-02	3.804297E-02	-3.870182E-01	3.998408E-01	2.957830E-02	8.898766E-03	1.990301E-03	1.064445E-03	2.956915E-02	8.674255E-03
1.500000E-01	-3.944396E-01	4.329434E-01	-1.195548E-02	3.778735E-02	-3.844192E-01	3.971552E-01	2.938001E-02	8.819280E-03	1.976830E-03	1.055834E-03	2.937115E-02	8.599630E-03
1.600000E-01	-3.916078E-01	4.298346E-01	-1.186963E-02	3.751601E-02	-3.816602E-01	3.943044E-01	2.916953E-02	8.735090E-03	1.962531E-03	1.046708E-03	2.916097E-02	8.520561E-03
1.700000E-01	-3.886155E-01	4.265498E-01	-1.177891E-02	3.722931E-02	-3.787449E-01	3.912920E-01	2.894716E-02	8.646342E-03	1.947423E-03	1.037081E-03	2.893891E-02	8.437185E-03
