kt	u	d	ub	db	uv	dv	du	dd	dub	ddb	duv	ddv
0.000000E+00	-4.223596E-01	4.464989E-01	-1.327632E-02	4.182608E-02	-4.090839E-01	4.046736E-01	1.123359E-01	1.609012E-01	5.745516E-03	1.527920E-02	1.081561E-01	1.548236E-01
1.000000E-02	-4.222568E-01	4.463913E-01	-1.327303E-02	4.181574E-02	-4.110292E-01	4.065989E-01	1.122902E-01	1.608510E-01	5.743489E-03	1.527341E-02	1.081317E-01	1.547907E-01
2.000000E-02	-4.219485E-01	4.460686E-01	-1.326316E-02	4.178474E-02	-4.107405E-01	4.063168E-01	1.121532E-01	1.607008E-01	5.737410E-03	1.525605E-02	1.080005E-01	1.546526E-01
3.000000E-02	-4.214351E-01	4.455313E-01	-1.324672E-02	4.173311E-02	-4.102421E-01	4.058298E-01	1.119253E-01	1.604508E-01	5.727294E-03	1.522717E-02	1.077819E-01	1.544225E-01
4.000000E-02	-4.207175E-01	4.447803E-01	-1.322375E-02	4.166095E-02	-4.095450E-01	4.051485E-01	1.116070E-01	1.601014E-01	5.713161E-03	1.518682E-02	1.074766E-01	1.541010E-01
5.000000E-02	-4.197968E-01	4.438165E-01	-1.319427E-02	4.156836E-02	-4.086502E-01	4.042739E-01	1.111989E-01	1.596536E-01	5.695043E-03	1.513509E-02	1.070852E-01	1.536888E-01
6.000000E-02	-4.186742E-01	4.426415E-01	-1.315833E-02	4.145547E-02	-4.075591E-01	4.032074E-01	1.107022E-01	1.591082E-01	5.672979E-03	1.507210E-02	1.066086E-01	1.531867E-01
7.000000E-02	-4.173515E-01	4.412571E-01	-1.311600E-02	4.132248E-02	-4.062733E-01	4.019506E-01	1.101178E-01	1.584664E-01	5.647015E-03	1.499798E-02	1.060481E-01	1.525958E-01
8.000000E-02	-4.158307E-01	4.396651E-01	-1.306732E-02	4.116956E-02	-4.047948E-01	4.005053E-01	1.094472E-01	1.577296E-01	5.617208E-03	1.491290E-02	1.054048E-01	1.519174E-01
9.000000E-02	-4.141140E-01	4.378681E-01	-1.301237E-02	4.099697E-02	-4.031256E-01	3.988736E-01	1.086918E-01	1.568994E-01	5.583621E-03	1.481704E-02	1.046803E-01	1.511527E-01
1.000000E-01	-4.122040E-01	4.358685E-01	-1.295125E-02	4.080495E-02	-4.012684E-01	3.970580E-01	1.078535E-01	1.559774E-01	5.546325E-03	1.471061E-02	1.038763E-01	1.503034E-01
1.100000E-01	-4.101035E-01	4.336695E-01	-1.288403E-02	4.059379E-02	-3.992258E-01	3.950610E-01	1.069342E-01	1.549656E-01	5.505400E-03	1.459384E-02	1.029944E-01	1.493713E-01
1.200000E-01	-4.078155E-01	4.312740E-01	-1.281083E-02	4.036382E-02	-3.970008E-01	3.928855E-01	1.059358E-01	1.538662E-01	5.460931E-03	1.446697E-02	1.020369E-01	1.483581E-01
1.300000E-01	-4.053435E-01	4.286858E-01	-1.273174E-02	4.011537E-02	-3.945968E-01	3.905348E-01	1.048608E-01	1.526815E-01	5.413011E-03	1.433028E-02	1.010058E-01	1.472660E-01
1.400000E-01	-4.026911E-01	4.259084E-01	-1.264690E-02	3.984882E-02	-3.920172E-01	3.880122E-01	1.037114E-01	1.514138E-01	5.361741E-03	1.418406E-02	9.990343E-02	1.460971E-01
1.500000E-01	-3.998621E-01	4.229459E-01	-1.255642E-02	3.956455E-02	-3.892658E-01	3.853214E-01	1.024903E-01	1.500658E-01	5.307227E-03	1.402862E-02	9.873230E-02	1.448538E-01
1.600000E-01	-3.968607E-01	4.198025E-01	-1.246043E-02	3.926299E-02	-3.863466E-01	3.824661E-01	1.012002E-01	1.486403E-01	5.249580E-03	1.386429E-02	9.749501E-02	1.435385E-01
1.700000E-01	-3.936910E-01	4.164827E-01	-1.235909E-02	3.894458E-02	-3.832637E-01	3.794504E-01	9.984386E-02	1.471401E-01	5.188918E-03	1.369139E-02	9.619429E-02	1.421539E-01
1.800000E-01	-3.903578E-01	4.129912E-01	-1.225253E-02	3.860977E-02	-3.800216E-01	3.762787E-01	9.842434E-02	1.455682E-01	5.125364E-03	1.351030E-02	9.483299E-02	1.407025E-01
1.900000E-01	-3.868656E-01	4.093330E-01	-1.214091E-02	3.825906E-02	-3.766248E-01	3.729553E-01	9.694469E-02	1.439277E-01	5.059046E-03	1.332138E-02	9.341409E-02	1.391872E-01
2.000000E-01	-3.832195E-01	4.055130E-01	-1.202439E-02	3.789294E-02	-3.730783E-01	3.694849E-01	9.540810E-02	1.422219E-01	4.990095E-03	1.312502E-02	9.194063E-02	1.376108E-01
2.100000E-01	-3.794246E-01	4.015367E-01	-1.190314E-02	3.751194E-02	-3.693869E-01	3.658722E-01	9.381784E-02	1.404541E-01	4.918647E-03	1.292160E-02	9.041578E-02	1.359764E-01
2.200000E-01	-3.754861E-01	3.974095E-01	-1.177732E-02	3.711658E-02	-3.655557E-01	3.621223E-01	9.217728E-02	1.386277E-01	4.844841E-03	1.271154E-02	8.884276E-02	1.342870E-01
2.300000E-01	-3.714094E-01	3.931371E-01	-1.164712E-02	3.670744E-02	-3.615901E-01	3.582403E-01	9.048985E-02	1.367462E-01	4.768819E-03	1.249525E-02	8.722488E-02	1.325457E-01
2.400000E-01	-3.672002E-01	3.887252E-01	-1.151272E-02	3.628507E-02	-3.574955E-01	3.542313E-01	8.875905E-02	1.348131E-01	4.690727E-03	1.227314E-02	8.556550E-02	1.307556E-01
2.500000E-01	-3.628642E-01	3.841798E-01	-1.137430E-02	3.585005E-02	-3.532773E-01	3.501009E-01	8.698841E-02	1.328319E-01	4.610711E-03	1.204565E-02	8.386802E-02	1.289200E-01
2.600000E-01	-3.584071E-01	3.795068E-01	-1.123205E-02	3.540299E-02	-3.489414E-01	3.458543E-01	8.518151E-02	1.308063E-01	4.528920E-03	1.181321E-02	8.213588E-02	1.270421E-01
