idx	Nuv	auv	buv	Ndv	adv	bdv	Nub	Ndb	M1
0	1.7540E-01	5.7242E-01	5.0622E+00	-4.0987E-01	2.3420E+00	1.6039E+01	4.9837E-02	-1.2523E-01	1.3232E+00
1	1.7489E-01	7.3745E-01	7.0355E+00	-4.1122E-01	2.3792E+00	1.6112E+01	6.3624E-02	-1.2770E-01	1.3209E+00
2	1.7912E-01	5.3999E-01	4.4420E+00	-4.1872E-01	2.3866E+00	1.5934E+01	4.6966E-02	-1.2543E-01	1.3330E+00
3	1.7415E-01	6.5434E-01	5.1651E+00	-4.1351E-01	2.3275E+00	1.5684E+01	7.2097E-02	-1.2915E-01	1.3255E+00
4	1.7111E-01	4.0529E-01	4.2321E+00	-4.1010E-01	2.3643E+00	1.6137E+01	5.1412E-02	-1.2811E-01	1.2936E+00
5	1.7707E-01	6.8001E-01	5.7387E+00	-4.1343E-01	2.3516E+00	1.5960E+01	5.6622E-02	-1.2575E-01	1.3273E+00
6	1.7560E-01	8.0720E-01	5.4744E+00	-4.1764E-01	2.3925E+00	1.6050E+01	6.7448E-02	-1.2507E-01	1.3043E+00
7	1.8287E-01	5.2685E-01	4.6386E+00	-4.1342E-01	2.3661E+00	1.5965E+01	6.0156E-02	-1.2885E-01	1.2891E+00
8	1.7135E-01	1.1297E+00	9.2472E+00	-4.1276E-01	2.4017E+00	1.6306E+01	7.8240E-02	-1.3128E-01	1.2812E+00
9	1.7055E-01	5.9009E-01	5.3176E+00	-4.1211E-01	2.3744E+00	1.6117E+01	5.7217E-02	-1.2706E-01	1.2796E+00
10	1.5663E-01	1.0329E+00	7.8768E+00	-4.1420E-01	2.3965E+00	1.6239E+01	9.3009E-02	-1.2912E-01	1.3129E+00
11	1.6935E-01	8.7357E-01	8.3200E+00	-4.1474E-01	2.4851E+00	1.6976E+01	5.6946E-02	-1.2673E-01	1.3103E+00
12	1.5363E-01	5.9797E-01	4.8809E+00	-4.1001E-01	2.4237E+00	1.6398E+01	7.0570E-02	-1.2977E-01	1.3465E+00
13	1.6456E-01	4.5882E-01	3.7639E+00	-4.1515E-01	2.3356E+00	1.5748E+01	6.3681E-02	-1.3115E-01	1.3073E+00
14	1.6836E-01	7.2800E-01	5.7218E+00	-4.1223E-01	2.3575E+00	1.5783E+01	6.5819E-02	-1.2906E-01	1.3000E+00
15	1.7044E-01	7.8206E-01	5.4275E+00	-4.1470E-01	2.3969E+00	1.6091E+01	7.1974E-02	-1.3118E-01	1.3412E+00
16	1.7273E-01	6.1342E-01	4.3757E+00	-4.1653E-01	2.3697E+00	1.5937E+01	6.6280E-02	-1.3019E-01	1.3285E+00
17	1.8091E-01	5.2520E-01	4.9333E+00	-4.1245E-01	2.3853E+00	1.6155E+01	5.0007E-02	-1.3032E-01	1.3389E+00
18	1.7153E-01	4.9674E-01	4.8513E+00	-4.0923E-01	2.3552E+00	1.5960E+01	6.1222E-02	-1.3121E-01	1.3240E+00
19	1.7817E-01	5.8042E-01	4.6981E+00	-4.1737E-01	2.4456E+00	1.6536E+01	5.5943E-02	-1.2910E-01	1.3162E+00
20	1.7984E-01	7.7378E-01	5.3169E+00	-4.1638E-01	2.3179E+00	1.5619E+01	5.8380E-02	-1.2370E-01	1.2911E+00
21	1.6934E-01	6.6807E-01	4.8042E+00	-4.1578E-01	2.3587E+00	1.5858E+01	6.6883E-02	-1.3023E-01	1.3252E+00
22	1.8445E-01	4.3258E-01	4.4369E+00	-4.1211E-01	2.3489E+00	1.5848E+01	3.1348E-02	-1.2356E-01	1.3203E+00
