idx	Nuv	auv	buv	Ndv	adv	bdv	Nub	Ndb	M1
0	1.7535E-01	4.9432E-01	6.0361E+00	-3.6423E-01	2.9393E+00	2.5000E+01	6.2644E-02	-1.5587E-01	1.4231E+00
1	1.7074E-01	6.0092E-01	5.9936E+00	-4.1942E-01	3.4119E+00	2.5000E+01	6.5642E-02	-1.4469E-01	1.1475E+00
2	1.6640E-01	1.3334E+00	1.0068E+01	-3.9808E-01	3.4361E+00	2.5000E+01	7.7353E-02	-1.3255E-01	1.1228E+00
3	3.0673E-01	1.3623E+00	9.3255E+00	-7.0540E-01	3.4729E+00	2.5000E+01	7.0399E-02	-1.3355E-01	3.0000E+00
4	1.7691E-01	7.5471E-02	2.6583E+00	-3.1597E-01	2.3457E+00	1.8054E+01	7.6120E-02	-1.7438E-01	9.3526E-01
5	1.7781E-01	6.5391E-01	5.2088E+00	-4.3181E-01	2.7816E+00	2.2175E+01	5.7450E-02	-1.1747E-01	1.4820E+00
6	1.8198E-01	6.7410E-01	5.6279E+00	-4.7018E-01	1.9502E+00	1.1580E+01	3.6027E-02	-9.7065E-02	1.2812E+00
7	1.9214E-01	7.8999E-01	5.9395E+00	-4.2840E-01	2.2083E+00	1.6202E+01	6.6403E-02	-1.1231E-01	1.2897E+00
8	3.0119E-01	1.3233E+00	8.8097E+00	-7.3233E-01	3.6005E+00	2.5000E+01	1.1380E-01	-2.1947E-01	3.0000E+00
9	1.8715E-01	1.1501E+00	9.9446E+00	-4.2978E-01	3.2056E+00	2.5000E+01	7.1212E-02	-1.3882E-01	1.6212E+00
10	1.7227E-01	3.6897E-01	3.8667E+00	-4.0584E-01	2.8965E+00	2.5000E+01	8.6957E-02	-1.6972E-01	1.1631E+00
11	1.6445E-01	8.7800E-01	6.3749E+00	-3.7739E-01	3.1633E+00	2.5000E+01	6.0299E-02	-1.1004E-01	1.0849E+00
12	1.8842E-01	8.5486E-01	6.1855E+00	-4.7702E-01	3.6062E+00	2.5000E+01	6.8792E-02	-1.4395E-01	1.5125E+00
13	1.8690E-01	2.1023E-01	1.5695E+00	-3.7415E-01	1.7511E+00	1.2591E+01	2.6493E-02	-1.0564E-01	1.3024E+00
14	1.7269E-01	6.2586E-01	6.6063E+00	-4.1562E-01	3.2519E+00	2.2033E+01	6.1606E-02	-1.5103E-01	1.4595E+00
15	1.8321E-01	4.5802E-01	4.9594E+00	-3.8174E-01	2.8253E+00	2.4320E+01	6.1530E-02	-1.4772E-01	1.2186E+00
16	2.0877E-01	1.1255E+00	8.7991E+00	-5.3227E-01	2.3150E+00	1.5034E+01	7.7822E-02	-1.1849E-01	1.7400E+00
17	1.9978E-01	6.6094E-01	6.7855E+00	-4.2905E-01	2.6944E+00	2.1542E+01	6.8054E-02	-1.5003E-01	1.9142E+00
18	1.8952E-01	8.2578E-01	7.6198E+00	-4.3693E-01	2.6883E+00	1.9587E+01	6.5043E-02	-1.3027E-01	1.5966E+00
19	1.7505E-01	4.2374E-01	2.4440E+00	-4.4922E-01	1.7184E+00	8.7820E+00	5.4356E-02	-1.1480E-01	1.2630E+00
20	2.0185E-01	4.1090E-01	2.8533E+00	-4.4541E-01	1.2403E+00	5.9089E+00	5.9445E-02	-1.1745E-01	2.0672E+00
21	2.4816E-01	5.3117E-01	4.8594E+00	-6.5232E-01	2.3138E+00	1.5470E+01	7.5355E-02	-1.8097E-01	2.7190E+00
22	2.4667E-01	4.8755E-12	1.6588E+00	-4.7552E-01	1.0895E+00	4.6635E+00	6.5439E-02	-1.8953E-01	2.2120E+00
23	1.6109E-01	1.0141E+00	9.7166E+00	-3.5459E-01	3.1143E+00	2.4824E+01	6.7336E-02	-1.2695E-01	1.3477E+00
24	2.6901E-01	2.2625E-01	3.1349E+00	-6.2130E-01	2.2701E+00	1.4243E+01	5.7615E-02	-1.9826E-01	3.0000E+00
25	1.8641E-01	6.3190E-01	4.9356E+00	-4.4329E-01	3.0153E+00	2.5000E+01	7.5592E-02	-1.3677E-01	1.3934E+00
26	2.2360E-01	1.5579E+00	9.6810E+00	-6.4897E-01	3.9935E+00	2.5000E+01	1.0959E-01	-1.8213E-01	2.1180E+00
27	2.1448E-01	4.3022E-01	4.1024E+00	-5.5548E-01	1.3324E+00	6.0105E+00	6.0918E-02	-1.3186E-01	1.9978E+00
28	2.3475E-01	7.4046E-01	6.2876E+00	-4.6475E-01	2.8711E+00	2.5000E+01	3.6346E-02	-1.2577E-01	2.1432E+00
29	2.2579E-01	5.9730E-01	4.9572E+00	-4.9081E-01	3.1216E+00	2.5000E+01	7.7113E-02	-1.6787E-01	2.3913E+00
30	1.8418E-01	5.0906E-01	5.1295E+00	-4.1148E-01	2.9706E+00	2.5000E+01	5.6616E-02	-1.3847E-01	1.4372E+00
31	2.0495E-01	7.7715E-01	4.7247E+00	-5.2987E-01	3.6026E+00	2.5000E+01	7.9593E-02	-1.5745E-01	1.9272E+00
32	1.8056E-01	4.1885E-01	3.8696E+00	-5.0831E-01	2.0306E+00	9.7994E+00	5.4430E-02	-1.4213E-01	1.7464E+00
33	2.7752E-01	1.6451E+00	1.2328E+01	-7.2499E-01	3.7629E+00	2.5000E+01	1.2474E-01	-2.2607E-01	3.0000E+00
34	1.6460E-01	3.8769E-01	4.6133E+00	-3.6331E-01	3.1576E+00	2.5000E+01	5.7172E-02	-1.4511E-01	1.2938E+00
35	1.7891E-01	9.9086E-01	8.5058E+00	-4.2865E-01	3.1822E+00	2.5000E+01	7.5984E-02	-1.4945E-01	9.4915E-01
36	1.7125E-01	1.6109E-01	3.0146E+00	-3.8788E-01	9.8595E-01	4.1093E+00	4.4617E-02	-1.2296E-01	1.2404E+00
37	1.7437E-01	9.4554E-01	9.4175E+00	-3.8699E-01	3.0715E+00	2.5000E+01	7.2053E-02	-1.4443E-01	1.0093E+00
38	1.8621E-01	3.3572E-01	1.6008E+00	-4.9835E-01	1.8717E+00	9.8992E+00	9.5826E-02	-1.7132E-01	1.8045E+00
39	1.7749E-01	2.3741E-01	4.2231E+00	-3.7854E-01	1.9876E+00	1.5604E+01	6.5200E-02	-1.5558E-01	9.3792E-01
40	1.7348E-01	9.4040E-01	8.8457E+00	-3.7181E-01	3.0794E+00	2.5000E+01	6.2963E-02	-1.3308E-01	1.2863E+00
41	1.8323E-01	3.6166E-01	5.0251E+00	-3.7183E-01	3.0530E+00	2.5000E+01	3.8556E-02	-1.4154E-01	1.4921E+00
42	1.8485E-01	3.8428E-01	3.8129E+00	-4.1646E-01	1.9001E+00	1.3052E+01	4.4559E-02	-1.1023E-01	9.6513E-01
43	1.6918E-01	4.6279E-01	5.2873E+00	-3.9237E-01	2.7095E+00	2.5000E+01	5.8964E-02	-1.1039E-01	1.1421E+00
44	2.7948E-01	5.7380E-01	4.4506E+00	-7.3560E-01	2.1277E+00	1.4220E+01	8.5977E-02	-1.7140E-01	3.0000E+00
45	2.7437E-01	9.5488E-02	8.4198E-01	-6.8722E-01	1.3803E+00	7.2901E+00	9.0069E-02	-2.1145E-01	3.0000E+00
46	1.8250E-01	2.9598E-01	4.4435E+00	-3.9582E-01	2.0180E+00	1.4925E+01	6.8591E-02	-1.4255E-01	9.2214E-01
47	1.9850E-01	1.7304E-01	2.3067E+00	-4.0467E-01	2.6070E+00	1.9354E+01	8.4153E-02	-2.1523E-01	2.3399E+00
48	1.6582E-01	3.3328E-01	2.4142E+00	-3.7566E-01	2.3313E+00	1.3119E+01	6.0457E-02	-1.5251E-01	1.0617E+00
49	1.8559E-01	1.1775E+00	9.3601E+00	-4.2583E-01	3.3370E+00	2.5000E+01	8.2554E-02	-1.3939E-01	8.6745E-01
50	2.1300E-01	4.7640E-01	5.5875E+00	-4.2652E-01	2.1670E+00	1.7668E+01	7.8360E-02	-1.6611E-01	2.1194E+00
51	1.8175E-01	4.9723E-01	4.8772E+00	-4.4843E-01	2.4288E+00	1.7369E+01	4.9948E-02	-1.2569E-01	1.3250E+00
52	1.8127E-01	3.0948E-01	3.5080E+00	-4.7130E-01	1.7636E+00	1.0951E+01	8.8975E-02	-1.5572E-01	1.8823E+00
53	2.0479E-01	1.0329E+00	6.2362E+00	-5.3276E-01	3.6248E+00	2.5000E+01	5.9309E-02	-1.1109E-01	1.7780E+00
54	2.0631E-01	5.9240E-01	5.6711E+00	-4.5409E-01	1.7509E+00	1.2195E+01	8.8569E-02	-1.6619E-01	2.3664E+00
55	1.7520E-01	6.9697E-01	5.8739E+00	-4.0561E-01	2.4983E+00	1.5036E+01	5.2171E-02	-1.2558E-01	1.5912E+00
56	1.7865E-01	8.1054E-01	6.3169E+00	-5.0336E-01	3.6793E+00	2.5000E+01	8.2318E-02	-1.4929E-01	1.2199E+00
57	2.1494E-01	4.7591E-01	4.5846E+00	-4.3731E-01	2.6866E+00	2.5000E+01	4.1063E-02	-1.2938E-01	1.9711E+00
58	1.8057E-01	3.5707E-01	2.6542E+00	-4.3131E-01	2.3023E+00	1.4154E+01	6.5748E-02	-1.6785E-01	1.1599E+00
59	1.5878E-01	8.3054E-01	6.4198E+00	-3.8470E-01	3.3899E+00	2.2604E+01	7.4423E-02	-1.5767E-01	1.2781E+00
60	1.6690E-01	1.5392E-01	1.5832E+00	-3.7889E-01	1.5710E+00	9.1174E+00	5.8896E-02	-1.4049E-01	9.5991E-01
