# Q2	x	y	z	pT	obs	target	hadron	value	error
1.2502E+00	1.7492E-02	4.3387E-01	3.2235E-01	1.3152E-01	AUTsivers	helium3	k-	-1.6577E-02	6.0221E-03
1.2738E+00	5.2252E-02	1.4214E-01	3.2134E-01	1.3454E-01	AUTsivers	helium3	k-	-1.6572E-02	6.0208E-03
1.2754E+00	1.0561E-01	6.5598E-02	3.1971E-01	1.4611E-01	AUTsivers	helium3	k-	-2.0179E-02	9.3136E-03
2.0516E+00	3.3450E-02	3.8646E-01	3.2010E-01	1.3337E-01	AUTsivers	helium3	k-	-1.2453E-02	6.0808E-03
2.1098E+00	1.2096E-01	1.0574E-01	3.1740E-01	1.3136E-01	AUTsivers	helium3	k-	-2.4296E-02	5.7090E-03
3.2641E+00	7.8017E-02	3.0152E-01	3.2120E-01	1.3015E-01	AUTsivers	helium3	k-	-1.8710E-02	5.9347E-03
6.6426E+00	1.4907E-01	3.1708E-01	3.2405E-01	1.3062E-01	AUTsivers	helium3	k-	-2.2271E-02	6.1413E-03
1.2188E+00	1.1040E-02	6.0524E-01	3.2283E-01	4.9608E-01	AUTsivers	helium3	k-	-5.5613E-02	6.0240E-03
1.2680E+00	2.1103E-02	3.3474E-01	3.2190E-01	4.9693E-01	AUTsivers	helium3	k-	-5.5759E-02	4.8067E-03
1.2861E+00	4.2782E-02	1.6738E-01	3.2273E-01	4.9518E-01	AUTsivers	helium3	k-	-5.4688E-02	4.5947E-03
1.2843E+00	8.4251E-02	8.4350E-02	3.2075E-01	4.8883E-01	AUTsivers	helium3	k-	-5.7242E-02	4.7756E-03
2.0099E+00	2.0769E-02	5.4240E-01	3.2156E-01	4.9484E-01	AUTsivers	helium3	k-	-4.2062E-02	5.9119E-03
2.0699E+00	4.3170E-02	2.6761E-01	3.1979E-01	4.9350E-01	AUTsivers	helium3	k-	-4.4194E-02	5.2219E-03
2.0921E+00	8.5497E-02	1.3620E-01	3.1817E-01	4.9221E-01	AUTsivers	helium3	k-	-6.9340E-02	5.0566E-03
2.2033E+00	1.7059E-01	7.1329E-02	3.2025E-01	4.9651E-01	AUTsivers	helium3	k-	-7.3579E-02	6.2531E-03
3.2555E+00	4.9051E-02	4.1036E-01	3.2198E-01	4.9603E-01	AUTsivers	helium3	k-	-4.4868E-02	5.1018E-03
3.2572E+00	1.4825E-01	1.2878E-01	3.2069E-01	4.9526E-01	AUTsivers	helium3	k-	-7.6906E-02	5.4100E-03
5.3676E+00	1.1095E-01	3.3841E-01	3.2242E-01	4.9420E-01	AUTsivers	helium3	k-	-7.4675E-02	5.6698E-03
1.0255E+01	6.7770E-01	1.5343E-01	3.2039E-01	5.0519E-01	AUTsivers	helium3	k-	-2.4459E-04	5.4972E-03
1.2604E+00	3.3823E-02	2.9404E-01	3.2265E-01	8.8006E-01	AUTsivers	helium3	k-	-7.5351E-02	6.5521E-03
2.0654E+00	8.2070E-02	2.3772E-01	3.1989E-01	8.7913E-01	AUTsivers	helium3	k-	-9.2028E-02	7.0210E-03
4.6967E+00	1.3284E-01	2.8403E-01	3.2322E-01	8.7778E-01	AUTsivers	helium3	k-	-1.0593E-01	7.4490E-03
8.7626E+00	8.3624E-01	5.6403E-02	3.1293E-01	8.8934E-01	AUTsivers	helium3	k-	5.1495E-05	7.7571E-04
1.5187E+00	2.9029E-02	3.5062E-01	4.2348E-01	1.3331E-01	AUTsivers	helium3	k-	-1.9137E-02	5.9566E-03
1.7324E+00	1.0048E-01	9.9853E-02	4.2504E-01	1.3193E-01	AUTsivers	helium3	k-	-2.0193E-02	8.4651E-03
5.2192E+00	1.1863E-01	3.2430E-01	4.2379E-01	1.3235E-01	AUTsivers	helium3	k-	-1.9968E-02	7.8440E-03
1.2457E+00	1.7049E-02	4.4147E-01	4.2380E-01	4.9800E-01	AUTsivers	helium3	k-	-6.3727E-02	5.4652E-03
1.2742E+00	5.1360E-02	1.4512E-01	4.2387E-01	4.9674E-01	AUTsivers	helium3	k-	-6.1887E-02	5.6287E-03
2.0314E+00	3.9445E-02	3.5308E-01	4.2410E-01	4.9778E-01	AUTsivers	helium3	k-	-6.1296E-02	5.5017E-03
2.0346E+00	1.2874E-01	9.0132E-02	4.2527E-01	5.0472E-01	AUTsivers	helium3	k-	-7.0627E-02	9.0498E-03
3.9012E+00	7.6305E-02	3.5213E-01	4.2404E-01	4.9526E-01	AUTsivers	helium3	k-	-6.1720E-02	5.7716E-03
1.4914E+00	2.8177E-02	3.5744E-01	4.2466E-01	8.8286E-01	AUTsivers	helium3	k-	-8.1979E-02	6.5281E-03
8.5859E+00	6.8976E-01	9.7573E-02	4.3189E-01	8.9376E-01	AUTsivers	helium3	k-	-3.2879E-02	1.4620E-03
8.9736E+00	9.0871E-01	5.3266E-02	5.0639E-01	9.1710E-01	AUTsivers	helium3	k-	1.2084E-05	2.3413E-03
1.6974E+01	9.2884E-01	9.7233E-02	6.1712E-01	8.8460E-01	AUTsivers	helium3	k-	3.6294E-06	2.2244E-03
