# Q2	x	y	z	pT	obs	target	hadron	value	error
1.2502E+00	1.8089E-02	4.1930E-01	3.2460E-01	1.3161E-01	AUTsivers	helium3	k+	-8.5126E-03	5.0271E-03
1.2633E+00	4.3595E-02	1.6170E-01	3.2471E-01	1.3437E-01	AUTsivers	helium3	k+	-1.2714E-02	5.4801E-03
1.2776E+00	8.8838E-02	8.0051E-02	3.2667E-01	1.4045E-01	AUTsivers	helium3	k+	-2.6786E-02	4.6495E-03
2.0214E+00	3.4364E-02	3.7107E-01	3.2388E-01	1.3357E-01	AUTsivers	helium3	k+	-1.0618E-02	5.2929E-03
2.0329E+00	8.7156E-02	1.3015E-01	3.2264E-01	1.2927E-01	AUTsivers	helium3	k+	-2.2865E-02	6.2396E-03
2.0577E+00	1.6120E-01	6.9699E-02	3.2625E-01	1.3674E-01	AUTsivers	helium3	k+	-2.5534E-02	6.5253E-03
3.3243E+00	5.1794E-02	3.9248E-01	3.2301E-01	1.3089E-01	AUTsivers	helium3	k+	-1.4441E-02	6.4663E-03
3.3251E+00	1.4829E-01	1.3091E-01	3.2484E-01	1.3292E-01	AUTsivers	helium3	k+	-2.5435E-02	6.1516E-03
5.3600E+00	9.8608E-02	3.4725E-01	3.2176E-01	1.3187E-01	AUTsivers	helium3	k+	-2.4726E-02	6.6128E-03
5.4367E+00	2.9380E-01	1.0823E-01	3.2154E-01	1.2886E-01	AUTsivers	helium3	k+	-5.6148E-03	8.3554E-03
8.7598E+00	2.1630E-01	2.9136E-01	3.2070E-01	1.3072E-01	AUTsivers	helium3	k+	-1.5667E-02	7.5875E-03
1.6664E+01	2.9735E-01	3.6210E-01	3.2076E-01	1.3143E-01	AUTsivers	helium3	k+	-6.3720E-03	8.7371E-03
1.2200E+00	1.1112E-02	6.0189E-01	3.2450E-01	4.9595E-01	AUTsivers	helium3	k+	-3.0785E-02	5.2419E-03
1.2611E+00	1.7352E-02	3.9265E-01	3.2422E-01	4.9796E-01	AUTsivers	helium3	k+	-2.8775E-02	5.7645E-03
1.2707E+00	2.4811E-02	2.7685E-01	3.2456E-01	4.9741E-01	AUTsivers	helium3	k+	-2.9425E-02	5.3562E-03
1.2701E+00	3.5130E-02	1.9515E-01	3.2642E-01	4.9374E-01	AUTsivers	helium3	k+	-3.4833E-02	5.0153E-03
1.2891E+00	5.0478E-02	1.3803E-01	3.2648E-01	5.0072E-01	AUTsivers	helium3	k+	-4.9274E-02	4.5278E-03
1.2618E+00	7.1431E-02	9.5418E-02	3.2621E-01	4.9288E-01	AUTsivers	helium3	k+	-6.9953E-02	4.3603E-03
