# Q2	x	y	z	pT	obs	target	hadron	value	error
1.2503E+00	1.4346E-02	4.9349E-01	3.2213E-01	1.3363E-01	AUTsivers	neutron	pi+	-1.2135E-02	5.2447E-03
1.3024E+00	3.0348E-02	2.3897E-01	3.2432E-01	1.3614E-01	AUTsivers	neutron	pi+	-1.3244E-02	4.4643E-03
1.2903E+00	4.9794E-02	1.4028E-01	3.2303E-01	1.2615E-01	AUTsivers	neutron	pi+	-1.7929E-02	5.8722E-03
1.2776E+00	7.2808E-02	9.4948E-02	3.2187E-01	1.2739E-01	AUTsivers	neutron	pi+	-2.7021E-02	4.9642E-03
1.3114E+00	1.0145E-01	6.9770E-02	3.1962E-01	1.3143E-01	AUTsivers	neutron	pi+	-3.6564E-02	5.3656E-03
1.4235E+00	1.3090E-01	5.8344E-02	3.2513E-01	1.3541E-01	AUTsivers	neutron	pi+	-4.1563E-02	9.1994E-03
2.0063E+00	2.1649E-02	5.1735E-01	3.2362E-01	1.3440E-01	AUTsivers	neutron	pi+	-1.1909E-02	6.0431E-03
2.0690E+00	4.4004E-02	2.6244E-01	3.2403E-01	1.3367E-01	AUTsivers	neutron	pi+	-1.6523E-02	4.6497E-03
2.0635E+00	7.1276E-02	1.5638E-01	3.2258E-01	1.3287E-01	AUTsivers	neutron	pi+	-2.6842E-02	5.5924E-03
2.0346E+00	1.0171E-01	1.0817E-01	3.2409E-01	1.3226E-01	AUTsivers	neutron	pi+	-3.6269E-02	5.2631E-03
2.1554E+00	1.4329E-01	8.1180E-02	3.2253E-01	1.3740E-01	AUTsivers	neutron	pi+	-4.0792E-02	5.8838E-03
2.2548E+00	2.0714E-01	5.8555E-02	3.2094E-01	1.4234E-01	AUTsivers	neutron	pi+	-3.0742E-02	6.8491E-03
3.2772E+00	4.1450E-02	4.5288E-01	3.2356E-01	1.3356E-01	AUTsivers	neutron	pi+	-1.5431E-02	5.3023E-03
3.3580E+00	7.1920E-02	2.5230E-01	3.2326E-01	1.3138E-01	AUTsivers	neutron	pi+	-2.6213E-02	6.7627E-03
3.3538E+00	1.0266E-01	1.7672E-01	3.2310E-01	1.3097E-01	AUTsivers	neutron	pi+	-3.5187E-02	6.1331E-03
3.3862E+00	1.4360E-01	1.2748E-01	3.2157E-01	1.3206E-01	AUTsivers	neutron	pi+	-3.8396E-02	6.1840E-03
3.3921E+00	2.0315E-01	8.9995E-02	3.2379E-01	1.3421E-01	AUTsivers	neutron	pi+	-2.9650E-02	7.0688E-03
3.4579E+00	2.8498E-01	6.5432E-02	3.2537E-01	1.2781E-01	AUTsivers	neutron	pi+	-1.1350E-02	7.3069E-03
5.3317E+00	6.1044E-02	4.9200E-01	3.2299E-01	1.3451E-01	AUTsivers	neutron	pi+	-2.2264E-02	6.4688E-03
5.4066E+00	1.2333E-01	2.4347E-01	3.2369E-01	1.3063E-01	AUTsivers	neutron	pi+	-3.7406E-02	5.4243E-03
5.4925E+00	2.4621E-01	1.2395E-01	3.2221E-01	1.3509E-01	AUTsivers	neutron	pi+	-1.9336E-02	6.2768E-03
8.6886E+00	1.1537E-01	4.3566E-01	3.2302E-01	1.3199E-01	AUTsivers	neutron	pi+	-3.6541E-02	6.3354E-03
8.8144E+00	2.4410E-01	2.0107E-01	3.2334E-01	1.3368E-01	AUTsivers	neutron	pi+	-1.9418E-02	7.4968E-03
1.4228E+01	2.1263E-01	3.9953E-01	3.2322E-01	1.2967E-01	AUTsivers	neutron	pi+	-2.5621E-02	7.5787E-03
1.1471E+00	8.8630E-03	6.9589E-01	3.2268E-01	5.0079E-01	AUTsivers	neutron	pi+	-4.3600E-02	5.7325E-03
1.2533E+00	1.2231E-02	5.5376E-01	3.2327E-01	4.9915E-01	AUTsivers	neutron	pi+	-4.1396E-02	3.9092E-03
1.2732E+00	1.7412E-02	3.9521E-01	3.2292E-01	4.9767E-01	AUTsivers	neutron	pi+	-3.9648E-02	3.5962E-03
1.2654E+00	2.4768E-02	2.7625E-01	3.2352E-01	5.0002E-01	AUTsivers	neutron	pi+	-4.0586E-02	3.3256E-03
1.2789E+00	3.5106E-02	1.9670E-01	3.2241E-01	5.0000E-01	AUTsivers	neutron	pi+	-4.6856E-02	3.2056E-03
1.2840E+00	5.0046E-02	1.3862E-01	3.2485E-01	4.9705E-01	AUTsivers	neutron	pi+	-6.3564E-02	3.0386E-03
1.2780E+00	7.0044E-02	9.8341E-02	3.2348E-01	4.9664E-01	AUTsivers	neutron	pi+	-9.0649E-02	2.9386E-03
1.3087E+00	1.0207E-01	6.9458E-02	3.2688E-01	5.0068E-01	AUTsivers	neutron	pi+	-1.2649E-01	2.8050E-03
1.4615E+00	1.3785E-01	5.7015E-02	3.2115E-01	5.1331E-01	AUTsivers	neutron	pi+	-1.3820E-01	4.8214E-03
1.9484E+00	1.6680E-02	6.3386E-01	3.2258E-01	4.9771E-01	AUTsivers	neutron	pi+	-3.9436E-02	4.3955E-03
2.0344E+00	2.4760E-02	4.4400E-01	3.2325E-01	4.9927E-01	AUTsivers	neutron	pi+	-4.0104E-02	4.1224E-03
2.0434E+00	3.5358E-02	3.1258E-01	3.2333E-01	4.9814E-01	AUTsivers	neutron	pi+	-4.6309E-02	3.8511E-03
2.0574E+00	5.0343E-02	2.2101E-01	3.2258E-01	4.9670E-01	AUTsivers	neutron	pi+	-6.2225E-02	3.5542E-03
2.0829E+00	7.1130E-02	1.5824E-01	3.2312E-01	4.9781E-01	AUTsivers	neutron	pi+	-8.9615E-02	3.5250E-03
2.0345E+00	1.0121E-01	1.0900E-01	3.2441E-01	5.0111E-01	AUTsivers	neutron	pi+	-1.2208E-01	3.4377E-03
2.0940E+00	1.4219E-01	7.9304E-02	3.2244E-01	4.9966E-01	AUTsivers	neutron	pi+	-1.3271E-01	3.3651E-03
2.1145E+00	1.9789E-01	5.7277E-02	3.2174E-01	5.1341E-01	AUTsivers	neutron	pi+	-1.0610E-01	4.3285E-03
3.2273E+00	3.1426E-02	5.6711E-01	3.2259E-01	4.9795E-01	AUTsivers	neutron	pi+	-4.2848E-02	4.0715E-03
3.3218E+00	5.0235E-02	3.5748E-01	3.2289E-01	4.9610E-01	AUTsivers	neutron	pi+	-6.0921E-02	4.5611E-03
3.3364E+00	7.1271E-02	2.5299E-01	3.2356E-01	4.9380E-01	AUTsivers	neutron	pi+	-8.7344E-02	4.1537E-03
3.3599E+00	1.0107E-01	1.7975E-01	3.2407E-01	4.9617E-01	AUTsivers	neutron	pi+	-1.1811E-01	4.2315E-03
3.3234E+00	1.4452E-01	1.2427E-01	3.2270E-01	4.9204E-01	AUTsivers	neutron	pi+	-1.2829E-01	4.2731E-03
3.3975E+00	2.0474E-01	8.9799E-02	3.2305E-01	4.8724E-01	AUTsivers	neutron	pi+	-9.5214E-02	4.4606E-03
3.3445E+00	2.8852E-01	6.2531E-02	3.2085E-01	4.8881E-01	AUTsivers	neutron	pi+	-3.6580E-02	5.1523E-03
5.2079E+00	4.6936E-02	6.0543E-01	3.2343E-01	4.9647E-01	AUTsivers	neutron	pi+	-5.6434E-02	5.7183E-03
5.3727E+00	7.1704E-02	4.0510E-01	3.2351E-01	4.9433E-01	AUTsivers	neutron	pi+	-8.6476E-02	5.6493E-03
5.4311E+00	1.0123E-01	2.8978E-01	3.2347E-01	4.9802E-01	AUTsivers	neutron	pi+	-1.1648E-01	5.3073E-03
5.4246E+00	1.4438E-01	2.0313E-01	3.2425E-01	4.9651E-01	AUTsivers	neutron	pi+	-1.2770E-01	5.4272E-03
5.4519E+00	2.0595E-01	1.4317E-01	3.2257E-01	4.9698E-01	AUTsivers	neutron	pi+	-9.4286E-02	5.5373E-03
5.5035E+00	2.8809E-01	1.0310E-01	3.2397E-01	4.9331E-01	AUTsivers	neutron	pi+	-3.6505E-02	6.5783E-03
5.5823E+00	4.0846E-01	7.3845E-02	3.4829E-01	4.8860E-01	AUTsivers	neutron	pi+	-3.1511E-03	9.2491E-03
8.5325E+00	8.8537E-02	5.3687E-01	3.2336E-01	4.9394E-01	AUTsivers	neutron	pi+	-1.0371E-01	5.6294E-03
8.7587E+00	1.4491E-01	3.2676E-01	3.2262E-01	4.9033E-01	AUTsivers	neutron	pi+	-1.2468E-01	6.9338E-03
8.7704E+00	2.0559E-01	2.3080E-01	3.2373E-01	4.8933E-01	AUTsivers	neutron	pi+	-9.2696E-02	7.1272E-03
8.7286E+00	2.9027E-01	1.6273E-01	3.2334E-01	4.9116E-01	AUTsivers	neutron	pi+	-3.4597E-02	8.1033E-03
8.8022E+00	4.4415E-01	1.0888E-01	3.4834E-01	4.9483E-01	AUTsivers	neutron	pi+	-7.6144E-04	9.5459E-03
1.3879E+01	1.6742E-01	4.7433E-01	3.2331E-01	4.9211E-01	AUTsivers	neutron	pi+	-1.1675E-01	6.3780E-03
1.4374E+01	3.4248E-01	2.3347E-01	3.2375E-01	4.8933E-01	AUTsivers	neutron	pi+	-1.3428E-02	8.8738E-03
