# Q2	x	y	z	pT	obs	target	hadron	value	error
1.6009E+00	1.3025E-02	4.6961E-01	3.2215E-01	1.3232E-01	AUTsivers	proton	k-	5.2804E-03	1.9414E-03
1.9681E+00	3.0370E-02	2.4097E-01	3.2096E-01	1.3093E-01	AUTsivers	proton	k-	7.4546E-03	1.9488E-03
2.0536E+00	5.9500E-02	1.2698E-01	3.2036E-01	1.3153E-01	AUTsivers	proton	k-	1.0223E-02	1.8791E-03
2.7100E+00	1.2961E-01	7.7572E-02	3.2059E-01	1.3235E-01	AUTsivers	proton	k-	1.4401E-02	2.2177E-03
8.1038E+00	1.3989E-01	2.8604E-01	3.2509E-01	1.3142E-01	AUTsivers	proton	k-	1.4109E-02	1.9007E-03
1.0860E+01	4.3392E-01	9.0557E-02	3.4830E-01	1.3142E-01	AUTsivers	proton	k-	6.0931E-03	6.2536E-03
1.2458E+00	9.5430E-03	4.9886E-01	3.2302E-01	4.9547E-01	AUTsivers	proton	k-	1.8635E-02	1.8226E-03
1.2738E+00	2.1120E-02	2.2439E-01	3.2240E-01	4.9529E-01	AUTsivers	proton	k-	1.8461E-02	1.9282E-03
1.2834E+00	4.2324E-02	1.1266E-01	3.2037E-01	4.9800E-01	AUTsivers	proton	k-	1.8682E-02	1.9237E-03
1.3232E+00	7.5856E-02	6.3210E-02	3.2065E-01	4.8787E-01	AUTsivers	proton	k-	1.7759E-02	2.4789E-03
2.3465E+00	1.8822E-02	4.7934E-01	3.2145E-01	4.9488E-01	AUTsivers	proton	k-	2.3582E-02	1.6109E-03
2.5531E+00	4.2760E-02	2.2200E-01	3.2087E-01	4.9408E-01	AUTsivers	proton	k-	3.4936E-02	1.6561E-03
2.5754E+00	8.5704E-02	1.1156E-01	3.1960E-01	4.9465E-01	AUTsivers	proton	k-	4.4546E-02	1.6172E-03
2.9981E+00	1.5999E-01	6.8074E-02	3.1947E-01	4.9208E-01	AUTsivers	proton	k-	4.6747E-02	2.2603E-03
7.0567E+00	6.8972E-02	4.0963E-01	3.2387E-01	4.9360E-01	AUTsivers	proton	k-	3.8226E-02	1.8952E-03
