# Q2	x	y	z	pT	obs	target	hadron	value	error
1.4638E+00	1.2899E-02	4.4349E-01	3.2433E-01	1.3236E-01	AUTsivers	proton	k+	7.4555E-03	1.6901E-03
1.5613E+00	3.0625E-02	1.9002E-01	3.2439E-01	1.3075E-01	AUTsivers	proton	k+	1.1117E-02	1.6778E-03
1.5529E+00	6.0085E-02	9.5283E-02	3.2518E-01	1.3142E-01	AUTsivers	proton	k+	1.4628E-02	1.4832E-03
1.9295E+00	1.0930E-01	6.3752E-02	3.2642E-01	1.3590E-01	AUTsivers	proton	k+	1.6796E-02	2.0304E-03
4.2621E+00	3.8254E-02	4.3132E-01	3.2219E-01	1.3150E-01	AUTsivers	proton	k+	1.1024E-02	1.9931E-03
5.0852E+00	8.7797E-02	2.1455E-01	3.2175E-01	1.3095E-01	AUTsivers	proton	k+	1.5295E-02	1.8399E-03
5.3734E+00	1.7453E-01	1.1396E-01	3.2172E-01	1.3059E-01	AUTsivers	proton	k+	1.6654E-02	1.6354E-03
7.0034E+00	3.3081E-01	7.7381E-02	3.2078E-01	1.3474E-01	AUTsivers	proton	k+	1.1165E-02	2.4132E-03
1.7208E+01	2.6357E-01	3.0336E-01	3.2083E-01	1.3234E-01	AUTsivers	proton	k+	1.6018E-02	2.0509E-03
1.2461E+00	9.6740E-03	4.9214E-01	3.2467E-01	4.9548E-01	AUTsivers	proton	k+	2.2179E-02	1.5353E-03
1.2718E+00	2.1361E-02	2.2152E-01	3.2502E-01	4.9539E-01	AUTsivers	proton	k+	3.1682E-02	1.4816E-03
1.2759E+00	3.5117E-02	1.3100E-01	3.2457E-01	4.9424E-01	AUTsivers	proton	k+	4.0058E-02	1.9263E-03
1.2878E+00	5.0030E-02	9.2768E-02	3.2498E-01	5.0070E-01	AUTsivers	proton	k+	4.6699E-02	1.8583E-03
1.2712E+00	7.0647E-02	6.4680E-02	3.2644E-01	4.8712E-01	AUTsivers	proton	k+	5.1008E-02	1.6420E-03
1.4612E+00	9.4866E-02	5.5136E-02	3.2459E-01	4.9165E-01	AUTsivers	proton	k+	5.4570E-02	2.9594E-03
2.0106E+00	1.8162E-02	4.4030E-01	3.2414E-01	4.9511E-01	AUTsivers	proton	k+	2.6943E-02	1.6106E-03
2.0409E+00	4.3014E-02	1.7674E-01	3.2464E-01	4.9450E-01	AUTsivers	proton	k+	4.0483E-02	1.6739E-03
2.0278E+00	8.6972E-02	8.6698E-02	3.2560E-01	4.9448E-01	AUTsivers	proton	k+	5.1342E-02	1.4918E-03
2.2631E+00	1.3798E-01	5.8804E-02	3.2324E-01	4.8494E-01	AUTsivers	proton	k+	5.2069E-02	2.7928E-03
3.3113E+00	3.5077E-02	3.9023E-01	3.2318E-01	4.9373E-01	AUTsivers	proton	k+	3.4437E-02	1.6610E-03
3.3663E+00	8.7360E-02	1.4318E-01	3.2331E-01	4.9412E-01	AUTsivers	proton	k+	4.9181E-02	1.8281E-03
