# Q2	x	y	z	pT	obs	target	hadron	value	error
1.2683E+00	1.2658E-02	4.0188E-01	3.2273E-01	1.3488E-01	AUTsivers	proton	pi-	3.8512E-03	1.6803E-03
1.2892E+00	3.0263E-02	1.5815E-01	3.2273E-01	1.3530E-01	AUTsivers	proton	pi-	4.9820E-03	1.7695E-03
1.3042E+00	5.9242E-02	8.1484E-02	3.2317E-01	1.3562E-01	AUTsivers	proton	pi-	4.2677E-03	1.6410E-03
1.4797E+00	9.5520E-02	5.5492E-02	3.2068E-01	1.2444E-01	AUTsivers	proton	pi-	2.2739E-03	3.7964E-03
2.0354E+00	1.8928E-02	4.2283E-01	3.2317E-01	1.3369E-01	AUTsivers	proton	pi-	4.5048E-03	1.8223E-03
2.0751E+00	4.3075E-02	1.7882E-01	3.2361E-01	1.3224E-01	AUTsivers	proton	pi-	5.2842E-03	1.7748E-03
2.0781E+00	8.5814E-02	9.0104E-02	3.2287E-01	1.3448E-01	AUTsivers	proton	pi-	3.5545E-03	1.7472E-03
2.2982E+00	1.4171E-01	5.8336E-02	3.2374E-01	1.3000E-01	AUTsivers	proton	pi-	3.1985E-03	3.1250E-03
3.3109E+00	3.6301E-02	3.7242E-01	3.2290E-01	1.3342E-01	AUTsivers	proton	pi-	5.5493E-03	1.6822E-03
3.3451E+00	8.7664E-02	1.4216E-01	3.2251E-01	1.3204E-01	AUTsivers	proton	pi-	4.1348E-03	1.7561E-03
3.4335E+00	1.6986E-01	7.4561E-02	3.2359E-01	1.3102E-01	AUTsivers	proton	pi-	4.9426E-03	1.8193E-03
4.0178E+00	2.6131E-01	5.4945E-02	3.2464E-01	1.3284E-01	AUTsivers	proton	pi-	8.3502E-03	6.8638E-03
6.2538E+00	5.5995E-02	4.3010E-01	3.2301E-01	1.3177E-01	AUTsivers	proton	pi-	5.6757E-03	1.6511E-03
6.8291E+00	1.2384E-01	2.0477E-01	3.2260E-01	1.3083E-01	AUTsivers	proton	pi-	4.4302E-03	1.5378E-03
6.9990E+00	2.4505E-01	1.0580E-01	3.2301E-01	1.3217E-01	AUTsivers	proton	pi-	8.3673E-03	1.5189E-03
8.1363E+00	4.2029E-01	6.9977E-02	3.4871E-01	1.3256E-01	AUTsivers	proton	pi-	5.7158E-03	3.1368E-03
1.6633E+01	1.9348E-01	3.5595E-01	3.2319E-01	1.3144E-01	AUTsivers	proton	pi-	7.2216E-03	1.7639E-03
1.7420E+01	4.6659E-01	1.3839E-01	3.4816E-01	1.3085E-01	AUTsivers	proton	pi-	4.2117E-03	3.2157E-03
1.2369E+00	7.7470E-03	5.8472E-01	3.2288E-01	4.9848E-01	AUTsivers	proton	pi-	1.1268E-02	1.3152E-03
1.2738E+00	1.2202E-02	3.7632E-01	3.2318E-01	4.9982E-01	AUTsivers	proton	pi-	1.2602E-02	1.5025E-03
1.2783E+00	1.7412E-02	2.6497E-01	3.2294E-01	4.9664E-01	AUTsivers	proton	pi-	1.4021E-02	1.4160E-03
1.2756E+00	2.4723E-02	1.8601E-01	3.2248E-01	4.9763E-01	AUTsivers	proton	pi-	1.5632E-02	1.3367E-03
1.2755E+00	3.5440E-02	1.2971E-01	3.2287E-01	4.9678E-01	AUTsivers	proton	pi-	1.6558E-02	1.2535E-03
1.2501E+00	4.9932E-02	9.0273E-02	3.2387E-01	4.9949E-01	AUTsivers	proton	pi-	1.5421E-02	1.1903E-03
1.3100E+00	7.0277E-02	6.7142E-02	3.2194E-01	4.9169E-01	AUTsivers	proton	pi-	1.1628E-02	1.3307E-03
1.4969E+00	9.5291E-02	5.6312E-02	3.2102E-01	4.9834E-01	AUTsivers	proton	pi-	8.2224E-03	2.2029E-03
1.9640E+00	1.1510E-02	6.1977E-01	3.2282E-01	4.9862E-01	AUTsivers	proton	pi-	1.2689E-02	1.7126E-03
2.0454E+00	1.7410E-02	4.2375E-01	3.2274E-01	4.9622E-01	AUTsivers	proton	pi-	1.4504E-02	1.7317E-03
2.0510E+00	2.4715E-02	2.9924E-01	3.2311E-01	4.9708E-01	AUTsivers	proton	pi-	1.6341E-02	1.5959E-03
2.0584E+00	3.5193E-02	2.1092E-01	3.2319E-01	4.9573E-01	AUTsivers	proton	pi-	1.7628E-02	1.4979E-03
2.0563E+00	4.9941E-02	1.4844E-01	3.2245E-01	4.9530E-01	AUTsivers	proton	pi-	1.7176E-02	1.4095E-03
2.0695E+00	7.1745E-02	1.0409E-01	3.2277E-01	4.9580E-01	AUTsivers	proton	pi-	1.3978E-02	1.3481E-03
2.0700E+00	1.0096E-01	7.3968E-02	3.2384E-01	4.9683E-01	AUTsivers	proton	pi-	9.8310E-03	1.3454E-03
2.2693E+00	1.3845E-01	5.8770E-02	3.2415E-01	4.9283E-01	AUTsivers	proton	pi-	1.0441E-02	1.8079E-03
2.5466E+00	1.7653E-01	5.1500E-02	3.2872E-01	5.2646E-01	AUTsivers	proton	pi-	1.6688E-02	7.9920E-03
3.2328E+00	2.1594E-02	5.5471E-01	3.2293E-01	4.9765E-01	AUTsivers	proton	pi-	1.6022E-02	1.6152E-03
3.3251E+00	3.5252E-02	3.4022E-01	3.2273E-01	4.9590E-01	AUTsivers	proton	pi-	1.8349E-02	1.9042E-03
