# Q2	x	y	z	pT	obs	target	hadron	value	error
1.2557E+00	1.0034E-02	4.7650E-01	3.2257E-01	1.3615E-01	AUTsivers	proton	pi+	5.3224E-03	1.9898E-03
1.2863E+00	2.1308E-02	2.2481E-01	3.2310E-01	1.3476E-01	AUTsivers	proton	pi+	8.0674E-03	1.7560E-03
1.2908E+00	4.2932E-02	1.1174E-01	3.2294E-01	1.3449E-01	AUTsivers	proton	pi+	1.2231E-02	1.4719E-03
1.3650E+00	7.7437E-02	6.4124E-02	3.2264E-01	1.3303E-01	AUTsivers	proton	pi+	1.5772E-02	1.7263E-03
2.0354E+00	1.9043E-02	4.2005E-01	3.2324E-01	1.3367E-01	AUTsivers	proton	pi+	7.3625E-03	1.6990E-03
2.0742E+00	4.3265E-02	1.7794E-01	3.2372E-01	1.3226E-01	AUTsivers	proton	pi+	1.1886E-02	1.5966E-03
2.0759E+00	8.6406E-02	8.9404E-02	3.2300E-01	1.3459E-01	AUTsivers	proton	pi+	1.6319E-02	1.4974E-03
2.2992E+00	1.4198E-01	5.8255E-02	3.2390E-01	1.3007E-01	AUTsivers	proton	pi+	1.7437E-02	2.5653E-03
3.2885E+00	2.8467E-02	4.4556E-01	3.2288E-01	1.3385E-01	AUTsivers	proton	pi+	9.3037E-03	1.9512E-03
3.3555E+00	6.1936E-02	2.0135E-01	3.2270E-01	1.3359E-01	AUTsivers	proton	pi+	1.4094E-02	1.6686E-03
3.3378E+00	1.2373E-01	1.0023E-01	3.2326E-01	1.2941E-01	AUTsivers	proton	pi+	1.6955E-02	1.4373E-03
3.6053E+00	2.1039E-01	6.1855E-02	3.2419E-01	1.3360E-01	AUTsivers	proton	pi+	1.6872E-02	2.0308E-03
5.3692E+00	5.4302E-02	3.9279E-01	3.2312E-01	1.3159E-01	AUTsivers	proton	pi+	1.2982E-02	1.7427E-03
5.4777E+00	1.2399E-01	1.6429E-01	3.2255E-01	1.3105E-01	AUTsivers	proton	pi+	1.7056E-02	1.6802E-03
5.5023E+00	2.4433E-01	8.3374E-02	3.2331E-01	1.3282E-01	AUTsivers	proton	pi+	1.5458E-02	1.6344E-03
6.1946E+00	3.9304E-01	5.6476E-02	3.4945E-01	1.3637E-01	AUTsivers	proton	pi+	8.4253E-03	4.3976E-03
9.9402E+00	8.3604E-02	4.5085E-01	3.2314E-01	1.3171E-01	AUTsivers	proton	pi+	1.5489E-02	1.7866E-03
1.0885E+01	1.7780E-01	2.2718E-01	3.2317E-01	1.3127E-01	AUTsivers	proton	pi+	1.7210E-02	1.4915E-03
1.0991E+01	3.3812E-01	1.1997E-01	3.2362E-01	1.3143E-01	AUTsivers	proton	pi+	1.0600E-02	1.5802E-03
1.2275E+01	5.7074E-01	7.7326E-02	3.2274E-01	1.2963E-01	AUTsivers	proton	pi+	1.7732E-03	4.0675E-03
2.2895E+01	2.9359E-01	3.4277E-01	3.2317E-01	1.3048E-01	AUTsivers	proton	pi+	1.2872E-02	2.2598E-03
1.2368E+00	7.7570E-03	5.8388E-01	3.2293E-01	4.9848E-01	AUTsivers	proton	pi+	1.5553E-02	1.2482E-03
1.2732E+00	1.2209E-02	3.7590E-01	3.2324E-01	4.9982E-01	AUTsivers	proton	pi+	1.9263E-02	1.4100E-03
1.2774E+00	1.7424E-02	2.6460E-01	3.2301E-01	4.9665E-01	AUTsivers	proton	pi+	2.3476E-02	1.3148E-03
1.2747E+00	2.4744E-02	1.8572E-01	3.2256E-01	4.9762E-01	AUTsivers	proton	pi+	2.9182E-02	1.2250E-03
1.2745E+00	3.5475E-02	1.2947E-01	3.2297E-01	4.9676E-01	AUTsivers	proton	pi+	3.6283E-02	1.1297E-03
1.2489E+00	5.0000E-02	9.0064E-02	3.2399E-01	4.9935E-01	AUTsivers	proton	pi+	4.4023E-02	1.0505E-03
1.3088E+00	7.0387E-02	6.6976E-02	3.2208E-01	4.9180E-01	AUTsivers	proton	pi+	5.0402E-02	1.1470E-03
1.4973E+00	9.5413E-02	5.6259E-02	3.2116E-01	4.9846E-01	AUTsivers	proton	pi+	5.5950E-02	1.8564E-03
1.9640E+00	1.1522E-02	6.1910E-01	3.2288E-01	4.9862E-01	AUTsivers	proton	pi+	1.8446E-02	1.6186E-03
2.0445E+00	1.7421E-02	4.2328E-01	3.2281E-01	4.9621E-01	AUTsivers	proton	pi+	2.3117E-02	1.6183E-03
2.0500E+00	2.4734E-02	2.9885E-01	3.2319E-01	4.9708E-01	AUTsivers	proton	pi+	2.8709E-02	1.4731E-03
2.0573E+00	3.5227E-02	2.1060E-01	3.2328E-01	4.9572E-01	AUTsivers	proton	pi+	3.5456E-02	1.3616E-03
2.0551E+00	5.0008E-02	1.4816E-01	3.2258E-01	4.9532E-01	AUTsivers	proton	pi+	4.2783E-02	1.2570E-03
2.0679E+00	7.1864E-02	1.0384E-01	3.2291E-01	4.9573E-01	AUTsivers	proton	pi+	5.0317E-02	1.1719E-03
2.0682E+00	1.0114E-01	7.3771E-02	3.2400E-01	4.9679E-01	AUTsivers	proton	pi+	5.6405E-02	1.1355E-03
2.2696E+00	1.3865E-01	5.8693E-02	3.2437E-01	4.9300E-01	AUTsivers	proton	pi+	5.9065E-02	1.4859E-03
2.5466E+00	1.7656E-01	5.1491E-02	3.2891E-01	5.2623E-01	AUTsivers	proton	pi+	6.1941E-02	6.4354E-03
3.2335E+00	2.1656E-02	5.5317E-01	3.2300E-01	4.9765E-01	AUTsivers	proton	pi+	2.6090E-02	1.5059E-03
3.3239E+00	3.5286E-02	3.3977E-01	3.2282E-01	4.9590E-01	AUTsivers	proton	pi+	3.4971E-02	1.7404E-03
3.3385E+00	5.0137E-02	2.4012E-01	3.2337E-01	4.9660E-01	AUTsivers	proton	pi+	4.2425E-02	1.5703E-03
3.3622E+00	7.1134E-02	1.7045E-01	3.2287E-01	4.9443E-01	AUTsivers	proton	pi+	4.9426E-02	1.4673E-03
3.3420E+00	1.0175E-01	1.1850E-01	3.2306E-01	4.9332E-01	AUTsivers	proton	pi+	5.5484E-02	1.3506E-03
3.3647E+00	1.4414E-01	8.4228E-02	3.2399E-01	4.9484E-01	AUTsivers	proton	pi+	5.8910E-02	1.3347E-03
3.5054E+00	2.0038E-01	6.2907E-02	3.2383E-01	5.0484E-01	AUTsivers	proton	pi+	5.7625E-02	1.5078E-03
3.9905E+00	2.6387E-01	5.4038E-02	3.2242E-01	5.0377E-01	AUTsivers	proton	pi+	4.9146E-02	3.4408E-03
5.2906E+00	4.1261E-02	4.8741E-01	3.2308E-01	4.9502E-01	AUTsivers	proton	pi+	3.7793E-02	1.4445E-03
5.4257E+00	7.1377E-02	2.7409E-01	3.2314E-01	4.9451E-01	AUTsivers	proton	pi+	4.9193E-02	1.8579E-03
5.4328E+00	1.0189E-01	1.9234E-01	3.2369E-01	4.9427E-01	AUTsivers	proton	pi+	5.5352E-02	1.6897E-03
5.4585E+00	1.4498E-01	1.3582E-01	3.2377E-01	4.9528E-01	AUTsivers	proton	pi+	5.8671E-02	1.5812E-03
5.4629E+00	2.0382E-01	9.6597E-02	3.2326E-01	4.9391E-01	AUTsivers	proton	pi+	5.6156E-02	1.5775E-03
5.4501E+00	2.9053E-01	6.7547E-02	3.2351E-01	4.9190E-01	AUTsivers	proton	pi+	4.3915E-02	1.6587E-03
6.1209E+00	3.8904E-01	5.6364E-02	3.4835E-01	4.9738E-01	AUTsivers	proton	pi+	2.7902E-02	3.2894E-03
8.5463E+00	6.1373E-02	5.2008E-01	3.2329E-01	4.9371E-01	AUTsivers	proton	pi+	4.5904E-02	1.9002E-03
