i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
0,11.0,0.071678,0.764554,0.326958,1.128308,0.291960,AUT,0.0,0.009443,0.070207,0.008406,proton,pi+,solid
1,11.0,0.094172,0.740056,0.330059,1.438054,0.290361,AUT,0.0,0.008247,0.070207,0.008262,proton,pi+,solid
2,11.0,0.121881,0.718616,0.333437,1.805533,0.290228,AUT,0.0,0.013239,0.070207,0.008082,proton,pi+,solid
3,11.0,0.069787,0.794046,0.326000,1.140630,0.495329,AUT,0.0,0.006799,0.070207,0.008419,proton,pi+,solid
4,11.0,0.091321,0.769656,0.327780,1.450647,0.495207,AUT,0.0,0.006199,0.070207,0.008280,proton,pi+,solid
5,11.0,0.116560,0.743280,0.330392,1.784908,0.493287,AUT,0.0,0.008233,0.070207,0.008117,proton,pi+,solid
6,11.0,0.082203,0.790323,0.328427,1.335811,0.690063,AUT,0.0,0.006711,0.070207,0.008337,proton,pi+,solid
7,11.0,0.120889,0.737663,0.332269,1.837490,0.683385,AUT,0.0,0.019324,0.070207,0.008088,proton,pi+,solid
8,11.0,0.075384,0.716177,0.373724,1.110501,0.282771,AUT,0.0,0.008381,0.070207,0.008366,proton,pi+,solid
9,11.0,0.090725,0.678520,0.376002,1.270424,0.269572,AUT,0.0,0.008393,0.070207,0.008267,proton,pi+,solid
10,11.0,0.106538,0.668736,0.376694,1.470406,0.267440,AUT,0.0,0.008353,0.070207,0.008166,proton,pi+,solid
11,11.0,0.127705,0.653291,0.377973,1.720877,0.263030,AUT,0.0,0.008145,0.070207,0.008028,proton,pi+,solid
12,11.0,0.149600,0.618243,0.383988,1.907759,0.246349,AUT,0.0,0.016336,0.070207,0.007888,proton,pi+,solid
13,11.0,0.072050,0.761621,0.373817,1.127932,0.496027,AUT,0.0,0.006652,0.070207,0.008388,proton,pi+,solid
14,11.0,0.089977,0.715074,0.375228,1.327776,0.493959,AUT,0.0,0.006135,0.070207,0.008271,proton,pi+,solid
15,11.0,0.111052,0.697382,0.375844,1.597248,0.493496,AUT,0.0,0.005612,0.070207,0.008135,proton,pi+,solid
16,11.0,0.136394,0.651981,0.378951,1.832080,0.489200,AUT,0.0,0.008001,0.070207,0.007972,proton,pi+,solid
17,11.0,0.080356,0.757311,0.375509,1.248789,0.680274,AUT,0.0,0.005929,0.070207,0.008333,proton,pi+,solid
18,11.0,0.117973,0.696058,0.377340,1.686563,0.677991,AUT,0.0,0.007273,0.070207,0.008089,proton,pi+,solid
19,11.0,0.093092,0.737517,0.378253,1.395569,0.872636,AUT,0.0,0.013375,0.070207,0.008248,proton,pi+,solid
20,11.0,0.103640,0.616042,0.425148,1.310415,0.134320,AUT,0.0,0.007559,0.070207,0.008168,proton,pi+,solid
21,11.0,0.149255,0.578713,0.427695,1.779126,0.130278,AUT,0.0,0.012095,0.070207,0.007876,proton,pi+,solid
22,11.0,0.080316,0.686743,0.423402,1.133180,0.312568,AUT,0.0,0.009024,0.070207,0.008320,proton,pi+,solid
23,11.0,0.100038,0.635586,0.424926,1.311973,0.306053,AUT,0.0,0.009178,0.070207,0.008192,proton,pi+,solid
24,11.0,0.121348,0.621013,0.425360,1.554740,0.304142,AUT,0.0,0.008480,0.070207,0.008053,proton,pi+,solid
25,11.0,0.149393,0.586066,0.427374,1.802835,0.299766,AUT,0.0,0.008641,0.070207,0.007874,proton,pi+,solid
26,11.0,0.075222,0.736992,0.423739,1.138683,0.497750,AUT,0.0,0.007336,0.070207,0.008355,proton,pi+,solid
27,11.0,0.095386,0.675396,0.424593,1.328996,0.493646,AUT,0.0,0.006986,0.070207,0.008221,proton,pi+,solid
28,11.0,0.117789,0.650390,0.425012,1.579716,0.491745,AUT,0.0,0.006417,0.070207,0.008075,proton,pi+,solid
29,11.0,0.146635,0.598286,0.426733,1.805624,0.487595,AUT,0.0,0.008018,0.070207,0.007891,proton,pi+,solid
30,11.0,0.081231,0.739232,0.424638,1.230285,0.685543,AUT,0.0,0.005795,0.070207,0.008314,proton,pi+,solid
31,11.0,0.122661,0.653024,0.425908,1.639673,0.683516,AUT,0.0,0.005732,0.070207,0.008042,proton,pi+,solid
32,11.0,0.099259,0.705653,0.426862,1.412370,0.891039,AUT,0.0,0.008485,0.070207,0.008193,proton,pi+,solid
33,11.0,0.108813,0.580732,0.474466,1.295111,0.132785,AUT,0.0,0.007384,0.070207,0.008120,proton,pi+,solid
34,11.0,0.157682,0.535435,0.476296,1.736582,0.129615,AUT,0.0,0.010119,0.070207,0.007809,proton,pi+,solid
35,11.0,0.085867,0.656686,0.473521,1.156860,0.311235,AUT,0.0,0.008672,0.070207,0.008272,proton,pi+,solid
36,11.0,0.109630,0.597936,0.474435,1.352466,0.303857,AUT,0.0,0.009591,0.070207,0.008115,proton,pi+,solid
37,11.0,0.133467,0.578631,0.474894,1.592926,0.301210,AUT,0.0,0.008944,0.070207,0.007959,proton,pi+,solid
38,11.0,0.164332,0.532981,0.476566,1.802575,0.296912,AUT,0.0,0.009432,0.070207,0.007768,proton,pi+,solid
39,11.0,0.079460,0.710759,0.473824,1.158997,0.498986,AUT,0.0,0.007901,0.070207,0.008315,proton,pi+,solid
40,11.0,0.103307,0.642280,0.474396,1.368434,0.493617,AUT,0.0,0.007865,0.070207,0.008155,proton,pi+,solid
41,11.0,0.132106,0.602826,0.474877,1.639592,0.489895,AUT,0.0,0.007073,0.070207,0.007966,proton,pi+,solid
42,11.0,0.168149,0.531989,0.476562,1.841840,0.485042,AUT,0.0,0.014243,0.070207,0.007745,proton,pi+,solid
43,11.0,0.083273,0.724254,0.474407,1.234403,0.689193,AUT,0.0,0.006012,0.070207,0.008289,proton,pi+,solid
44,11.0,0.128635,0.618435,0.475311,1.623346,0.686252,AUT,0.0,0.005884,0.070207,0.007988,proton,pi+,solid
45,11.0,0.103800,0.682099,0.476211,1.417064,0.908564,AUT,0.0,0.006732,0.070207,0.008149,proton,pi+,solid
46,11.0,0.115996,0.552791,0.524139,1.311911,0.131676,AUT,0.0,0.007274,0.070207,0.008057,proton,pi+,solid
47,11.0,0.169521,0.495859,0.525746,1.727121,0.128792,AUT,0.0,0.010344,0.070207,0.007721,proton,pi+,solid
48,11.0,0.091108,0.631861,0.523520,1.179637,0.310639,AUT,0.0,0.008648,0.070207,0.008224,proton,pi+,solid
49,11.0,0.119877,0.568057,0.524218,1.404528,0.302455,AUT,0.0,0.009482,0.070207,0.008031,proton,pi+,solid
50,11.0,0.151103,0.532210,0.524773,1.656020,0.298103,AUT,0.0,0.008691,0.070207,0.007829,proton,pi+,solid
51,11.0,0.189197,0.473351,0.526939,1.844771,0.293016,AUT,0.0,0.013287,0.070207,0.007609,proton,pi+,solid
52,11.0,0.083440,0.688257,0.523877,1.177379,0.500070,AUT,0.0,0.008244,0.070207,0.008275,proton,pi+,solid
53,11.0,0.112185,0.614158,0.524350,1.420154,0.493761,AUT,0.0,0.008280,0.070207,0.008080,proton,pi+,solid
54,11.0,0.152171,0.547319,0.525089,1.704097,0.488195,AUT,0.0,0.008269,0.070207,0.007822,proton,pi+,solid
55,11.0,0.220164,0.431097,0.538854,1.958896,0.483560,AUT,0.0,0.173588,0.070207,0.007449,proton,pi+,solid
56,11.0,0.087032,0.704585,0.524262,1.253272,0.690567,AUT,0.0,0.006523,0.070207,0.008250,proton,pi+,solid
57,11.0,0.136976,0.583921,0.525061,1.628355,0.687769,AUT,0.0,0.007334,0.070207,0.007917,proton,pi+,solid
58,11.0,0.106244,0.668706,0.525495,1.414015,0.925189,AUT,0.0,0.005858,0.070207,0.008118,proton,pi+,solid
59,11.0,0.125275,0.527291,0.573923,1.348753,0.131142,AUT,0.0,0.007323,0.070207,0.007977,proton,pi+,solid
60,11.0,0.185306,0.457901,0.575259,1.742791,0.128265,AUT,0.0,0.012264,0.070207,0.007610,proton,pi+,solid
61,11.0,0.097539,0.607351,0.573705,1.211880,0.309913,AUT,0.0,0.008422,0.070207,0.008163,proton,pi+,solid
62,11.0,0.132838,0.539052,0.574234,1.476003,0.300944,AUT,0.0,0.009266,0.070207,0.007925,proton,pi+,solid
63,11.0,0.177013,0.475840,0.575092,1.726115,0.295159,AUT,0.0,0.008700,0.070207,0.007656,proton,pi+,solid
64,11.0,0.088356,0.664566,0.573893,1.202450,0.500640,AUT,0.0,0.008384,0.070207,0.008226,proton,pi+,solid
65,11.0,0.123603,0.585233,0.574324,1.489434,0.493833,AUT,0.0,0.008629,0.070207,0.007983,proton,pi+,solid
66,11.0,0.169162,0.501562,0.575123,1.734745,0.487763,AUT,0.0,0.011470,0.070207,0.007699,proton,pi+,solid
67,11.0,0.091531,0.683983,0.574329,1.277019,0.691552,AUT,0.0,0.007222,0.070207,0.008202,proton,pi+,solid
68,11.0,0.146642,0.551860,0.574948,1.645365,0.686715,AUT,0.0,0.010004,0.070207,0.007834,proton,pi+,solid
69,11.0,0.102841,0.675897,0.574923,1.393735,0.940804,AUT,0.0,0.005751,0.070207,0.008122,proton,pi+,solid
70,11.0,0.183349,0.485172,0.572083,1.832414,0.874813,AUT,0.0,0.030068,0.070207,0.007617,proton,pi+,solid
71,11.0,0.137531,0.502270,0.623913,1.404280,0.130812,AUT,0.0,0.007310,0.070207,0.007874,proton,pi+,solid
72,11.0,0.208797,0.416020,0.625198,1.786585,0.128373,AUT,0.0,0.018304,0.070207,0.007461,proton,pi+,solid
73,11.0,0.104235,0.585572,0.623742,1.246445,0.308988,AUT,0.0,0.008311,0.070207,0.008097,proton,pi+,solid
