i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
0,11.0,0.081949,0.694365,0.322828,1.166785,0.134434,AUT,0.0,0.008410,0.070207,0.008945,proton,pi-,solid
1,11.0,0.102415,0.616254,0.323608,1.301739,0.127190,AUT,0.0,0.009361,0.070207,0.008947,proton,pi-,solid
2,11.0,0.118908,0.590420,0.324597,1.448560,0.124038,AUT,0.0,0.009145,0.070207,0.008929,proton,pi-,solid
3,11.0,0.138399,0.563737,0.325113,1.609147,0.121873,AUT,0.0,0.009204,0.070207,0.008887,proton,pi-,solid
4,11.0,0.169065,0.511775,0.327090,1.778819,0.121981,AUT,0.0,0.008819,0.070207,0.008797,proton,pi-,solid
5,11.0,0.070156,0.768661,0.323297,1.108825,0.304971,AUT,0.0,0.008603,0.070207,0.008942,proton,pi-,solid
6,11.0,0.083687,0.700523,0.323874,1.209336,0.299374,AUT,0.0,0.008276,0.070207,0.008943,proton,pi-,solid
7,11.0,0.095104,0.664462,0.324035,1.303713,0.297263,AUT,0.0,0.007753,0.070207,0.008944,proton,pi-,solid
8,11.0,0.106823,0.634968,0.324415,1.399654,0.295392,AUT,0.0,0.007701,0.070207,0.008939,proton,pi-,solid
9,11.0,0.120082,0.609082,0.324879,1.509020,0.293674,AUT,0.0,0.007967,0.070207,0.008923,proton,pi-,solid
10,11.0,0.137007,0.576105,0.325234,1.627986,0.292691,AUT,0.0,0.007577,0.070207,0.008888,proton,pi-,solid
11,11.0,0.166995,0.518853,0.326969,1.780034,0.290028,AUT,0.0,0.006731,0.070207,0.008802,proton,pi-,solid
12,11.0,0.072808,0.759628,0.324375,1.135293,0.486646,AUT,0.0,0.009449,0.070207,0.008942,proton,pi-,solid
13,11.0,0.091251,0.679468,0.324379,1.278419,0.486272,AUT,0.0,0.008013,0.070207,0.008944,proton,pi-,solid
14,11.0,0.108547,0.631238,0.324710,1.412916,0.485705,AUT,0.0,0.007323,0.070207,0.008937,proton,pi-,solid
15,11.0,0.131967,0.582345,0.325177,1.583608,0.486314,AUT,0.0,0.006603,0.070207,0.008900,proton,pi-,solid
16,11.0,0.167376,0.516159,0.327019,1.775271,0.486998,AUT,0.0,0.007089,0.070207,0.008801,proton,pi-,solid
17,11.0,0.095207,0.699948,0.326101,1.351266,0.670268,AUT,0.0,0.006015,0.070207,0.008934,proton,pi-,solid
18,11.0,0.157067,0.546846,0.327764,1.759549,0.665267,AUT,0.0,0.011429,0.070207,0.008830,proton,pi-,solid
19,11.0,0.088530,0.661596,0.372884,1.198689,0.135193,AUT,0.0,0.009175,0.070207,0.008988,proton,pi-,solid
20,11.0,0.114611,0.576821,0.373480,1.362699,0.127380,AUT,0.0,0.009275,0.070207,0.008993,proton,pi-,solid
21,11.0,0.136976,0.537258,0.374214,1.517589,0.124056,AUT,0.0,0.009168,0.070207,0.008962,proton,pi-,solid
22,11.0,0.170057,0.483040,0.375009,1.688485,0.123803,AUT,0.0,0.008419,0.070207,0.008873,proton,pi-,solid
23,11.0,0.217625,0.416477,0.378670,1.868272,0.128063,AUT,0.0,0.021018,0.070207,0.008722,proton,pi-,solid
24,11.0,0.074044,0.741254,0.373267,1.127421,0.307464,AUT,0.0,0.008232,0.070207,0.008976,proton,pi-,solid
25,11.0,0.091078,0.668126,0.373784,1.254814,0.300123,AUT,0.0,0.007978,0.070207,0.008987,proton,pi-,solid
26,11.0,0.105609,0.627583,0.374050,1.367312,0.296400,AUT,0.0,0.008125,0.070207,0.008991,proton,pi-,solid
27,11.0,0.120741,0.589020,0.374301,1.466928,0.293276,AUT,0.0,0.008236,0.070207,0.008983,proton,pi-,solid
28,11.0,0.140249,0.547922,0.374735,1.584245,0.290538,AUT,0.0,0.007994,0.070207,0.008951,proton,pi-,solid
29,11.0,0.178786,0.473443,0.376092,1.733544,0.287466,AUT,0.0,0.007110,0.070207,0.008845,proton,pi-,solid
30,11.0,0.074484,0.749863,0.374263,1.146191,0.489838,AUT,0.0,0.009135,0.070207,0.008975,proton,pi-,solid
31,11.0,0.095656,0.664871,0.374179,1.310664,0.489649,AUT,0.0,0.008035,0.070207,0.008987,proton,pi-,solid
32,11.0,0.118043,0.595720,0.374223,1.448005,0.489677,AUT,0.0,0.007199,0.070207,0.008984,proton,pi-,solid
33,11.0,0.154434,0.514413,0.374733,1.629711,0.491471,AUT,0.0,0.005916,0.070207,0.008915,proton,pi-,solid
34,11.0,0.208906,0.427252,0.377488,1.838392,0.493545,AUT,0.0,0.012621,0.070207,0.008750,proton,pi-,solid
35,11.0,0.090850,0.698004,0.375279,1.289549,0.676837,AUT,0.0,0.007354,0.070207,0.008981,proton,pi-,solid
36,11.0,0.152241,0.538211,0.376177,1.662732,0.672103,AUT,0.0,0.008380,0.070207,0.008911,proton,pi-,solid
37,11.0,0.103955,0.699888,0.377384,1.447487,0.870593,AUT,0.0,0.009821,0.070207,0.008960,proton,pi-,solid
38,11.0,0.098611,0.620233,0.423052,1.248824,0.134091,AUT,0.0,0.009413,0.070207,0.009030,proton,pi-,solid
39,11.0,0.132448,0.531484,0.423661,1.450074,0.126255,AUT,0.0,0.009277,0.070207,0.009027,proton,pi-,solid
40,11.0,0.169993,0.464683,0.424299,1.622282,0.124677,AUT,0.0,0.008587,0.070207,0.008945,proton,pi-,solid
41,11.0,0.224824,0.390641,0.426132,1.807409,0.129933,AUT,0.0,0.016814,0.070207,0.008780,proton,pi-,solid
42,11.0,0.078873,0.713852,0.423334,1.154920,0.308626,AUT,0.0,0.007912,0.070207,0.009008,proton,pi-,solid
43,11.0,0.099753,0.633592,0.423858,1.303057,0.300509,AUT,0.0,0.008175,0.070207,0.009030,proton,pi-,solid
44,11.0,0.118790,0.586620,0.424105,1.436645,0.295891,AUT,0.0,0.008201,0.070207,0.009033,proton,pi-,solid
45,11.0,0.141405,0.532339,0.424342,1.551175,0.291600,AUT,0.0,0.008629,0.070207,0.009008,proton,pi-,solid
46,11.0,0.182361,0.449737,0.424969,1.679301,0.288018,AUT,0.0,0.008081,0.070207,0.008908,proton,pi-,solid
47,11.0,0.247113,0.367510,0.428553,1.871814,0.291522,AUT,0.0,0.023448,0.070207,0.008717,proton,pi-,solid
48,11.0,0.077461,0.733746,0.424074,1.165416,0.493023,AUT,0.0,0.008439,0.070207,0.009005,proton,pi-,solid
49,11.0,0.102785,0.643415,0.424179,1.361957,0.490494,AUT,0.0,0.008150,0.070207,0.009028,proton,pi-,solid
50,11.0,0.133734,0.549838,0.424219,1.510617,0.491319,AUT,0.0,0.007063,0.070207,0.009018,proton,pi-,solid
51,11.0,0.187049,0.442190,0.424897,1.688106,0.493910,AUT,0.0,0.007010,0.070207,0.008894,proton,pi-,solid
52,11.0,0.091880,0.687515,0.424807,1.282234,0.682410,AUT,0.0,0.007739,0.070207,0.009017,proton,pi-,solid
53,11.0,0.158802,0.507339,0.425257,1.625773,0.678132,AUT,0.0,0.007676,0.070207,0.008959,proton,pi-,solid
54,11.0,0.107437,0.674874,0.426772,1.433835,0.884740,AUT,0.0,0.009079,0.070207,0.008999,proton,pi-,solid
55,11.0,0.108939,0.585725,0.473201,1.299854,0.133124,AUT,0.0,0.009506,0.070207,0.009072,proton,pi-,solid
56,11.0,0.157135,0.477452,0.473899,1.539653,0.125659,AUT,0.0,0.008754,0.070207,0.009040,proton,pi-,solid
57,11.0,0.215572,0.387592,0.474586,1.712925,0.130105,AUT,0.0,0.012061,0.070207,0.008889,proton,pi-,solid
58,11.0,0.084478,0.684501,0.473329,1.183980,0.309155,AUT,0.0,0.007802,0.070207,0.009043,proton,pi-,solid
59,11.0,0.110866,0.597343,0.473885,1.364729,0.300195,AUT,0.0,0.008369,0.070207,0.009076,proton,pi-,solid
60,11.0,0.136528,0.538452,0.474076,1.514109,0.294886,AUT,0.0,0.009017,0.070207,0.009069,proton,pi-,solid
61,11.0,0.178375,0.445659,0.474439,1.627186,0.290662,AUT,0.0,0.008873,0.070207,0.008989,proton,pi-,solid
62,11.0,0.246358,0.353196,0.475896,1.789441,0.294025,AUT,0.0,0.016627,0.070207,0.008804,proton,pi-,solid
63,11.0,0.081811,0.711328,0.473813,1.191887,0.494778,AUT,0.0,0.008148,0.070207,0.009037,proton,pi-,solid
64,11.0,0.114434,0.608447,0.474266,1.430954,0.490367,AUT,0.0,0.008295,0.070207,0.009072,proton,pi-,solid
65,11.0,0.172316,0.464715,0.474436,1.612728,0.490053,AUT,0.0,0.006431,0.070207,0.008997,proton,pi-,solid
66,11.0,0.094360,0.674467,0.474431,1.288734,0.685760,AUT,0.0,0.007953,0.070207,0.009051,proton,pi-,solid
67,11.0,0.164611,0.481988,0.474416,1.603859,0.682509,AUT,0.0,0.007606,0.070207,0.009012,proton,pi-,solid
68,11.0,0.109420,0.654293,0.475640,1.416123,0.899591,AUT,0.0,0.008759,0.070207,0.009041,proton,pi-,solid
69,11.0,0.121823,0.549904,0.523410,1.360223,0.131992,AUT,0.0,0.009379,0.070207,0.009122,proton,pi-,solid
70,11.0,0.189403,0.419038,0.523884,1.614511,0.128014,AUT,0.0,0.009246,0.070207,0.009040,proton,pi-,solid
71,11.0,0.091910,0.648040,0.523288,1.217940,0.308691,AUT,0.0,0.008261,0.070207,0.009089,proton,pi-,solid
72,11.0,0.126166,0.556302,0.523898,1.444712,0.298867,AUT,0.0,0.008747,0.070207,0.009130,proton,pi-,solid
73,11.0,0.170888,0.455992,0.524146,1.592417,0.292939,AUT,0.0,0.009339,0.070207,0.009080,proton,pi-,solid
74,11.0,0.241337,0.348967,0.524223,1.730530,0.296492,AUT,0.0,0.015771,0.070207,0.008911,proton,pi-,solid
75,11.0,0.087909,0.676298,0.523500,1.217052,0.495264,AUT,0.0,0.008530,0.070207,0.009080,proton,pi-,solid
