i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
0,11.0,0.093162,0.618801,0.322019,1.186925,0.161774,AUT,0.0,0.002397,0.070207,0.000988,neutron,pi-,solid
1,11.0,0.113501,0.584540,0.322715,1.368853,0.149750,AUT,0.0,0.001957,0.070207,0.000990,neutron,pi-,solid
2,11.0,0.128020,0.561600,0.323053,1.483554,0.142756,AUT,0.0,0.001872,0.070207,0.000994,neutron,pi-,solid
3,11.0,0.140618,0.538294,0.323279,1.561956,0.136156,AUT,0.0,0.001910,0.070207,0.000999,neutron,pi-,solid
4,11.0,0.152871,0.512991,0.323416,1.618207,0.129805,AUT,0.0,0.001985,0.070207,0.001005,neutron,pi-,solid
5,11.0,0.166261,0.486059,0.323585,1.667437,0.123553,AUT,0.0,0.002066,0.070207,0.001012,neutron,pi-,solid
6,11.0,0.181885,0.456431,0.323982,1.712761,0.116938,AUT,0.0,0.002273,0.070207,0.001021,neutron,pi-,solid
7,11.0,0.203733,0.422645,0.325490,1.775499,0.111510,AUT,0.0,0.002405,0.070207,0.001035,neutron,pi-,solid
8,11.0,0.234747,0.387118,0.330037,1.873194,0.112780,AUT,0.0,0.003581,0.070207,0.001054,neutron,pi-,solid
9,11.0,0.066228,0.786924,0.321566,1.073692,0.336599,AUT,0.0,0.002096,0.070207,0.000989,neutron,pi-,solid
10,11.0,0.074545,0.730473,0.322265,1.123614,0.321833,AUT,0.0,0.001860,0.070207,0.000989,neutron,pi-,solid
11,11.0,0.080070,0.700720,0.322624,1.157953,0.316822,AUT,0.0,0.001896,0.070207,0.000989,neutron,pi-,solid
12,11.0,0.084618,0.681090,0.322881,1.189542,0.313142,AUT,0.0,0.001853,0.070207,0.000989,neutron,pi-,solid
13,11.0,0.088905,0.671920,0.322968,1.233025,0.311056,AUT,0.0,0.001886,0.070207,0.000989,neutron,pi-,solid
14,11.0,0.093158,0.663527,0.323082,1.275870,0.308950,AUT,0.0,0.001857,0.070207,0.000989,neutron,pi-,solid
15,11.0,0.097346,0.655846,0.323191,1.317817,0.307027,AUT,0.0,0.001910,0.070207,0.000989,neutron,pi-,solid
16,11.0,0.101593,0.648234,0.323233,1.359333,0.305039,AUT,0.0,0.001879,0.070207,0.000990,neutron,pi-,solid
17,11.0,0.105991,0.640985,0.323350,1.402333,0.303528,AUT,0.0,0.001923,0.070207,0.000990,neutron,pi-,solid
18,11.0,0.110436,0.633598,0.323406,1.444301,0.301917,AUT,0.0,0.001962,0.070207,0.000991,neutron,pi-,solid
19,11.0,0.114981,0.626425,0.323458,1.486735,0.300419,AUT,0.0,0.002005,0.070207,0.000992,neutron,pi-,solid
20,11.0,0.119779,0.619537,0.323553,1.531722,0.299086,AUT,0.0,0.002000,0.070207,0.000993,neutron,pi-,solid
21,11.0,0.124775,0.611967,0.323638,1.576111,0.297747,AUT,0.0,0.002105,0.070207,0.000995,neutron,pi-,solid
22,11.0,0.130051,0.599852,0.323720,1.610160,0.296146,AUT,0.0,0.002158,0.070207,0.000996,neutron,pi-,solid
23,11.0,0.135874,0.583056,0.323828,1.635130,0.294285,AUT,0.0,0.002362,0.070207,0.000998,neutron,pi-,solid
24,11.0,0.142399,0.564742,0.323943,1.659763,0.291962,AUT,0.0,0.002655,0.070207,0.001001,neutron,pi-,solid
25,11.0,0.150490,0.541127,0.324017,1.680516,0.289739,AUT,0.0,0.003076,0.070207,0.001004,neutron,pi-,solid
26,11.0,0.161151,0.510797,0.324017,1.698465,0.288751,AUT,0.0,0.004412,0.070207,0.001010,neutron,pi-,solid
27,11.0,0.175684,0.474017,0.324117,1.717780,0.290098,AUT,0.0,0.007214,0.070207,0.001018,neutron,pi-,solid
28,11.0,0.198937,0.430227,0.325335,1.764040,0.291649,AUT,0.0,0.006882,0.070207,0.001032,neutron,pi-,solid
29,11.0,0.232861,0.388668,0.330056,1.865227,0.292079,AUT,0.0,0.009579,0.070207,0.001053,neutron,pi-,solid
30,11.0,0.062039,0.825511,0.322839,1.056013,0.500555,AUT,0.0,0.001911,0.070207,0.000989,neutron,pi-,solid
31,11.0,0.068700,0.780074,0.323268,1.105920,0.495718,AUT,0.0,0.001967,0.070207,0.000990,neutron,pi-,solid
32,11.0,0.073735,0.752899,0.323574,1.145760,0.492059,AUT,0.0,0.001967,0.070207,0.000990,neutron,pi-,solid
33,11.0,0.078457,0.732175,0.323816,1.185608,0.490043,AUT,0.0,0.001992,0.070207,0.000989,neutron,pi-,solid
34,11.0,0.082994,0.714012,0.323891,1.223100,0.489126,AUT,0.0,0.002092,0.070207,0.000989,neutron,pi-,solid
35,11.0,0.087575,0.702706,0.323928,1.270225,0.488589,AUT,0.0,0.002082,0.070207,0.000989,neutron,pi-,solid
36,11.0,0.092479,0.692238,0.323967,1.321350,0.488058,AUT,0.0,0.002140,0.070207,0.000989,neutron,pi-,solid
37,11.0,0.097710,0.681321,0.324006,1.374076,0.487392,AUT,0.0,0.002155,0.070207,0.000990,neutron,pi-,solid
38,11.0,0.103503,0.669777,0.324034,1.430857,0.487258,AUT,0.0,0.002174,0.070207,0.000990,neutron,pi-,solid
39,11.0,0.109884,0.656861,0.324047,1.489745,0.486808,AUT,0.0,0.002224,0.070207,0.000991,neutron,pi-,solid
40,11.0,0.116976,0.642281,0.324063,1.550686,0.486938,AUT,0.0,0.002257,0.070207,0.000993,neutron,pi-,solid
41,11.0,0.124842,0.625439,0.324073,1.611440,0.486856,AUT,0.0,0.002316,0.070207,0.000995,neutron,pi-,solid
42,11.0,0.134294,0.591084,0.324025,1.637714,0.488003,AUT,0.0,0.002273,0.070207,0.000998,neutron,pi-,solid
43,11.0,0.147456,0.544586,0.323824,1.656252,0.489880,AUT,0.0,0.002176,0.070207,0.001003,neutron,pi-,solid
44,11.0,0.167313,0.489560,0.323787,1.688181,0.491016,AUT,0.0,0.002307,0.070207,0.001013,neutron,pi-,solid
45,11.0,0.205122,0.421946,0.326152,1.777409,0.492434,AUT,0.0,0.003567,0.070207,0.001035,neutron,pi-,solid
46,11.0,0.067205,0.800311,0.326093,1.106832,0.668227,AUT,0.0,0.001893,0.070207,0.000989,neutron,pi-,solid
47,11.0,0.084122,0.725706,0.326293,1.258604,0.666201,AUT,0.0,0.001913,0.070207,0.000989,neutron,pi-,solid
48,11.0,0.103879,0.678756,0.326281,1.453591,0.665105,AUT,0.0,0.002053,0.070207,0.000991,neutron,pi-,solid
49,11.0,0.134316,0.605211,0.326808,1.667756,0.661396,AUT,0.0,0.002843,0.070207,0.000998,neutron,pi-,solid
50,11.0,0.188354,0.464164,0.329606,1.786899,0.645403,AUT,0.0,0.021512,0.070207,0.001025,neutron,pi-,solid
51,11.0,0.104043,0.589563,0.372434,1.262089,0.155756,AUT,0.0,0.002140,0.070207,0.000980,neutron,pi-,solid
52,11.0,0.130667,0.550427,0.373064,1.483508,0.141011,AUT,0.0,0.001865,0.070207,0.000984,neutron,pi-,solid
53,11.0,0.149568,0.516261,0.373326,1.592759,0.132029,AUT,0.0,0.001924,0.070207,0.000991,neutron,pi-,solid
54,11.0,0.168620,0.478870,0.373531,1.665427,0.124175,AUT,0.0,0.002019,0.070207,0.001000,neutron,pi-,solid
55,11.0,0.191802,0.436990,0.373718,1.727929,0.116825,AUT,0.0,0.002175,0.070207,0.001013,neutron,pi-,solid
56,11.0,0.230828,0.378111,0.374465,1.794031,0.117897,AUT,0.0,0.002067,0.070207,0.001035,neutron,pi-,solid
57,11.0,0.283696,0.327161,0.381349,1.914948,0.137603,AUT,0.0,0.013196,0.070207,0.001064,neutron,pi-,solid
58,11.0,0.071985,0.741337,0.371920,1.098156,0.334891,AUT,0.0,0.002092,0.070207,0.000984,neutron,pi-,solid
59,11.0,0.082745,0.680036,0.372704,1.161053,0.319530,AUT,0.0,0.001887,0.070207,0.000982,neutron,pi-,solid
60,11.0,0.089935,0.660236,0.372906,1.225522,0.315329,AUT,0.0,0.001871,0.070207,0.000982,neutron,pi-,solid
61,11.0,0.096560,0.647663,0.373054,1.290785,0.312183,AUT,0.0,0.001866,0.070207,0.000981,neutron,pi-,solid
62,11.0,0.102848,0.636584,0.373217,1.351354,0.309418,AUT,0.0,0.001925,0.070207,0.000981,neutron,pi-,solid
63,11.0,0.109242,0.626112,0.373319,1.411733,0.306691,AUT,0.0,0.001863,0.070207,0.000982,neutron,pi-,solid
64,11.0,0.115981,0.615570,0.373427,1.473611,0.304165,AUT,0.0,0.001902,0.070207,0.000983,neutron,pi-,solid
65,11.0,0.122774,0.605536,0.373506,1.534493,0.301798,AUT,0.0,0.001978,0.070207,0.000984,neutron,pi-,solid
66,11.0,0.129842,0.591981,0.373594,1.586395,0.299525,AUT,0.0,0.002044,0.070207,0.000986,neutron,pi-,solid
67,11.0,0.137818,0.571605,0.373707,1.625804,0.296657,AUT,0.0,0.002158,0.070207,0.000988,neutron,pi-,solid
68,11.0,0.147326,0.547715,0.373864,1.665163,0.293370,AUT,0.0,0.002460,0.070207,0.000991,neutron,pi-,solid
69,11.0,0.159664,0.514770,0.374058,1.695608,0.290088,AUT,0.0,0.003260,0.070207,0.000997,neutron,pi-,solid
70,11.0,0.178377,0.468305,0.374060,1.722052,0.289983,AUT,0.0,0.006364,0.070207,0.001006,neutron,pi-,solid
71,11.0,0.213091,0.402596,0.374098,1.764082,0.291565,AUT,0.0,0.005789,0.070207,0.001025,neutron,pi-,solid
72,11.0,0.262050,0.343361,0.378003,1.853728,0.290030,AUT,0.0,0.008647,0.070207,0.001052,neutron,pi-,solid
73,11.0,0.064657,0.805040,0.372765,1.072514,0.502676,AUT,0.0,0.001889,0.070207,0.000985,neutron,pi-,solid
74,11.0,0.073432,0.748905,0.373290,1.134737,0.497539,AUT,0.0,0.001945,0.070207,0.000984,neutron,pi-,solid
75,11.0,0.079987,0.717540,0.373595,1.184429,0.493572,AUT,0.0,0.001988,0.070207,0.000983,neutron,pi-,solid
76,11.0,0.086220,0.697547,0.373788,1.241330,0.491430,AUT,0.0,0.002058,0.070207,0.000983,neutron,pi-,solid
77,11.0,0.092761,0.684985,0.373884,1.311439,0.490260,AUT,0.0,0.002119,0.070207,0.000982,neutron,pi-,solid
78,11.0,0.099780,0.672248,0.373967,1.384448,0.489411,AUT,0.0,0.002242,0.070207,0.000982,neutron,pi-,solid
79,11.0,0.107466,0.659117,0.374013,1.461923,0.488595,AUT,0.0,0.002365,0.070207,0.000983,neutron,pi-,solid
80,11.0,0.116093,0.643468,0.374057,1.541750,0.487592,AUT,0.0,0.002513,0.070207,0.000984,neutron,pi-,solid
81,11.0,0.126227,0.622338,0.374105,1.620946,0.486954,AUT,0.0,0.002701,0.070207,0.000986,neutron,pi-,solid
82,11.0,0.139573,0.574523,0.374064,1.653572,0.487046,AUT,0.0,0.003335,0.070207,0.000989,neutron,pi-,solid
83,11.0,0.161784,0.504819,0.373915,1.681729,0.489858,AUT,0.0,0.003077,0.070207,0.000997,neutron,pi-,solid
84,11.0,0.211387,0.406641,0.374098,1.756698,0.492499,AUT,0.0,0.003282,0.070207,0.001024,neutron,pi-,solid
85,11.0,0.281951,0.327757,0.381451,1.906502,0.493322,AUT,0.0,0.037314,0.070207,0.001063,neutron,pi-,solid
86,11.0,0.066697,0.799965,0.374571,1.098472,0.678653,AUT,0.0,0.001930,0.070207,0.000984,neutron,pi-,solid
87,11.0,0.081189,0.730219,0.375097,1.222498,0.675941,AUT,0.0,0.001934,0.070207,0.000983,neutron,pi-,solid
88,11.0,0.096815,0.685862,0.375103,1.369352,0.675897,AUT,0.0,0.001880,0.070207,0.000982,neutron,pi-,solid
89,11.0,0.118012,0.637639,0.374957,1.550761,0.676482,AUT,0.0,0.001899,0.070207,0.000984,neutron,pi-,solid
90,11.0,0.156373,0.526671,0.375249,1.682051,0.673449,AUT,0.0,0.002801,0.070207,0.000996,neutron,pi-,solid
91,11.0,0.225632,0.389343,0.376712,1.801977,0.657987,AUT,0.0,0.028980,0.070207,0.001032,neutron,pi-,solid
92,11.0,0.096801,0.718198,0.378451,1.391258,0.858295,AUT,0.0,0.003036,0.070207,0.000985,neutron,pi-,solid
93,11.0,0.114540,0.566751,0.422825,1.334460,0.150171,AUT,0.0,0.001999,0.070207,0.000974,neutron,pi-,solid
94,11.0,0.147745,0.516324,0.423347,1.572256,0.132993,AUT,0.0,0.001885,0.070207,0.000981,neutron,pi-,solid
95,11.0,0.175742,0.463931,0.423607,1.680187,0.123511,AUT,0.0,0.001998,0.070207,0.000992,neutron,pi-,solid
96,11.0,0.215990,0.398222,0.423695,1.766820,0.119323,AUT,0.0,0.002028,0.070207,0.001013,neutron,pi-,solid
97,11.0,0.270630,0.330473,0.423194,1.843622,0.136955,AUT,0.0,0.005791,0.070207,0.001042,neutron,pi-,solid
98,11.0,0.078133,0.693762,0.421791,1.115105,0.329743,AUT,0.0,0.002106,0.070207,0.000978,neutron,pi-,solid
99,11.0,0.091745,0.647334,0.422726,1.225526,0.317449,AUT,0.0,0.001886,0.070207,0.000976,neutron,pi-,solid
100,11.0,0.102447,0.628729,0.423024,1.329271,0.313390,AUT,0.0,0.001824,0.070207,0.000975,neutron,pi-,solid
101,11.0,0.112500,0.612396,0.423288,1.421868,0.309148,AUT,0.0,0.001865,0.070207,0.000975,neutron,pi-,solid
102,11.0,0.122323,0.598250,0.423458,1.510329,0.305468,AUT,0.0,0.001891,0.070207,0.000976,neutron,pi-,solid
103,11.0,0.132670,0.577638,0.423581,1.581417,0.301424,AUT,0.0,0.001947,0.070207,0.000978,neutron,pi-,solid
104,11.0,0.144629,0.549611,0.423735,1.640138,0.297291,AUT,0.0,0.002151,0.070207,0.000981,neutron,pi-,solid
105,11.0,0.160301,0.511692,0.423919,1.691656,0.292409,AUT,0.0,0.002744,0.070207,0.000986,neutron,pi-,solid
106,11.0,0.186083,0.452207,0.424003,1.732410,0.290712,AUT,0.0,0.005891,0.070207,0.000998,neutron,pi-,solid
107,11.0,0.241146,0.364303,0.424038,1.798422,0.290101,AUT,0.0,0.003729,0.070207,0.001026,neutron,pi-,solid
108,11.0,0.070952,0.748437,0.420370,1.093650,0.501511,AUT,0.0,0.001886,0.070207,0.000980,neutron,pi-,solid
109,11.0,0.081976,0.695310,0.422648,1.176066,0.495859,AUT,0.0,0.001940,0.070207,0.000978,neutron,pi-,solid
110,11.0,0.090724,0.676184,0.423218,1.266103,0.492680,AUT,0.0,0.002027,0.070207,0.000977,neutron,pi-,solid
111,11.0,0.099679,0.662678,0.423567,1.363296,0.491161,AUT,0.0,0.002122,0.070207,0.000976,neutron,pi-,solid
112,11.0,0.109624,0.648685,0.423839,1.467592,0.489879,AUT,0.0,0.002234,0.070207,0.000976,neutron,pi-,solid
113,11.0,0.121112,0.631176,0.424085,1.577492,0.488838,AUT,0.0,0.002453,0.070207,0.000977,neutron,pi-,solid
114,11.0,0.135267,0.592411,0.424180,1.652390,0.486796,AUT,0.0,0.003143,0.070207,0.000979,neutron,pi-,solid
115,11.0,0.159330,0.514366,0.424155,1.685955,0.487783,AUT,0.0,0.005136,0.070207,0.000986,neutron,pi-,solid
116,11.0,0.218491,0.397587,0.423949,1.766447,0.489688,AUT,0.0,0.004187,0.070207,0.001014,neutron,pi-,solid
117,11.0,0.073424,0.745912,0.421133,1.127024,0.684561,AUT,0.0,0.001978,0.070207,0.000980,neutron,pi-,solid
118,11.0,0.091665,0.688991,0.423525,1.302534,0.683171,AUT,0.0,0.002064,0.070207,0.000977,neutron,pi-,solid
119,11.0,0.112925,0.646653,0.424315,1.505109,0.683559,AUT,0.0,0.002058,0.070207,0.000976,neutron,pi-,solid
120,11.0,0.149841,0.540036,0.424339,1.653239,0.685220,AUT,0.0,0.002031,0.070207,0.000983,neutron,pi-,solid
121,11.0,0.216686,0.398655,0.424102,1.769906,0.677417,AUT,0.0,0.010677,0.070207,0.001013,neutron,pi-,solid
122,11.0,0.108233,0.664162,0.425422,1.429926,0.875526,AUT,0.0,0.002150,0.070207,0.000980,neutron,pi-,solid
123,11.0,0.126845,0.544053,0.473046,1.416518,0.143603,AUT,0.0,0.001878,0.070207,0.000968,neutron,pi-,solid
124,11.0,0.171083,0.470935,0.473590,1.657859,0.126119,AUT,0.0,0.001919,0.070207,0.000979,neutron,pi-,solid
125,11.0,0.225216,0.386650,0.473646,1.780450,0.124711,AUT,0.0,0.002116,0.070207,0.001004,neutron,pi-,solid
126,11.0,0.086710,0.641804,0.471769,1.145493,0.320471,AUT,0.0,0.001994,0.070207,0.000972,neutron,pi-,solid
127,11.0,0.105800,0.605070,0.472644,1.320722,0.312543,AUT,0.0,0.001844,0.070207,0.000968,neutron,pi-,solid
128,11.0,0.121505,0.584220,0.472925,1.464794,0.307650,AUT,0.0,0.001863,0.070207,0.000968,neutron,pi-,solid
129,11.0,0.136683,0.561284,0.473499,1.582798,0.302602,AUT,0.0,0.001947,0.070207,0.000970,neutron,pi-,solid
130,11.0,0.154875,0.521558,0.473842,1.665556,0.296463,AUT,0.0,0.002244,0.070207,0.000974,neutron,pi-,solid
131,11.0,0.185898,0.453170,0.474000,1.731495,0.291361,AUT,0.0,0.004337,0.070207,0.000986,neutron,pi-,solid
132,11.0,0.246243,0.357276,0.474066,1.803766,0.289569,AUT,0.0,0.003534,0.070207,0.001014,neutron,pi-,solid
133,11.0,0.081387,0.665103,0.471091,1.114678,0.498076,AUT,0.0,0.001889,0.070207,0.000973,neutron,pi-,solid
134,11.0,0.097578,0.633166,0.472644,1.274914,0.492620,AUT,0.0,0.002039,0.070207,0.000970,neutron,pi-,solid
135,11.0,0.113019,0.617693,0.472890,1.440613,0.490390,AUT,0.0,0.002221,0.070207,0.000968,neutron,pi-,solid
136,11.0,0.130963,0.595827,0.473479,1.609437,0.488968,AUT,0.0,0.002566,0.070207,0.000970,neutron,pi-,solid
137,11.0,0.159366,0.516434,0.474225,1.689869,0.487884,AUT,0.0,0.005209,0.070207,0.000976,neutron,pi-,solid
138,11.0,0.222608,0.390978,0.473990,1.774183,0.488568,AUT,0.0,0.005751,0.070207,0.001003,neutron,pi-,solid
139,11.0,0.087083,0.661717,0.471597,1.185206,0.684711,AUT,0.0,0.002407,0.070207,0.000972,neutron,pi-,solid
140,11.0,0.121669,0.606064,0.473150,1.517269,0.685832,AUT,0.0,0.002668,0.070207,0.000969,neutron,pi-,solid
141,11.0,0.179616,0.468721,0.473930,1.705526,0.687165,AUT,0.0,0.002884,0.070207,0.000984,neutron,pi-,solid
142,11.0,0.120066,0.603232,0.474326,1.450552,0.891986,AUT,0.0,0.002173,0.070207,0.000972,neutron,pi-,solid
143,11.0,0.140213,0.518083,0.523184,1.486470,0.137478,AUT,0.0,0.001838,0.070207,0.000961,neutron,pi-,solid
144,11.0,0.208619,0.410981,0.523569,1.746218,0.126017,AUT,0.0,0.001945,0.070207,0.000982,neutron,pi-,solid
145,11.0,0.099029,0.593152,0.521625,1.208678,0.313889,AUT,0.0,0.001875,0.070207,0.000963,neutron,pi-,solid
146,11.0,0.127541,0.553672,0.522757,1.456489,0.306493,AUT,0.0,0.001869,0.070207,0.000959,neutron,pi-,solid
147,11.0,0.152862,0.521047,0.523573,1.641582,0.299252,AUT,0.0,0.002086,0.070207,0.000963,neutron,pi-,solid
148,11.0,0.196468,0.433542,0.523997,1.741626,0.291767,AUT,0.0,0.003337,0.070207,0.000977,neutron,pi-,solid
149,11.0,0.266273,0.333937,0.523996,1.831343,0.290833,AUT,0.0,0.005564,0.070207,0.001006,neutron,pi-,solid
150,11.0,0.093728,0.607331,0.521371,1.172369,0.495572,AUT,0.0,0.001968,0.070207,0.000964,neutron,pi-,solid
151,11.0,0.122235,0.575156,0.522726,1.449865,0.489623,AUT,0.0,0.002388,0.070207,0.000960,neutron,pi-,solid
152,11.0,0.158159,0.517573,0.523877,1.678655,0.488565,AUT,0.0,0.004360,0.070207,0.000965,neutron,pi-,solid
153,11.0,0.223826,0.388527,0.523776,1.777761,0.486856,AUT,0.0,0.007396,0.070207,0.000988,neutron,pi-,solid
154,11.0,0.109168,0.591093,0.522050,1.322553,0.685130,AUT,0.0,0.003816,0.070207,0.000962,neutron,pi-,solid
155,11.0,0.175581,0.477519,0.523866,1.702787,0.685402,AUT,0.0,0.004097,0.070207,0.000970,neutron,pi-,solid
156,11.0,0.127160,0.563026,0.523399,1.448077,0.908646,AUT,0.0,0.002455,0.070207,0.000963,neutron,pi-,solid
157,11.0,0.159425,0.481605,0.573155,1.562656,0.131783,AUT,0.0,0.001826,0.070207,0.000953,neutron,pi-,solid
158,11.0,0.233977,0.374303,0.573462,1.795821,0.128269,AUT,0.0,0.003425,0.070207,0.000974,neutron,pi-,solid
159,11.0,0.118378,0.543469,0.571723,1.321564,0.308717,AUT,0.0,0.001825,0.070207,0.000951,neutron,pi-,solid
160,11.0,0.163609,0.491281,0.573391,1.653094,0.297450,AUT,0.0,0.002235,0.070207,0.000952,neutron,pi-,solid
161,11.0,0.227506,0.383382,0.573673,1.780360,0.290481,AUT,0.0,0.003006,0.070207,0.000972,neutron,pi-,solid
162,11.0,0.114961,0.554104,0.571505,1.309003,0.491189,AUT,0.0,0.002220,0.070207,0.000952,neutron,pi-,solid
163,11.0,0.180162,0.466636,0.573458,1.701425,0.488195,AUT,0.0,0.005001,0.070207,0.000957,neutron,pi-,solid
164,11.0,0.128709,0.537837,0.572200,1.414672,0.748484,AUT,0.0,0.002897,0.070207,0.000951,neutron,pi-,solid
165,11.0,0.194515,0.442748,0.573132,1.769637,0.708952,AUT,0.0,0.008357,0.070207,0.000961,neutron,pi-,solid
166,11.0,0.137339,0.501678,0.621733,1.415664,0.255767,AUT,0.0,0.001843,0.070207,0.000936,neutron,pi-,solid
167,11.0,0.189259,0.440395,0.623505,1.710760,0.223333,AUT,0.0,0.002072,0.070207,0.000940,neutron,pi-,solid
168,11.0,0.244665,0.360813,0.622142,1.817944,0.221195,AUT,0.0,0.003726,0.070207,0.000955,neutron,pi-,solid
169,11.0,0.136861,0.507754,0.621489,1.425833,0.555054,AUT,0.0,0.003791,0.070207,0.000937,neutron,pi-,solid
170,11.0,0.196717,0.435933,0.622844,1.758825,0.535524,AUT,0.0,0.009327,0.070207,0.000942,neutron,pi-,solid
171,11.0,0.167581,0.455785,0.672174,1.564096,0.235591,AUT,0.0,0.001922,0.070207,0.000918,neutron,pi-,solid
172,11.0,0.227840,0.387387,0.670698,1.818964,0.206257,AUT,0.0,0.004357,0.070207,0.000926,neutron,pi-,solid
173,11.0,0.160137,0.469770,0.670247,1.540438,0.551449,AUT,0.0,0.007958,0.070207,0.000919,neutron,pi-,solid
174,11.0,0.162619,0.646142,0.322717,2.162194,0.147367,AUT,0.0,0.002584,0.070207,0.001019,neutron,pi-,solid
175,11.0,0.186168,0.587471,0.323199,2.256539,0.134162,AUT,0.0,0.002623,0.070207,0.001033,neutron,pi-,solid
176,11.0,0.201128,0.558747,0.323390,2.319189,0.128239,AUT,0.0,0.002746,0.070207,0.001044,neutron,pi-,solid
177,11.0,0.214484,0.537398,0.323486,2.378836,0.123615,AUT,0.0,0.002778,0.070207,0.001053,neutron,pi-,solid
178,11.0,0.227516,0.517630,0.323539,2.430527,0.120053,AUT,0.0,0.002922,0.070207,0.001062,neutron,pi-,solid
179,11.0,0.240827,0.495610,0.323651,2.463176,0.117136,AUT,0.0,0.002999,0.070207,0.001071,neutron,pi-,solid
180,11.0,0.255782,0.471302,0.324049,2.487750,0.114947,AUT,0.0,0.003041,0.070207,0.001080,neutron,pi-,solid
181,11.0,0.274950,0.447087,0.324970,2.536463,0.114846,AUT,0.0,0.002966,0.070207,0.001092,neutron,pi-,solid
182,11.0,0.307082,0.419557,0.325932,2.656556,0.120047,AUT,0.0,0.002818,0.070207,0.001111,neutron,pi-,solid
183,11.0,0.355177,0.385806,0.329612,2.825965,0.134920,AUT,0.0,0.008471,0.070207,0.001134,neutron,pi-,solid
184,11.0,0.142912,0.708703,0.322953,2.088296,0.308192,AUT,0.0,0.002595,0.070207,0.001008,neutron,pi-,solid
185,11.0,0.157351,0.666627,0.323544,2.164628,0.301286,AUT,0.0,0.002688,0.070207,0.001016,neutron,pi-,solid
186,11.0,0.168364,0.639531,0.323745,2.222165,0.295635,AUT,0.0,0.002850,0.070207,0.001022,neutron,pi-,solid
187,11.0,0.178698,0.617655,0.323878,2.277981,0.291751,AUT,0.0,0.003178,0.070207,0.001029,neutron,pi-,solid
188,11.0,0.188925,0.598310,0.323965,2.332961,0.289640,AUT,0.0,0.003710,0.070207,0.001036,neutron,pi-,solid
189,11.0,0.199436,0.579854,0.324028,2.386780,0.288781,AUT,0.0,0.004467,0.070207,0.001043,neutron,pi-,solid
190,11.0,0.210713,0.560681,0.324019,2.438312,0.288478,AUT,0.0,0.005460,0.070207,0.001051,neutron,pi-,solid
191,11.0,0.223014,0.539771,0.323995,2.484267,0.288808,AUT,0.0,0.006944,0.070207,0.001060,neutron,pi-,solid
192,11.0,0.237174,0.510258,0.324028,2.497181,0.289416,AUT,0.0,0.009048,0.070207,0.001069,neutron,pi-,solid
193,11.0,0.254822,0.474754,0.324232,2.496062,0.290331,AUT,0.0,0.009121,0.070207,0.001080,neutron,pi-,solid
194,11.0,0.279080,0.441457,0.325485,2.541481,0.290534,AUT,0.0,0.007518,0.070207,0.001094,neutron,pi-,solid
195,11.0,0.324326,0.405337,0.327887,2.706359,0.289212,AUT,0.0,0.006830,0.070207,0.001119,neutron,pi-,solid
196,11.0,0.146670,0.700504,0.324232,2.116650,0.483196,AUT,0.0,0.003954,0.070207,0.001010,neutron,pi-,solid
197,11.0,0.170523,0.637023,0.323947,2.240279,0.486667,AUT,0.0,0.004788,0.070207,0.001024,neutron,pi-,solid
198,11.0,0.192384,0.589115,0.323812,2.337852,0.488481,AUT,0.0,0.004136,0.070207,0.001038,neutron,pi-,solid
199,11.0,0.215298,0.546459,0.323748,2.426800,0.489508,AUT,0.0,0.003763,0.070207,0.001054,neutron,pi-,solid
200,11.0,0.242446,0.493641,0.323731,2.467157,0.490771,AUT,0.0,0.003829,0.070207,0.001072,neutron,pi-,solid
201,11.0,0.285984,0.434403,0.325437,2.557878,0.491805,AUT,0.0,0.005536,0.070207,0.001098,neutron,pi-,solid
202,11.0,0.349663,0.388090,0.329570,2.797740,0.491657,AUT,0.0,0.025648,0.070207,0.001131,neutron,pi-,solid
203,11.0,0.170428,0.641389,0.325529,2.237755,0.670384,AUT,0.0,0.003300,0.070207,0.001024,neutron,pi-,solid
204,11.0,0.247577,0.501590,0.326771,2.529887,0.661598,AUT,0.0,0.009175,0.070207,0.001074,neutron,pi-,solid
205,11.0,0.353841,0.389094,0.330303,2.840385,0.639718,AUT,0.0,0.258420,0.070207,0.001133,neutron,pi-,solid
206,11.0,0.171550,0.621330,0.372968,2.191627,0.142639,AUT,0.0,0.002548,0.070207,0.001011,neutron,pi-,solid
207,11.0,0.199631,0.559285,0.373315,2.303313,0.129329,AUT,0.0,0.002641,0.070207,0.001027,neutron,pi-,solid
