i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
0,11.0,0.089861,0.624084,0.322032,1.155111,0.164096,AUT,0.0,0.002940,0.070207,0.001121,neutron,pi+,solid
1,11.0,0.106806,0.594612,0.322757,1.310437,0.153358,AUT,0.0,0.002375,0.070207,0.001147,neutron,pi+,solid
2,11.0,0.118919,0.576234,0.323044,1.414182,0.147178,AUT,0.0,0.002231,0.070207,0.001166,neutron,pi+,solid
3,11.0,0.129139,0.559974,0.323149,1.492434,0.142347,AUT,0.0,0.002228,0.070207,0.001184,neutron,pi+,solid
4,11.0,0.138215,0.542701,0.323387,1.548085,0.137486,AUT,0.0,0.002292,0.070207,0.001200,neutron,pi+,solid
5,11.0,0.146976,0.525284,0.323491,1.593373,0.132691,AUT,0.0,0.002359,0.070207,0.001216,neutron,pi+,solid
6,11.0,0.155998,0.506050,0.323607,1.629221,0.128243,AUT,0.0,0.002433,0.070207,0.001232,neutron,pi+,solid
7,11.0,0.165420,0.487359,0.323749,1.663835,0.123843,AUT,0.0,0.002623,0.070207,0.001249,neutron,pi+,solid
8,11.0,0.175583,0.467637,0.323959,1.694515,0.119367,AUT,0.0,0.002764,0.070207,0.001268,neutron,pi+,solid
9,11.0,0.187600,0.446315,0.324414,1.727804,0.114973,AUT,0.0,0.002915,0.070207,0.001291,neutron,pi+,solid
10,11.0,0.203780,0.422069,0.325705,1.774521,0.111290,AUT,0.0,0.003098,0.070207,0.001321,neutron,pi+,solid
11,11.0,0.230306,0.391671,0.329370,1.858753,0.112069,AUT,0.0,0.003346,0.070207,0.001370,neutron,pi+,solid
12,11.0,0.065328,0.793577,0.321520,1.068291,0.338272,AUT,0.0,0.002219,0.070207,0.001084,neutron,pi+,solid
13,11.0,0.072818,0.740485,0.322377,1.112720,0.323757,AUT,0.0,0.002071,0.070207,0.001095,neutron,pi+,solid
14,11.0,0.077509,0.714084,0.322684,1.142336,0.318969,AUT,0.0,0.002097,0.070207,0.001102,neutron,pi+,solid
15,11.0,0.081390,0.694138,0.322899,1.166071,0.315665,AUT,0.0,0.002047,0.070207,0.001108,neutron,pi+,solid
16,11.0,0.084855,0.680082,0.323004,1.191172,0.312982,AUT,0.0,0.002088,0.070207,0.001113,neutron,pi+,solid
17,11.0,0.088157,0.673317,0.323139,1.225212,0.311360,AUT,0.0,0.002081,0.070207,0.001118,neutron,pi+,solid
18,11.0,0.091354,0.666641,0.323228,1.257066,0.309904,AUT,0.0,0.002150,0.070207,0.001123,neutron,pi+,solid
19,11.0,0.094400,0.660643,0.323325,1.287309,0.308364,AUT,0.0,0.002191,0.070207,0.001127,neutron,pi+,solid
20,11.0,0.097499,0.655166,0.323360,1.318543,0.306883,AUT,0.0,0.002141,0.070207,0.001132,neutron,pi+,solid
21,11.0,0.100696,0.649524,0.323349,1.350046,0.305557,AUT,0.0,0.002167,0.070207,0.001137,neutron,pi+,solid
22,11.0,0.103946,0.644039,0.323490,1.381848,0.304330,AUT,0.0,0.002180,0.070207,0.001142,neutron,pi+,solid
23,11.0,0.107245,0.639124,0.323556,1.414832,0.303181,AUT,0.0,0.002231,0.070207,0.001148,neutron,pi+,solid
24,11.0,0.110545,0.633070,0.323567,1.444548,0.301916,AUT,0.0,0.002290,0.070207,0.001153,neutron,pi+,solid
25,11.0,0.113843,0.627925,0.323644,1.475564,0.300665,AUT,0.0,0.002352,0.070207,0.001158,neutron,pi+,solid
26,11.0,0.117245,0.623027,0.323648,1.507802,0.299785,AUT,0.0,0.002348,0.070207,0.001164,neutron,pi+,solid
27,11.0,0.120744,0.617921,0.323709,1.540073,0.298936,AUT,0.0,0.002436,0.070207,0.001170,neutron,pi+,solid
28,11.0,0.124291,0.612748,0.323759,1.572040,0.298184,AUT,0.0,0.002488,0.070207,0.001176,neutron,pi+,solid
29,11.0,0.127934,0.605526,0.323827,1.599027,0.296983,AUT,0.0,0.002588,0.070207,0.001183,neutron,pi+,solid
30,11.0,0.131769,0.594954,0.323970,1.618175,0.295694,AUT,0.0,0.002672,0.070207,0.001189,neutron,pi+,solid
31,11.0,0.136059,0.582413,0.324042,1.635622,0.294232,AUT,0.0,0.002781,0.070207,0.001197,neutron,pi+,solid
32,11.0,0.140802,0.568912,0.324098,1.653392,0.292699,AUT,0.0,0.003088,0.070207,0.001205,neutron,pi+,solid
