i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
0,11.0,0.085730,0.650076,0.323369,1.143975,0.136724,AUT,0.0,0.008858,0.070207,0.008317,proton,pi+,solid
1,11.0,0.106370,0.580538,0.323904,1.273520,0.130042,AUT,0.0,0.009807,0.070207,0.008190,proton,pi+,solid
2,11.0,0.123286,0.549287,0.324083,1.397188,0.128410,AUT,0.0,0.010058,0.070207,0.008086,proton,pi+,solid
3,11.0,0.140325,0.527135,0.324370,1.526140,0.127547,AUT,0.0,0.009931,0.070207,0.007982,proton,pi+,solid
4,11.0,0.159774,0.495842,0.324698,1.633778,0.126197,AUT,0.0,0.009842,0.070207,0.007867,proton,pi+,solid
5,11.0,0.189295,0.445923,0.325408,1.738236,0.125160,AUT,0.0,0.009133,0.070207,0.007706,proton,pi+,solid
6,11.0,0.229634,0.394305,0.329101,1.865300,0.124200,AUT,0.0,0.015083,0.070207,0.007512,proton,pi+,solid
7,11.0,0.071378,0.749212,0.323220,1.100064,0.312099,AUT,0.0,0.009143,0.070207,0.008409,proton,pi+,solid
8,11.0,0.083909,0.687564,0.323746,1.190222,0.304679,AUT,0.0,0.009123,0.070207,0.008329,proton,pi+,solid
9,11.0,0.093825,0.656278,0.323916,1.270568,0.302118,AUT,0.0,0.009201,0.070207,0.008267,proton,pi+,solid
10,11.0,0.103608,0.631557,0.324005,1.350302,0.300447,AUT,0.0,0.008739,0.070207,0.008207,proton,pi+,solid
11,11.0,0.113607,0.610436,0.324077,1.431146,0.298824,AUT,0.0,0.008530,0.070207,0.008145,proton,pi+,solid
12,11.0,0.123697,0.588812,0.324179,1.503077,0.296650,AUT,0.0,0.008286,0.070207,0.008082,proton,pi+,solid
13,11.0,0.134178,0.565545,0.324428,1.565952,0.294751,AUT,0.0,0.007835,0.070207,0.008017,proton,pi+,solid
14,11.0,0.145935,0.539426,0.324686,1.624281,0.292277,AUT,0.0,0.007528,0.070207,0.007947,proton,pi+,solid
15,11.0,0.161473,0.504227,0.324869,1.679291,0.289707,AUT,0.0,0.006715,0.070207,0.007856,proton,pi+,solid
16,11.0,0.188505,0.452019,0.325505,1.754425,0.285101,AUT,0.0,0.006050,0.070207,0.007710,proton,pi+,solid
17,11.0,0.228883,0.395292,0.329290,1.863646,0.281524,AUT,0.0,0.011200,0.070207,0.007516,proton,pi+,solid
18,11.0,0.069258,0.782448,0.323866,1.114545,0.494386,AUT,0.0,0.006622,0.070207,0.008423,proton,pi+,solid
19,11.0,0.083303,0.718557,0.324164,1.234794,0.491557,AUT,0.0,0.006261,0.070207,0.008333,proton,pi+,solid
20,11.0,0.095080,0.686861,0.324134,1.347491,0.491373,AUT,0.0,0.005933,0.070207,0.008259,proton,pi+,solid
21,11.0,0.106641,0.658364,0.324190,1.448648,0.490801,AUT,0.0,0.005762,0.070207,0.008187,proton,pi+,solid
22,11.0,0.119643,0.622739,0.324283,1.536862,0.489709,AUT,0.0,0.005426,0.070207,0.008106,proton,pi+,solid
23,11.0,0.136547,0.571670,0.324442,1.609321,0.488322,AUT,0.0,0.005374,0.070207,0.008002,proton,pi+,solid
24,11.0,0.164802,0.497084,0.324835,1.684158,0.489585,AUT,0.0,0.005905,0.070207,0.007838,proton,pi+,solid
25,11.0,0.212195,0.415205,0.327082,1.811652,0.492899,AUT,0.0,0.015563,0.070207,0.007593,proton,pi+,solid
26,11.0,0.079819,0.747786,0.325601,1.222164,0.672962,AUT,0.0,0.006387,0.070207,0.008354,proton,pi+,solid
27,11.0,0.116456,0.626498,0.325690,1.494838,0.672168,AUT,0.0,0.006380,0.070207,0.008125,proton,pi+,solid
28,11.0,0.171636,0.480518,0.326855,1.679370,0.670472,AUT,0.0,0.009854,0.070207,0.007802,proton,pi+,solid
