# Q2	x	y	z	pT	obs	target	hadron	value	stat	systrel	systabs
1.1173E+00	6.9053E-02	7.8601E-01	3.2570E-01	2.6911E-01	AUT	proton	pi-	0.0000E+00	8.5210E-03	7.0207E-02	8.9420E-03
1.3604E+00	8.6761E-02	7.5969E-01	3.2844E-01	2.5741E-01	AUT	proton	pi-	0.0000E+00	8.2550E-03	7.0207E-02	8.9360E-03
1.7131E+00	1.1194E-01	7.4301E-01	3.3042E-01	2.4444E-01	AUT	proton	pi-	0.0000E+00	9.3190E-03	7.0207E-02	8.9130E-03
1.2208E+00	7.5548E-02	7.8566E-01	3.2759E-01	4.8718E-01	AUT	proton	pi-	0.0000E+00	1.0844E-02	7.0207E-02	8.9400E-03
1.6864E+00	1.0826E-01	7.5656E-01	3.2994E-01	4.8737E-01	AUT	proton	pi-	0.0000E+00	1.5528E-02	7.0207E-02	8.9160E-03
1.3653E+00	8.5736E-02	7.7659E-01	3.2895E-01	6.9851E-01	AUT	proton	pi-	0.0000E+00	7.1000E-03	7.0207E-02	8.9330E-03
1.3304E+00	9.3105E-02	6.9600E-01	3.7504E-01	1.3579E-01	AUT	proton	pi-	0.0000E+00	8.1460E-03	7.0207E-02	8.9790E-03
1.7880E+00	1.3375E-01	6.4900E-01	3.7873E-01	1.2916E-01	AUT	proton	pi-	0.0000E+00	1.3815E-02	7.0207E-02	8.9410E-03
1.1329E+00	7.4115E-02	7.4382E-01	3.7370E-01	3.0743E-01	AUT	proton	pi-	0.0000E+00	8.1760E-03	7.0207E-02	8.9750E-03
1.3585E+00	9.3861E-02	7.0136E-01	3.7555E-01	3.0209E-01	AUT	proton	pi-	0.0000E+00	8.2420E-03	7.0207E-02	8.9810E-03
1.6916E+00	1.2252E-01	6.7105E-01	3.7747E-01	2.9607E-01	AUT	proton	pi-	0.0000E+00	9.1300E-03	7.0207E-02	8.9570E-03
1.9616E+00	1.6018E-01	5.9337E-01	3.9182E-01	2.8909E-01	AUT	proton	pi-	0.0000E+00	8.0607E-02	7.0207E-02	8.8940E-03
1.1523E+00	7.4391E-02	7.5443E-01	3.7463E-01	4.9016E-01	AUT	proton	pi-	0.0000E+00	9.2630E-03	7.0207E-02	8.9750E-03
1.4780E+00	1.0178E-01	7.0455E-01	3.7624E-01	4.8898E-01	AUT	proton	pi-	0.0000E+00	8.9500E-03	7.0207E-02	8.9760E-03
1.8107E+00	1.3540E-01	6.4905E-01	3.7930E-01	4.8984E-01	AUT	proton	pi-	0.0000E+00	1.7063E-02	7.0207E-02	8.9380E-03
1.3380E+00	8.9475E-02	7.3169E-01	3.7645E-01	7.0798E-01	AUT	proton	pi-	0.0000E+00	6.6820E-03	7.0207E-02	8.9750E-03
1.8380E+00	1.3884E-01	6.4238E-01	3.8074E-01	7.0883E-01	AUT	proton	pi-	0.0000E+00	1.6817E-02	7.0207E-02	8.9330E-03
1.3479E+00	1.0184E-01	6.4594E-01	4.2423E-01	1.3419E-01	AUT	proton	pi-	0.0000E+00	8.9340E-03	7.0207E-02	9.0210E-03
1.7762E+00	1.4662E-01	5.8852E-01	4.2672E-01	1.2799E-01	AUT	proton	pi-	0.0000E+00	1.3459E-02	7.0207E-02	8.9770E-03
1.1552E+00	7.8888E-02	7.1381E-01	4.2346E-01	3.0881E-01	AUT	proton	pi-	0.0000E+00	7.8900E-03	7.0207E-02	9.0080E-03
1.3692E+00	1.0136E-01	6.5471E-01	4.2484E-01	3.0176E-01	AUT	proton	pi-	0.0000E+00	8.2620E-03	7.0207E-02	9.0250E-03
1.6624E+00	1.2986E-01	6.2168E-01	4.2558E-01	2.9636E-01	AUT	proton	pi-	0.0000E+00	8.8420E-03	7.0207E-02	9.0050E-03
1.8932E+00	1.6288E-01	5.6371E-01	4.2939E-01	2.9227E-01	AUT	proton	pi-	0.0000E+00	2.1249E-02	7.0207E-02	8.9410E-03
1.1661E+00	7.7422E-02	7.3445E-01	4.2415E-01	4.9291E-01	AUT	proton	pi-	0.0000E+00	8.5010E-03	7.0207E-02	9.0050E-03
1.4409E+00	1.0491E-01	6.6636E-01	4.2516E-01	4.8977E-01	AUT	proton	pi-	0.0000E+00	8.7020E-03	7.0207E-02	9.0220E-03
1.7487E+00	1.4040E-01	6.0565E-01	4.2651E-01	4.8885E-01	AUT	proton	pi-	0.0000E+00	1.2243E-02	7.0207E-02	8.9870E-03
1.3301E+00	9.3597E-02	6.9879E-01	4.2522E-01	6.8356E-01	AUT	proton	pi-	0.0000E+00	7.7880E-03	7.0207E-02	9.0130E-03
1.8000E+00	1.4810E-01	5.9030E-01	4.2737E-01	6.8520E-01	AUT	proton	pi-	0.0000E+00	1.5142E-02	7.0207E-02	8.9740E-03
1.4112E+00	9.9495E-02	7.0305E-01	4.2704E-01	8.8919E-01	AUT	proton	pi-	0.0000E+00	9.5510E-03	7.0207E-02	9.0060E-03
1.3778E+00	1.1151E-01	6.0464E-01	4.7400E-01	1.3350E-01	AUT	proton	pi-	0.0000E+00	9.4730E-03	7.0207E-02	9.0650E-03
1.7807E+00	1.6182E-01	5.3475E-01	4.7613E-01	1.2705E-01	AUT	proton	pi-	0.0000E+00	1.5427E-02	7.0207E-02	9.0100E-03
1.1844E+00	8.4546E-02	6.8422E-01	4.7346E-01	3.0914E-01	AUT	proton	pi-	0.0000E+00	7.8740E-03	7.0207E-02	9.0430E-03
1.4164E+00	1.1199E-01	6.1323E-01	4.7446E-01	3.0094E-01	AUT	proton	pi-	0.0000E+00	8.4930E-03	7.0207E-02	9.0710E-03
1.7127E+00	1.4816E-01	5.6317E-01	4.7557E-01	2.9526E-01	AUT	proton	pi-	0.0000E+00	9.2170E-03	7.0207E-02	9.0350E-03
1.1927E+00	8.1634E-02	7.1341E-01	4.7395E-01	4.9482E-01	AUT	proton	pi-	0.0000E+00	8.0860E-03	7.0207E-02	9.0360E-03
1.4924E+00	1.1592E-01	6.2580E-01	4.7484E-01	4.8956E-01	AUT	proton	pi-	0.0000E+00	8.7870E-03	7.0207E-02	9.0660E-03
1.7826E+00	1.5838E-01	5.4735E-01	4.7623E-01	4.8870E-01	AUT	proton	pi-	0.0000E+00	1.5421E-02	7.0207E-02	9.0170E-03
1.3064E+00	9.4127E-02	6.8420E-01	4.7478E-01	6.8592E-01	AUT	proton	pi-	0.0000E+00	8.1400E-03	7.0207E-02	9.0490E-03
1.7316E+00	1.5103E-01	5.5828E-01	4.7586E-01	6.8820E-01	AUT	proton	pi-	0.0000E+00	1.2580E-02	7.0207E-02	9.0300E-03
1.4078E+00	1.0420E-01	6.7528E-01	4.7596E-01	9.0449E-01	AUT	proton	pi-	0.0000E+00	8.8190E-03	7.0207E-02	9.0430E-03
