Q2	x	y	z	pT	obs	target	hadron	value	stat	systrel	systabs
1.143975	0.08573	0.650076	0.323369	0.136724	AUT	proton	pi+	0.0	0.008858	0.070207	0.008317
1.27352	0.10637	0.580538	0.32390399999999997	0.13004200000000002	AUT	proton	pi+	0.0	0.009807	0.070207	0.008190000000000001
1.3971879999999999	0.12328599999999999	0.549287	0.324083	0.12841	AUT	proton	pi+	0.0	0.010058	0.070207	0.008086
1.52614	0.140325	0.527135	0.32437	0.127547	AUT	proton	pi+	0.0	0.009931	0.070207	0.007982
1.6337780000000002	0.159774	0.495842	0.324698	0.126197	AUT	proton	pi+	0.0	0.009842	0.070207	0.007867
1.7382360000000001	0.189295	0.44592299999999996	0.325408	0.12516	AUT	proton	pi+	0.0	0.009133	0.070207	0.007706
1.8653	0.229634	0.394305	0.32910100000000003	0.1242	AUT	proton	pi+	0.0	0.015083000000000001	0.070207	0.0075120000000000004
1.100064	0.071378	0.749212	0.32322	0.31209899999999996	AUT	proton	pi+	0.0	0.009143	0.070207	0.008409
1.190222	0.083909	0.6875640000000001	0.323746	0.304679	AUT	proton	pi+	0.0	0.009123000000000001	0.070207	0.008329000000000001
1.270568	0.093825	0.656278	0.323916	0.302118	AUT	proton	pi+	0.0	0.009201	0.070207	0.008267
1.3503020000000001	0.10360799999999999	0.6315569999999999	0.32400500000000004	0.30044699999999996	AUT	proton	pi+	0.0	0.008739	0.070207	0.008206999999999999
1.4311459999999998	0.113607	0.610436	0.324077	0.298824	AUT	proton	pi+	0.0	0.00853	0.070207	0.008145
1.503077	0.123697	0.588812	0.324179	0.29665	AUT	proton	pi+	0.0	0.008286	0.070207	0.008081999999999999
1.565952	0.134178	0.565545	0.324428	0.29475100000000004	AUT	proton	pi+	0.0	0.007835	0.070207	0.008017
1.6242809999999999	0.14593499999999998	0.5394260000000001	0.32468600000000003	0.292277	AUT	proton	pi+	0.0	0.007528	0.070207	0.007947
1.679291	0.161473	0.5042270000000001	0.324869	0.289707	AUT	proton	pi+	0.0	0.0067150000000000005	0.070207	0.007856
1.754425	0.188505	0.45201899999999995	0.32550500000000004	0.28510100000000005	AUT	proton	pi+	0.0	0.00605	0.070207	0.00771
1.863646	0.228883	0.39529200000000003	0.32929	0.281524	AUT	proton	pi+	0.0	0.0112	0.070207	0.007515999999999999
1.1145450000000001	0.069258	0.7824479999999999	0.323866	0.494386	AUT	proton	pi+	0.0	0.006622	0.070207	0.008423
1.234794	0.083303	0.718557	0.324164	0.49155699999999997	AUT	proton	pi+	0.0	0.006261	0.070207	0.008333
1.347491	0.09508	0.6868609999999999	0.32413400000000003	0.49137299999999995	AUT	proton	pi+	0.0	0.005933	0.070207	0.008259
1.448648	0.10664100000000001	0.6583640000000001	0.32419000000000003	0.49080100000000004	AUT	proton	pi+	0.0	0.005762	0.070207	0.008187
1.5368620000000002	0.11964300000000001	0.622739	0.324283	0.489709	AUT	proton	pi+	0.0	0.005425999999999999	0.070207	0.008106
1.609321	0.136547	0.57167	0.324442	0.48832200000000003	AUT	proton	pi+	0.0	0.005374	0.070207	0.008002
1.6841580000000003	0.164802	0.497084	0.324835	0.48958500000000005	AUT	proton	pi+	0.0	0.005905	0.070207	0.007838
1.811652	0.212195	0.415205	0.32708200000000004	0.492899	AUT	proton	pi+	0.0	0.015562999999999999	0.070207	0.007593000000000001
1.222164	0.079819	0.747786	0.32560100000000003	0.672962	AUT	proton	pi+	0.0	0.0063869999999999994	0.070207	0.008354
