Q2	x	y	z	pT	obs	target	hadron	value	error
1.211	0.09	0.663	0.345	0.377	AUTsivers	proton	pi+	0	0.004
1.213	0.09	0.671	0.347	0.52	AUTsivers	proton	pi+	0	0.005
1.216	0.089	0.676	0.347	0.669	AUTsivers	proton	pi+	0	0.006
1.217	0.088	0.681	0.347	0.818	AUTsivers	proton	pi+	0	0.008
1.219	0.087	0.69	0.347	0.967	AUTsivers	proton	pi+	0	0.01
1.222	0.086	0.702	0.349	1.115	AUTsivers	proton	pi+	0	0.015
1.231	0.084	0.72	0.351	1.261	AUTsivers	proton	pi+	0	0.024
1.227	0.08	0.748	0.355	1.407	AUTsivers	proton	pi+	0	0.046
1.311	0.145	0.443	0.347	0.375	AUTsivers	proton	pi+	0	0.007
1.311	0.145	0.444	0.348	0.519	AUTsivers	proton	pi+	0	0.007
1.311	0.145	0.443	0.348	0.668	AUTsivers	proton	pi+	0	0.01
1.313	0.145	0.445	0.347	0.816	AUTsivers	proton	pi+	0	0.013
1.324	0.14	0.463	0.349	0.959	AUTsivers	proton	pi+	0	0.022
1.365	0.131	0.505	0.354	1.101	AUTsivers	proton	pi+	0	0.048
1.426	0.125	0.552	0.361	1.238	AUTsivers	proton	pi+	0	0.162
1.499	0.124	0.584	0.391	1.356	AUTsivers	proton	pi+	0	2.981
1.38	0.207	0.324	0.347	0.101	AUTsivers	proton	pi+	0	0.015
1.382	0.205	0.328	0.349	0.518	AUTsivers	proton	pi+	0	0.012
1.383	0.204	0.331	0.347	0.666	AUTsivers	proton	pi+	0	0.016
1.392	0.194	0.349	0.35	0.799	AUTsivers	proton	pi+	0	0.03
1.448	0.185	0.379	0.365	0.92	AUTsivers	proton	pi+	0	0.19
1.204	0.099	0.594	0.446	0.103	AUTsivers	proton	pi+	0	0.012
1.21	0.09	0.664	0.446	0.523	AUTsivers	proton	pi+	0	0.006
1.214	0.089	0.672	0.447	0.669	AUTsivers	proton	pi+	0	0.007
1.215	0.089	0.678	0.447	0.818	AUTsivers	proton	pi+	0	0.009
1.219	0.088	0.688	0.447	0.967	AUTsivers	proton	pi+	0	0.012
1.221	0.087	0.695	0.447	1.116	AUTsivers	proton	pi+	0	0.017
1.226	0.085	0.708	0.447	1.263	AUTsivers	proton	pi+	0	0.026
1.231	0.082	0.732	0.446	1.41	AUTsivers	proton	pi+	0	0.044
1.309	0.146	0.441	0.447	0.104	AUTsivers	proton	pi+	0	0.012
1.308	0.146	0.439	0.448	0.521	AUTsivers	proton	pi+	0	0.008
1.309	0.146	0.44	0.449	0.668	AUTsivers	proton	pi+	0	0.01
1.31	0.145	0.442	0.449	0.816	AUTsivers	proton	pi+	0	0.014
1.32	0.141	0.456	0.449	0.96	AUTsivers	proton	pi+	0	0.023
1.35	0.133	0.492	0.448	1.105	AUTsivers	proton	pi+	0	0.046
1.407	0.127	0.538	0.45	1.242	AUTsivers	proton	pi+	0	0.125
1.475	0.122	0.585	0.458	1.366	AUTsivers	proton	pi+	0	0.827
1.379	0.207	0.324	0.448	0.105	AUTsivers	proton	pi+	0	0.018
1.381	0.205	0.328	0.449	0.519	AUTsivers	proton	pi+	0	0.013
1.385	0.202	0.333	0.45	0.664	AUTsivers	proton	pi+	0	0.018
1.395	0.195	0.348	0.448	0.804	AUTsivers	proton	pi+	0	0.032
1.444	0.187	0.375	0.447	0.926	AUTsivers	proton	pi+	0	0.137
1.202	0.101	0.585	0.547	0.1	AUTsivers	proton	pi+	0	0.015
1.205	0.095	0.624	0.546	0.232	AUTsivers	proton	pi+	0	0.008
1.208	0.09	0.663	0.546	0.671	AUTsivers	proton	pi+	0	0.008
1.213	0.09	0.671	0.547	0.817	AUTsivers	proton	pi+	0	0.01
1.215	0.089	0.678	0.547	0.966	AUTsivers	proton	pi+	0	0.014
1.219	0.088	0.688	0.546	1.115	AUTsivers	proton	pi+	0	0.021
1.225	0.086	0.703	0.546	1.263	AUTsivers	proton	pi+	0	0.033
1.232	0.082	0.734	0.545	1.412	AUTsivers	proton	pi+	0	0.055
1.308	0.146	0.438	0.548	0.1	AUTsivers	proton	pi+	0	0.014
1.305	0.147	0.434	0.548	0.23	AUTsivers	proton	pi+	0	0.009
