Q2	x	y	z	pT	obs	target	hadron	value	error
1.2518E+00	1.3195E-02	5.5947E-01	3.4636E-01	1.2974E-01	AUTsivers	neutron	k-	0.0000E+00	2.7214E-03
1.2806E+00	3.3420E-02	2.1622E-01	3.4724E-01	1.2523E-01	AUTsivers	neutron	k-	0.0000E+00	4.7151E-03
1.2932E+00	6.7301E-02	1.0761E-01	3.4554E-01	1.2474E-01	AUTsivers	neutron	k-	0.0000E+00	6.9407E-03
1.3415E+00	1.3275E-01	5.6097E-02	3.4753E-01	1.1723E-01	AUTsivers	neutron	k-	0.0000E+00	9.8767E-03
2.0379E+00	2.5312E-02	5.0381E-01	3.4343E-01	1.2902E-01	AUTsivers	neutron	k-	0.0000E+00	2.9958E-03
2.1056E+00	9.2985E-02	1.4089E-01	3.3915E-01	1.2523E-01	AUTsivers	neutron	k-	0.0000E+00	5.8343E-03
2.2609E+00	2.5781E-01	4.7589E-02	3.3373E-01	1.1513E-01	AUTsivers	neutron	k-	0.0000E+00	2.5545E-02
3.2839E+00	4.8545E-02	4.5594E-01	3.4054E-01	1.2953E-01	AUTsivers	neutron	k-	0.0000E+00	3.4317E-03
3.3597E+00	1.7943E-01	1.1338E-01	3.3551E-01	1.2455E-01	AUTsivers	neutron	k-	0.0000E+00	7.2442E-03
7.2344E+00	9.8716E-02	4.8304E-01	3.3932E-01	1.2983E-01	AUTsivers	neutron	k-	0.0000E+00	3.2765E-03
8.6230E+00	3.2994E-01	1.4911E-01	3.3555E-01	1.2812E-01	AUTsivers	neutron	k-	0.0000E+00	8.5253E-03
2.2790E+01	2.5163E-01	5.7996E-01	3.4292E-01	1.3097E-01	AUTsivers	neutron	k-	0.0000E+00	1.5709E-02
1.2004E+00	8.5431E-03	7.6146E-01	3.4673E-01	2.9975E-01	AUTsivers	neutron	k-	0.0000E+00	3.5112E-03
1.2772E+00	1.5238E-02	4.6985E-01	3.4746E-01	2.9816E-01	AUTsivers	neutron	k-	0.0000E+00	2.7321E-03
1.2877E+00	3.2270E-02	2.2472E-01	3.4822E-01	2.9295E-01	AUTsivers	neutron	k-	0.0000E+00	6.2646E-03
1.3081E+00	6.5221E-02	1.1183E-01	3.4858E-01	2.7935E-01	AUTsivers	neutron	k-	0.0000E+00	1.6988E-02
1.3628E+00	1.2715E-01	5.9140E-02	3.5102E-01	2.6657E-01	AUTsivers	neutron	k-	0.0000E+00	1.3981E-02
1.9970E+00	1.6195E-02	6.8419E-01	3.4442E-01	2.9925E-01	AUTsivers	neutron	k-	0.0000E+00	3.1828E-03
2.0871E+00	3.2217E-02	3.6376E-01	3.4504E-01	2.9613E-01	AUTsivers	neutron	k-	0.0000E+00	4.1554E-03
2.1067E+00	6.8698E-02	1.7201E-01	3.4282E-01	2.8605E-01	AUTsivers	neutron	k-	0.0000E+00	8.4733E-03
2.1789E+00	1.3481E-01	8.9868E-02	3.4065E-01	2.7430E-01	AUTsivers	neutron	k-	0.0000E+00	4.0663E-02
2.2842E+00	2.5521E-01	4.8534E-02	3.3658E-01	2.6255E-01	AUTsivers	neutron	k-	0.0000E+00	3.9050E-02
3.2627E+00	3.0392E-02	6.1891E-01	3.4257E-01	2.9901E-01	AUTsivers	neutron	k-	0.0000E+00	3.3830E-03
3.3679E+00	9.3105E-02	2.2652E-01	3.4138E-01	2.8892E-01	AUTsivers	neutron	k-	0.0000E+00	6.5463E-03
3.4970E+00	2.7556E-01	6.9970E-02	3.3652E-01	2.6935E-01	AUTsivers	neutron	k-	0.0000E+00	2.3938E-02
5.3749E+00	8.1416E-02	4.7315E-01	3.4088E-01	2.9617E-01	AUTsivers	neutron	k-	0.0000E+00	3.8926E-03
5.6220E+00	3.0069E-01	1.0524E-01	3.3493E-01	2.7806E-01	AUTsivers	neutron	k-	0.0000E+00	1.8674E-02
1.1340E+01	1.6442E-01	4.7863E-01	3.4028E-01	2.9790E-01	AUTsivers	neutron	k-	0.0000E+00	3.4361E-03
1.3651E+01	5.4485E-01	1.3544E-01	3.4082E-01	2.9005E-01	AUTsivers	neutron	k-	0.0000E+00	2.7058E-02
1.2530E+00	1.2752E-02	5.7844E-01	3.4926E-01	4.8512E-01	AUTsivers	neutron	k-	0.0000E+00	3.0874E-03
1.3081E+00	3.0684E-02	2.3876E-01	3.5174E-01	4.7609E-01	AUTsivers	neutron	k-	0.0000E+00	1.9017E-02
1.3361E+00	6.1632E-02	1.2024E-01	3.5384E-01	4.6153E-01	AUTsivers	neutron	k-	0.0000E+00	2.2048E-01
1.3742E+00	1.2606E-01	6.0121E-02	3.5015E-01	4.5279E-01	AUTsivers	neutron	k-	0.0000E+00	4.9225E-02
2.0032E+00	1.6084E-02	6.9044E-01	3.4674E-01	4.8564E-01	AUTsivers	neutron	k-	0.0000E+00	4.1882E-03
2.1011E+00	3.1472E-02	3.7389E-01	3.4744E-01	4.8127E-01	AUTsivers	neutron	k-	0.0000E+00	8.4763E-03
2.1462E+00	6.4556E-02	1.8558E-01	3.4761E-01	4.6934E-01	AUTsivers	neutron	k-	0.0000E+00	4.9091E-02
2.2995E+00	2.5214E-01	4.9419E-02	3.4031E-01	4.5277E-01	AUTsivers	neutron	k-	0.0000E+00	1.3648E-01
3.3096E+00	3.9918E-02	5.3698E-01	3.4536E-01	4.8262E-01	AUTsivers	neutron	k-	0.0000E+00	5.8729E-03
3.4802E+00	1.4291E-01	1.3956E-01	3.4479E-01	4.6170E-01	AUTsivers	neutron	k-	0.0000E+00	1.2759E-01
5.3931E+00	6.8191E-02	5.3721E-01	3.4411E-01	4.8190E-01	AUTsivers	neutron	k-	0.0000E+00	8.4510E-03
5.7514E+00	2.8317E-01	1.1328E-01	3.3901E-01	4.5870E-01	AUTsivers	neutron	k-	0.0000E+00	5.5929E-02
1.1857E+01	1.4719E-01	5.3492E-01	3.4302E-01	4.8193E-01	AUTsivers	neutron	k-	0.0000E+00	5.6394E-03
1.6949E+01	5.4447E-01	1.6842E-01	3.4483E-01	4.7139E-01	AUTsivers	neutron	k-	0.0000E+00	5.6578E-02
1.2582E+00	1.2128E-02	6.0722E-01	3.5318E-01	6.7328E-01	AUTsivers	neutron	k-	0.0000E+00	7.3125E-03
1.3335E+00	2.8976E-02	2.5562E-01	3.5695E-01	6.6150E-01	AUTsivers	neutron	k-	0.0000E+00	1.4942E-01
2.0509E+00	2.1070E-02	5.9052E-01	3.5116E-01	6.7282E-01	AUTsivers	neutron	k-	0.0000E+00	1.0667E-02
3.3252E+00	3.6135E-02	5.8957E-01	3.4932E-01	6.7193E-01	AUTsivers	neutron	k-	0.0000E+00	3.4808E-02
9.0776E+00	9.4206E-02	6.0897E-01	3.4728E-01	6.7228E-01	AUTsivers	neutron	k-	0.0000E+00	1.1623E-02
2.0955E+01	5.4221E-01	2.0934E-01	3.4865E-01	6.5976E-01	AUTsivers	neutron	k-	0.0000E+00	2.0507E-01
1.2688E+00	1.2042E-02	6.3257E-01	3.5817E-01	8.6405E-01	AUTsivers	neutron	k-	0.0000E+00	5.0704E-02
2.5395E+00	2.3527E-02	6.4677E-01	3.5568E-01	8.6377E-01	AUTsivers	neutron	k-	0.0000E+00	4.6043E-02
9.0403E+00	7.9687E-02	6.8181E-01	3.5179E-01	8.6467E-01	AUTsivers	neutron	k-	0.0000E+00	3.4341E-02
3.3151E+00	2.6900E-02	6.9434E-01	3.5516E-01	1.0712E+00	AUTsivers	neutron	k-	0.0000E+00	5.8105E-02
1.2447E+00	1.3464E-02	5.4765E-01	4.4694E-01	1.3086E-01	AUTsivers	neutron	k-	0.0000E+00	3.1561E-03
1.2775E+00	4.7837E-02	1.7055E-01	4.4840E-01	1.2822E-01	AUTsivers	neutron	k-	0.0000E+00	3.6676E-03
1.3171E+00	1.3787E-01	5.3344E-02	4.5150E-01	1.2282E-01	AUTsivers	neutron	k-	0.0000E+00	8.1438E-03
2.0313E+00	3.9224E-02	3.9430E-01	4.4698E-01	1.3049E-01	AUTsivers	neutron	k-	0.0000E+00	3.1303E-03
2.0923E+00	1.5814E-01	7.6823E-02	4.4999E-01	1.2596E-01	AUTsivers	neutron	k-	0.0000E+00	7.4743E-03
4.3827E+00	7.4905E-02	4.3295E-01	4.4704E-01	1.3036E-01	AUTsivers	neutron	k-	0.0000E+00	3.0325E-03
5.1140E+00	2.9481E-01	9.6267E-02	4.4888E-01	1.2869E-01	AUTsivers	neutron	k-	0.0000E+00	1.1053E-02
1.5790E+01	1.7444E-01	5.8641E-01	4.4684E-01	1.3151E-01	AUTsivers	neutron	k-	0.0000E+00	1.3124E-02
1.2460E+00	1.3363E-02	5.5227E-01	4.4771E-01	3.0168E-01	AUTsivers	neutron	k-	0.0000E+00	2.2701E-03
1.2878E+00	3.2186E-02	2.2517E-01	4.4977E-01	2.9708E-01	AUTsivers	neutron	k-	0.0000E+00	4.5137E-03
1.2934E+00	6.6836E-02	1.0822E-01	4.5103E-01	2.8759E-01	AUTsivers	neutron	k-	0.0000E+00	9.2579E-03
1.3402E+00	1.3181E-01	5.6419E-02	4.5431E-01	2.7354E-01	AUTsivers	neutron	k-	0.0000E+00	9.8844E-03
2.0229E+00	2.5005E-02	5.0665E-01	4.4806E-01	3.0094E-01	AUTsivers	neutron	k-	0.0000E+00	2.6633E-03
2.0749E+00	6.8579E-02	1.6990E-01	4.5007E-01	2.9342E-01	AUTsivers	neutron	k-	0.0000E+00	6.0558E-03
2.1187E+00	1.4614E-01	8.2861E-02	4.5269E-01	2.8304E-01	AUTsivers	neutron	k-	0.0000E+00	8.0045E-03
3.2903E+00	4.6165E-02	4.7815E-01	4.4789E-01	3.0051E-01	AUTsivers	neutron	k-	0.0000E+00	3.3390E-03
3.3921E+00	1.6334E-01	1.2306E-01	4.5063E-01	2.9039E-01	AUTsivers	neutron	k-	0.0000E+00	7.8346E-03
7.1368E+00	9.0121E-02	5.1510E-01	4.4772E-01	3.0087E-01	AUTsivers	neutron	k-	0.0000E+00	3.1958E-03
9.4999E+00	3.0230E-01	1.7626E-01	4.4958E-01	2.9710E-01	AUTsivers	neutron	k-	0.0000E+00	9.5571E-03
1.2472E+00	1.3096E-02	5.6302E-01	4.4948E-01	4.8995E-01	AUTsivers	neutron	k-	0.0000E+00	2.8038E-03
1.2992E+00	3.1150E-02	2.3383E-01	4.5216E-01	4.8361E-01	AUTsivers	neutron	k-	0.0000E+00	9.5394E-03
1.3204E+00	6.3389E-02	1.1598E-01	4.5491E-01	4.6932E-01	AUTsivers	neutron	k-	0.0000E+00	6.4212E-02
1.3645E+00	1.2645E-01	5.9495E-02	4.5785E-01	4.6001E-01	AUTsivers	neutron	k-	0.0000E+00	2.9368E-02
2.0275E+00	2.4053E-02	5.2471E-01	4.4976E-01	4.8885E-01	AUTsivers	neutron	k-	0.0000E+00	3.5472E-03
2.1185E+00	7.5065E-02	1.6703E-01	4.5372E-01	4.7563E-01	AUTsivers	neutron	k-	0.0000E+00	3.9456E-02
2.2362E+00	2.5044E-01	4.8284E-02	4.5811E-01	4.5736E-01	AUTsivers	neutron	k-	0.0000E+00	8.4766E-02
3.3038E+00	4.2898E-02	5.0794E-01	4.4999E-01	4.8817E-01	AUTsivers	neutron	k-	0.0000E+00	4.8827E-03
