Q2	x	y	z	pT	obs	target	hadron	value	error
1.2540E+00	1.3514E-02	5.4710E-01	3.4849E-01	1.2968E-01	AUTsivers	neutron	k+	0.0000E+00	2.3945E-03
1.2795E+00	3.4072E-02	2.1177E-01	3.5087E-01	1.2494E-01	AUTsivers	neutron	k+	0.0000E+00	3.5583E-03
1.2920E+00	6.9166E-02	1.0477E-01	3.5152E-01	1.2488E-01	AUTsivers	neutron	k+	0.0000E+00	4.7089E-03
1.3359E+00	1.3599E-01	5.4527E-02	3.5625E-01	1.1807E-01	AUTsivers	neutron	k+	0.0000E+00	2.5029E-02
2.0262E+00	2.6505E-02	4.7908E-01	3.4940E-01	1.2900E-01	AUTsivers	neutron	k+	0.0000E+00	2.4747E-03
2.0566E+00	7.1043E-02	1.6266E-01	3.5113E-01	1.2711E-01	AUTsivers	neutron	k+	0.0000E+00	3.8088E-03
2.0973E+00	1.4513E-01	8.0943E-02	3.5482E-01	1.2317E-01	AUTsivers	neutron	k+	0.0000E+00	8.0881E-03
2.2080E+00	2.6069E-01	4.5933E-02	3.6014E-01	1.1520E-01	AUTsivers	neutron	k+	0.0000E+00	1.6209E-02
3.3146E+00	5.2440E-02	4.2554E-01	3.4810E-01	1.2947E-01	AUTsivers	neutron	k+	0.0000E+00	2.7045E-03
3.3845E+00	1.5034E-01	1.2644E-01	3.5051E-01	1.2647E-01	AUTsivers	neutron	k+	0.0000E+00	5.2630E-03
3.4785E+00	2.9466E-01	6.5450E-02	3.5439E-01	1.2101E-01	AUTsivers	neutron	k+	0.0000E+00	1.1773E-02
5.3707E+00	1.0243E-01	3.8216E-01	3.4612E-01	1.2932E-01	AUTsivers	neutron	k+	0.0000E+00	3.1566E-03
5.4957E+00	3.2679E-01	9.5622E-02	3.4917E-01	1.2649E-01	AUTsivers	neutron	k+	0.0000E+00	9.8881E-03
1.0308E+01	1.2422E-01	5.1135E-01	3.4393E-01	1.3004E-01	AUTsivers	neutron	k+	0.0000E+00	4.0467E-03
1.0979E+01	3.5091E-01	1.8154E-01	3.4410E-01	1.3071E-01	AUTsivers	neutron	k+	0.0000E+00	8.3586E-03
2.2747E+01	2.7818E-01	5.2989E-01	3.3974E-01	1.3067E-01	AUTsivers	neutron	k+	0.0000E+00	1.1812E-02
1.2013E+00	8.5608E-03	7.6050E-01	3.4826E-01	2.9958E-01	AUTsivers	neutron	k+	0.0000E+00	3.2169E-03
1.2783E+00	1.5451E-02	4.6419E-01	3.4983E-01	2.9811E-01	AUTsivers	neutron	k+	0.0000E+00	2.3364E-03
1.2877E+00	3.2904E-02	2.2055E-01	3.5163E-01	2.9323E-01	AUTsivers	neutron	k+	0.0000E+00	4.7227E-03
1.3065E+00	6.7051E-02	1.0887E-01	3.5413E-01	2.7955E-01	AUTsivers	neutron	k+	0.0000E+00	1.1192E-02
1.3581E+00	1.3081E-01	5.7434E-02	3.5898E-01	2.6712E-01	AUTsivers	neutron	k+	0.0000E+00	1.6342E-01
1.9901E+00	1.6338E-02	6.7607E-01	3.4909E-01	2.9935E-01	AUTsivers	neutron	k+	0.0000E+00	2.7680E-03
2.0679E+00	3.2781E-02	3.5436E-01	3.5188E-01	2.9633E-01	AUTsivers	neutron	k+	0.0000E+00	3.2992E-03
2.0786E+00	7.0280E-02	1.6610E-01	3.5376E-01	2.8657E-01	AUTsivers	neutron	k+	0.0000E+00	6.0687E-03
2.1331E+00	1.3885E-01	8.5707E-02	3.5804E-01	2.7494E-01	AUTsivers	neutron	k+	0.0000E+00	2.6353E-02
2.2382E+00	2.5716E-01	4.7211E-02	3.6268E-01	2.6445E-01	AUTsivers	neutron	k+	0.0000E+00	2.3708E-02
3.2880E+00	3.1155E-02	6.0805E-01	3.4834E-01	2.9875E-01	AUTsivers	neutron	k+	0.0000E+00	2.7915E-03
3.3802E+00	7.0961E-02	2.6808E-01	3.5156E-01	2.9221E-01	AUTsivers	neutron	k+	0.0000E+00	4.3125E-03
3.4284E+00	1.4560E-01	1.3193E-01	3.5367E-01	2.8408E-01	AUTsivers	neutron	k+	0.0000E+00	9.3908E-03
3.5361E+00	2.8336E-01	6.8984E-02	3.5757E-01	2.7028E-01	AUTsivers	neutron	k+	0.0000E+00	7.1524E-02
5.3476E+00	5.9912E-02	5.4254E-01	3.4714E-01	2.9799E-01	AUTsivers	neutron	k+	0.0000E+00	3.0517E-03
5.4753E+00	1.5021E-01	2.0476E-01	3.4939E-01	2.9130E-01	AUTsivers	neutron	k+	0.0000E+00	5.7345E-03
5.5846E+00	2.9998E-01	1.0393E-01	3.5312E-01	2.7980E-01	AUTsivers	neutron	k+	0.0000E+00	1.6636E-02
5.8795E+00	5.0878E-01	6.2065E-02	3.5588E-01	2.7025E-01	AUTsivers	neutron	k+	0.0000E+00	6.0213E-02
8.6931E+00	1.1555E-01	4.8552E-01	3.4646E-01	2.9788E-01	AUTsivers	neutron	k+	0.0000E+00	3.7174E-03
