Q2	x	y	z	pT	obs	target	hadron	value	error
1.2028E+00	8.5583E-03	7.6151E-01	3.4389E-01	1.3044E-01	AUTsivers	neutron	pi-	0.0000E+00	2.0877E-03
1.2711E+00	1.5687E-02	4.5574E-01	3.4377E-01	1.3014E-01	AUTsivers	neutron	pi-	0.0000E+00	1.2388E-03
1.2924E+00	3.2797E-02	2.2163E-01	3.4668E-01	1.2724E-01	AUTsivers	neutron	pi-	0.0000E+00	1.4554E-03
1.2863E+00	7.1931E-02	1.0068E-01	3.4622E-01	1.2315E-01	AUTsivers	neutron	pi-	0.0000E+00	1.5852E-03
1.2965E+00	1.4847E-01	4.8846E-02	3.4555E-01	1.2129E-01	AUTsivers	neutron	pi-	0.0000E+00	1.7600E-03
1.9924E+00	1.6330E-02	6.7730E-01	3.4356E-01	1.3051E-01	AUTsivers	neutron	pi-	0.0000E+00	1.7376E-03
2.0494E+00	3.3580E-02	3.4308E-01	3.4338E-01	1.2958E-01	AUTsivers	neutron	pi-	0.0000E+00	1.4465E-03
2.0651E+00	7.1368E-02	1.6292E-01	3.4479E-01	1.2712E-01	AUTsivers	neutron	pi-	0.0000E+00	1.4939E-03
2.0620E+00	1.5172E-01	7.6468E-02	3.4417E-01	1.2629E-01	AUTsivers	neutron	pi-	0.0000E+00	1.5815E-03
2.1286E+00	2.6467E-01	4.3565E-02	3.4419E-01	1.2456E-01	AUTsivers	neutron	pi-	0.0000E+00	7.4422E-03
3.2659E+00	3.1128E-02	6.0604E-01	3.4308E-01	1.3013E-01	AUTsivers	neutron	pi-	0.0000E+00	1.7479E-03
3.3283E+00	7.1827E-02	2.6071E-01	3.4295E-01	1.3001E-01	AUTsivers	neutron	pi-	0.0000E+00	1.7880E-03
3.3326E+00	1.5185E-01	1.2348E-01	3.4319E-01	1.2917E-01	AUTsivers	neutron	pi-	0.0000E+00	1.8500E-03
3.3716E+00	3.0117E-01	6.2081E-02	3.4350E-01	1.2777E-01	AUTsivers	neutron	pi-	0.0000E+00	2.9312E-03
5.3265E+00	5.9731E-02	5.4364E-01	3.4304E-01	1.3026E-01	AUTsivers	neutron	pi-	0.0000E+00	1.9000E-03
5.4024E+00	1.5228E-01	1.9957E-01	3.4269E-01	1.3054E-01	AUTsivers	neutron	pi-	0.0000E+00	2.3782E-03
