Q2	x	y	z	pT	obs	target	hadron	value	error
1.2042E+00	8.5774E-03	7.6067E-01	3.4396E-01	1.3032E-01	AUTsivers	neutron	pi+	0.0000E+00	2.0835E-03
1.2695E+00	1.5774E-02	4.5271E-01	3.4389E-01	1.3005E-01	AUTsivers	neutron	pi+	0.0000E+00	1.2244E-03
1.2903E+00	3.2964E-02	2.2019E-01	3.4659E-01	1.2720E-01	AUTsivers	neutron	pi+	0.0000E+00	1.4071E-03
1.2844E+00	7.2435E-02	9.9832E-02	3.4658E-01	1.2298E-01	AUTsivers	neutron	pi+	0.0000E+00	1.5297E-03
1.2958E+00	1.4951E-01	4.8472E-02	3.4580E-01	1.2101E-01	AUTsivers	neutron	pi+	0.0000E+00	1.7890E-03
1.9908E+00	1.6357E-02	6.7546E-01	3.4348E-01	1.3043E-01	AUTsivers	neutron	pi+	0.0000E+00	1.7157E-03
2.0495E+00	3.3736E-02	3.4152E-01	3.4401E-01	1.2952E-01	AUTsivers	neutron	pi+	0.0000E+00	1.4040E-03
2.0635E+00	7.1876E-02	1.6165E-01	3.4524E-01	1.2742E-01	AUTsivers	neutron	pi+	0.0000E+00	1.4532E-03
2.0616E+00	1.5249E-01	7.6061E-02	3.4476E-01	1.2647E-01	AUTsivers	neutron	pi+	0.0000E+00	1.6263E-03
2.1274E+00	2.6505E-01	4.3475E-02	3.4504E-01	1.2472E-01	AUTsivers	neutron	pi+	0.0000E+00	7.9057E-03
3.2640E+00	3.1292E-02	6.0255E-01	3.4337E-01	1.3010E-01	AUTsivers	neutron	pi+	0.0000E+00	1.7036E-03
3.3253E+00	7.2191E-02	2.5913E-01	3.4350E-01	1.2992E-01	AUTsivers	neutron	pi+	0.0000E+00	1.7555E-03
3.3349E+00	1.5279E-01	1.2280E-01	3.4384E-01	1.2907E-01	AUTsivers	neutron	pi+	0.0000E+00	1.8911E-03
3.3738E+00	3.0260E-01	6.1863E-02	3.4414E-01	1.2770E-01	AUTsivers	neutron	pi+	0.0000E+00	3.2504E-03
5.2033E+00	3.7151E-02	7.6676E-01	3.4318E-01	1.3082E-01	AUTsivers	neutron	pi+	0.0000E+00	3.1024E-03
5.3874E+00	7.2335E-02	4.1900E-01	3.4331E-01	1.3019E-01	AUTsivers	neutron	pi+	0.0000E+00	2.3668E-03
5.4042E+00	1.5320E-01	1.9838E-01	3.4335E-01	1.3010E-01	AUTsivers	neutron	pi+	0.0000E+00	2.4496E-03
5.4086E+00	3.1374E-01	9.6739E-02	3.4367E-01	1.2953E-01	AUTsivers	neutron	pi+	0.0000E+00	3.3859E-03
5.6450E+00	5.0676E-01	5.9769E-02	3.4378E-01	1.2881E-01	AUTsivers	neutron	pi+	0.0000E+00	4.2169E-02
8.5620E+00	7.1293E-02	6.7721E-01	3.4302E-01	1.3046E-01	AUTsivers	neutron	pi+	0.0000E+00	3.2410E-03
8.7478E+00	1.5354E-01	3.2041E-01	3.4302E-01	1.3059E-01	AUTsivers	neutron	pi+	0.0000E+00	3.3615E-03
8.7604E+00	3.1419E-01	1.5646E-01	3.4312E-01	1.3025E-01	AUTsivers	neutron	pi+	0.0000E+00	4.4677E-03
8.8365E+00	5.3907E-01	8.8609E-02	3.4345E-01	1.3019E-01	AUTsivers	neutron	pi+	0.0000E+00	3.0317E-02
1.4073E+01	2.0765E-01	4.6176E-01	3.4292E-01	1.3020E-01	AUTsivers	neutron	pi+	0.0000E+00	3.3968E-03
1.4267E+01	5.5483E-01	1.3989E-01	3.4299E-01	1.3047E-01	AUTsivers	neutron	pi+	0.0000E+00	3.1309E-02
2.2780E+01	2.7544E-01	5.3686E-01	3.4312E-01	1.3069E-01	AUTsivers	neutron	pi+	0.0000E+00	6.7341E-03
1.2032E+00	8.5728E-03	7.6047E-01	3.4448E-01	2.9960E-01	AUTsivers	neutron	pi+	0.0000E+00	1.5123E-03
1.2712E+00	1.5662E-02	4.5643E-01	3.4489E-01	2.9873E-01	AUTsivers	neutron	pi+	0.0000E+00	9.5944E-04
1.2941E+00	3.2377E-02	2.2476E-01	3.4729E-01	2.9456E-01	AUTsivers	neutron	pi+	0.0000E+00	1.5073E-03
