Q2	x	y	z	pT	obs	target	hadron	value	error
1.2638E+00	1.8090E-02	3.7698E-01	3.4650E-01	1.2854E-01	AUTsivers	proton	k-	0.0000E+00	9.0812E-04
1.3031E+00	7.8739E-02	6.5885E-02	3.4523E-01	1.2431E-01	AUTsivers	proton	k-	0.0000E+00	1.8544E-03
2.4908E+00	3.7113E-02	3.6332E-01	3.4163E-01	1.2889E-01	AUTsivers	proton	k-	0.0000E+00	8.2890E-04
2.8143E+00	1.6925E-01	6.5333E-02	3.3467E-01	1.2311E-01	AUTsivers	proton	k-	0.0000E+00	1.8715E-03
8.2259E+00	1.3144E-01	3.7658E-01	3.3891E-01	1.2977E-01	AUTsivers	proton	k-	0.0000E+00	1.2246E-03
1.2579E+00	1.0723E-02	4.9709E-01	3.4711E-01	2.9973E-01	AUTsivers	proton	k-	0.0000E+00	8.0083E-04
1.2895E+00	4.2078E-02	1.2562E-01	3.4738E-01	2.8828E-01	AUTsivers	proton	k-	0.0000E+00	1.1469E-03
1.3622E+00	1.2733E-01	3.9336E-02	3.5067E-01	2.6727E-01	AUTsivers	proton	k-	0.0000E+00	6.2984E-03
2.0476E+00	2.0654E-02	4.5446E-01	3.4439E-01	2.9826E-01	AUTsivers	proton	k-	0.0000E+00	9.0940E-04
2.1286E+00	8.4186E-02	1.0357E-01	3.4115E-01	2.8373E-01	AUTsivers	proton	k-	0.0000E+00	1.5686E-03
3.3089E+00	3.9216E-02	4.2164E-01	3.4259E-01	2.9630E-01	AUTsivers	proton	k-	0.0000E+00	1.0703E-03
3.4089E+00	1.6099E-01	8.3321E-02	3.3787E-01	2.8054E-01	AUTsivers	proton	k-	0.0000E+00	2.6282E-03
8.1179E+00	8.3567E-02	4.5003E-01	3.4074E-01	2.9766E-01	AUTsivers	proton	k-	0.0000E+00	1.0030E-03
1.1339E+01	3.2814E-01	1.3099E-01	3.3963E-01	2.9083E-01	AUTsivers	proton	k-	0.0000E+00	2.4197E-03
1.2592E+00	1.0538E-02	5.0437E-01	3.4905E-01	4.8645E-01	AUTsivers	proton	k-	0.0000E+00	9.9037E-04
1.3073E+00	3.5729E-02	1.4463E-01	3.5140E-01	4.7283E-01	AUTsivers	proton	k-	0.0000E+00	2.0637E-03
1.3697E+00	1.2586E-01	3.9868E-02	3.5491E-01	4.5492E-01	AUTsivers	proton	k-	0.0000E+00	2.3457E-02
2.0508E+00	1.9021E-02	4.8354E-01	3.4674E-01	4.8552E-01	AUTsivers	proton	k-	0.0000E+00	1.1650E-03
2.1499E+00	7.1923E-02	1.1674E-01	3.4570E-01	4.6716E-01	AUTsivers	proton	k-	0.0000E+00	3.2967E-03
4.0262E+00	3.7438E-02	4.9006E-01	3.4473E-01	4.8413E-01	AUTsivers	proton	k-	0.0000E+00	1.1645E-03
4.8383E+00	1.5154E-01	1.2333E-01	3.4260E-01	4.6690E-01	AUTsivers	proton	k-	0.0000E+00	3.8528E-03
1.2167E+01	1.3086E-01	4.6947E-01	3.4337E-01	4.8442E-01	AUTsivers	proton	k-	0.0000E+00	1.7299E-03
1.2679E+00	1.1433E-02	5.0360E-01	3.5263E-01	6.7396E-01	AUTsivers	proton	k-	0.0000E+00	1.6727E-03
1.3627E+00	6.0966E-02	8.3540E-02	3.5719E-01	6.5499E-01	AUTsivers	proton	k-	0.0000E+00	2.1647E-02
2.5356E+00	2.2097E-02	5.1877E-01	3.4985E-01	6.7480E-01	AUTsivers	proton	k-	0.0000E+00	1.6464E-03
3.1963E+00	1.3497E-01	8.9361E-02	3.4782E-01	6.5059E-01	AUTsivers	proton	k-	0.0000E+00	2.2257E-02
9.2491E+00	7.8488E-02	5.4462E-01	3.4728E-01	6.7391E-01	AUTsivers	proton	k-	0.0000E+00	2.4041E-03
2.9565E+00	1.9576E-02	5.9864E-01	3.5366E-01	8.6553E-01	AUTsivers	proton	k-	0.0000E+00	2.6985E-03
1.6923E+01	1.6224E-01	4.0384E-01	3.5112E-01	8.6126E-01	AUTsivers	proton	k-	0.0000E+00	1.5526E-02
3.7313E+00	2.2541E-02	6.3588E-01	3.6111E-01	1.0751E+00	AUTsivers	proton	k-	0.0000E+00	9.1802E-03
1.2636E+00	2.7140E-02	3.1220E-01	4.4745E-01	1.2958E-01	AUTsivers	proton	k-	0.0000E+00	9.7845E-04
1.3150E+00	1.3791E-01	3.5460E-02	4.5122E-01	1.2240E-01	AUTsivers	proton	k-	0.0000E+00	4.1227E-03
3.1655E+00	3.8565E-02	3.9634E-01	4.4666E-01	1.3039E-01	AUTsivers	proton	k-	0.0000E+00	1.0046E-03
4.4271E+00	1.7284E-01	1.0065E-01	4.4810E-01	1.3022E-01	AUTsivers	proton	k-	0.0000E+00	2.1634E-03
2.2666E+01	1.6948E-01	5.8377E-01	4.4706E-01	1.3066E-01	AUTsivers	proton	k-	0.0000E+00	1.1757E-02
1.2538E+00	1.1167E-02	4.7810E-01	4.4810E-01	3.0195E-01	AUTsivers	proton	k-	0.0000E+00	9.1512E-04
1.2847E+00	4.4830E-02	1.1964E-01	4.4962E-01	2.9301E-01	AUTsivers	proton	k-	0.0000E+00	1.2027E-03
1.3367E+00	1.3100E-01	3.7704E-02	4.5450E-01	2.7436E-01	AUTsivers	proton	k-	0.0000E+00	4.8148E-03
2.0379E+00	3.1254E-02	3.6905E-01	4.4840E-01	2.9968E-01	AUTsivers	proton	k-	0.0000E+00	9.5381E-04
2.1210E+00	1.4516E-01	5.5633E-02	4.5208E-01	2.8322E-01	AUTsivers	proton	k-	0.0000E+00	3.5710E-03
4.9040E+00	6.1283E-02	4.1048E-01	4.4779E-01	3.0072E-01	AUTsivers	proton	k-	0.0000E+00	9.6670E-04
6.9705E+00	2.9353E-01	8.7646E-02	4.5046E-01	2.9176E-01	AUTsivers	proton	k-	0.0000E+00	4.5481E-03
2.2610E+01	1.6879E-01	5.8334E-01	4.4728E-01	3.0251E-01	AUTsivers	proton	k-	0.0000E+00	7.9455E-03
1.2544E+00	1.0924E-02	4.8716E-01	4.4933E-01	4.9124E-01	AUTsivers	proton	k-	0.0000E+00	1.0293E-03
1.2998E+00	3.8772E-02	1.3549E-01	4.5208E-01	4.7960E-01	AUTsivers	proton	k-	0.0000E+00	1.8042E-03
1.3703E+00	1.2689E-01	3.9774E-02	4.5660E-01	4.5954E-01	AUTsivers	proton	k-	0.0000E+00	1.4374E-02
2.4322E+00	2.1715E-02	4.8500E-01	4.4943E-01	4.8982E-01	AUTsivers	proton	k-	0.0000E+00	1.0239E-03
2.7895E+00	8.0115E-02	1.3970E-01	4.5244E-01	4.7839E-01	AUTsivers	proton	k-	0.0000E+00	2.0240E-03
7.8418E+00	8.2130E-02	4.7066E-01	4.4952E-01	4.9080E-01	AUTsivers	proton	k-	0.0000E+00	1.6185E-03
1.2656E+00	1.3594E-02	4.5713E-01	4.5238E-01	6.8015E-01	AUTsivers	proton	k-	0.0000E+00	1.4358E-03
2.9327E+00	2.7241E-02	4.8855E-01	4.5168E-01	6.8058E-01	AUTsivers	proton	k-	0.0000E+00	1.3629E-03
4.7084E+00	1.3714E-01	1.2852E-01	4.5748E-01	6.6369E-01	AUTsivers	proton	k-	0.0000E+00	9.2909E-03
1.1615E+01	9.8076E-02	5.3213E-01	4.5177E-01	6.8181E-01	AUTsivers	proton	k-	0.0000E+00	3.8795E-03
2.9374E+00	2.3461E-02	5.2972E-01	4.5602E-01	8.7200E-01	AUTsivers	proton	k-	0.0000E+00	2.0088E-03
3.1491E+00	2.1191E-02	5.8572E-01	4.6200E-01	1.0937E+00	AUTsivers	proton	k-	0.0000E+00	4.9377E-03
1.3648E+00	7.5364E-03	6.6655E-01	5.4740E-01	1.3165E-01	AUTsivers	proton	k-	0.0000E+00	1.9986E-03
1.5507E+00	1.5575E-02	3.7293E-01	5.4769E-01	1.3138E-01	AUTsivers	proton	k-	0.0000E+00	1.6740E-03
1.5622E+00	3.3047E-02	1.7704E-01	5.4838E-01	1.3120E-01	AUTsivers	proton	k-	0.0000E+00	1.6787E-03
1.5857E+00	6.9204E-02	8.5714E-02	5.4943E-01	1.3017E-01	AUTsivers	proton	k-	0.0000E+00	1.9002E-03
1.6795E+00	1.5287E-01	4.1531E-02	5.5134E-01	1.2676E-01	AUTsivers	proton	k-	0.0000E+00	2.5857E-03
4.6341E+00	4.5095E-02	4.5495E-01	5.4782E-01	1.3127E-01	AUTsivers	proton	k-	0.0000E+00	1.7786E-03
6.1998E+00	1.8683E-01	1.3604E-01	5.4884E-01	1.3012E-01	AUTsivers	proton	k-	0.0000E+00	2.9921E-03
1.2352E+00	7.2498E-03	6.3796E-01	5.4787E-01	3.0409E-01	AUTsivers	proton	k-	0.0000E+00	1.4646E-03
1.2681E+00	1.5481E-02	3.0679E-01	5.4865E-01	3.0327E-01	AUTsivers	proton	k-	0.0000E+00	1.4136E-03
1.2770E+00	3.2881E-02	1.4568E-01	5.4989E-01	2.9912E-01	AUTsivers	proton	k-	0.0000E+00	1.5296E-03
1.2835E+00	6.7482E-02	7.1049E-02	5.5114E-01	2.9571E-01	AUTsivers	proton	k-	0.0000E+00	1.8955E-03
1.3128E+00	1.3478E-01	3.6046E-02	5.5470E-01	2.8169E-01	AUTsivers	proton	k-	0.0000E+00	3.6092E-03
2.0060E+00	1.3784E-02	5.6950E-01	5.4851E-01	3.0410E-01	AUTsivers	proton	k-	0.0000E+00	1.5682E-03
2.0482E+00	3.2981E-02	2.3265E-01	5.4883E-01	3.0297E-01	AUTsivers	proton	k-	0.0000E+00	1.8386E-03
2.0609E+00	6.8768E-02	1.1213E-01	5.4960E-01	2.9993E-01	AUTsivers	proton	k-	0.0000E+00	2.1357E-03
2.0947E+00	1.5254E-01	5.2703E-02	5.5214E-01	2.8982E-01	AUTsivers	proton	k-	0.0000E+00	3.1385E-03
4.1003E+00	2.7981E-02	5.7254E-01	5.4822E-01	3.0400E-01	AUTsivers	proton	k-	0.0000E+00	1.5416E-03
5.5546E+00	7.0079E-02	2.9300E-01	5.4879E-01	3.0340E-01	AUTsivers	proton	k-	0.0000E+00	1.8930E-03
6.5507E+00	1.7971E-01	1.4635E-01	5.5020E-01	2.9988E-01	AUTsivers	proton	k-	0.0000E+00	2.1236E-03
1.0566E+01	5.1683E-01	7.2833E-02	5.4958E-01	2.9790E-01	AUTsivers	proton	k-	0.0000E+00	2.5541E-02
1.2343E+00	7.2391E-03	6.3844E-01	5.4887E-01	4.9476E-01	AUTsivers	proton	k-	0.0000E+00	1.5021E-03
1.2743E+00	1.5325E-02	3.1111E-01	5.4979E-01	4.9324E-01	AUTsivers	proton	k-	0.0000E+00	1.4985E-03
1.2862E+00	3.2038E-02	1.5037E-01	5.5154E-01	4.8817E-01	AUTsivers	proton	k-	0.0000E+00	1.8677E-03
1.3061E+00	6.4635E-02	7.5044E-02	5.5418E-01	4.7612E-01	AUTsivers	proton	k-	0.0000E+00	2.8713E-03
1.3440E+00	1.2678E-01	3.8858E-02	5.5818E-01	4.6349E-01	AUTsivers	proton	k-	0.0000E+00	8.5204E-03
2.3000E+00	1.4388E-02	6.0740E-01	5.4914E-01	4.9448E-01	AUTsivers	proton	k-	0.0000E+00	1.4154E-03
2.5522E+00	3.2650E-02	2.9202E-01	5.5026E-01	4.9223E-01	AUTsivers	proton	k-	0.0000E+00	1.5863E-03
2.6604E+00	6.7645E-02	1.4661E-01	5.5178E-01	4.8663E-01	AUTsivers	proton	k-	0.0000E+00	2.0113E-03
2.9028E+00	1.4613E-01	7.5466E-02	5.5492E-01	4.7711E-01	AUTsivers	proton	k-	0.0000E+00	3.6190E-03
6.9154E+00	5.1956E-02	5.4293E-01	5.4930E-01	4.9390E-01	AUTsivers	proton	k-	0.0000E+00	1.9878E-03
9.5731E+00	1.8116E-01	2.1362E-01	5.5082E-01	4.9227E-01	AUTsivers	proton	k-	0.0000E+00	3.1148E-03
1.3676E+00	7.4997E-03	6.7087E-01	5.5054E-01	6.8790E-01	AUTsivers	proton	k-	0.0000E+00	1.7507E-03
1.5898E+00	1.5296E-02	3.8824E-01	5.5136E-01	6.8585E-01	AUTsivers	proton	k-	0.0000E+00	1.5847E-03
1.7077E+00	3.1237E-02	2.0337E-01	5.5347E-01	6.8070E-01	AUTsivers	proton	k-	0.0000E+00	2.1162E-03
1.8560E+00	6.2924E-02	1.0889E-01	5.5679E-01	6.6999E-01	AUTsivers	proton	k-	0.0000E+00	4.2305E-03
2.0207E+00	1.2731E-01	5.8404E-02	5.6057E-01	6.5951E-01	AUTsivers	proton	k-	0.0000E+00	1.4700E-02
4.1498E+00	2.7556E-02	5.8521E-01	5.5099E-01	6.8677E-01	AUTsivers	proton	k-	0.0000E+00	2.0797E-03
7.0307E+00	8.8042E-02	3.0783E-01	5.5309E-01	6.8232E-01	AUTsivers	proton	k-	0.0000E+00	2.4897E-03
1.2661E+01	2.9039E-01	1.5989E-01	5.5506E-01	6.7624E-01	AUTsivers	proton	k-	0.0000E+00	1.0934E-02
1.7265E+00	1.1986E-02	5.6078E-01	5.5312E-01	8.8078E-01	AUTsivers	proton	k-	0.0000E+00	1.8151E-03
3.2426E+00	3.1598E-02	3.6976E-01	5.5547E-01	8.7669E-01	AUTsivers	proton	k-	0.0000E+00	3.0063E-03
7.2262E+00	8.0387E-02	3.2861E-01	5.5546E-01	8.7464E-01	AUTsivers	proton	k-	0.0000E+00	4.3421E-03
1.6463E+01	2.8839E-01	2.0994E-01	5.5677E-01	8.7075E-01	AUTsivers	proton	k-	0.0000E+00	2.4941E-02
2.2127E+00	1.5580E-02	5.6158E-01	5.5730E-01	1.1068E+00	AUTsivers	proton	k-	0.0000E+00	2.8823E-03
9.4586E+00	8.3917E-02	4.2226E-01	5.5970E-01	1.0961E+00	AUTsivers	proton	k-	0.0000E+00	9.4716E-03
1.4976E+00	1.2494E-02	4.9035E-01	6.4320E-01	1.3212E-01	AUTsivers	proton	k-	0.0000E+00	1.5042E-03
1.5997E+00	3.3403E-02	1.7948E-01	6.4485E-01	1.3146E-01	AUTsivers	proton	k-	0.0000E+00	1.8095E-03
1.6216E+00	7.0965E-02	8.5591E-02	6.4632E-01	1.3079E-01	AUTsivers	proton	k-	0.0000E+00	1.7860E-03
1.7705E+00	1.5903E-01	4.1778E-02	6.4890E-01	1.2878E-01	AUTsivers	proton	k-	0.0000E+00	1.8578E-03
4.5700E+00	4.7492E-02	4.3191E-01	6.5286E-01	1.3228E-01	AUTsivers	proton	k-	0.0000E+00	1.8198E-03
5.3981E+00	2.0479E-01	1.0911E-01	6.6117E-01	1.3085E-01	AUTsivers	proton	k-	0.0000E+00	2.2779E-03
1.2321E+00	7.2819E-03	6.3360E-01	6.4162E-01	3.0571E-01	AUTsivers	proton	k-	0.0000E+00	1.7528E-03
1.2636E+00	1.5621E-02	3.0316E-01	6.4191E-01	3.0481E-01	AUTsivers	proton	k-	0.0000E+00	1.6179E-03
1.2713E+00	3.3227E-02	1.4345E-01	6.4273E-01	3.0259E-01	AUTsivers	proton	k-	0.0000E+00	1.5956E-03
1.2763E+00	6.9617E-02	6.8612E-02	6.4375E-01	2.9929E-01	AUTsivers	proton	k-	0.0000E+00	1.7154E-03
1.3193E+00	1.3561E-01	3.5748E-02	6.4507E-01	2.8829E-01	AUTsivers	proton	k-	0.0000E+00	2.5294E-03
2.0279E+00	1.3990E-02	5.6631E-01	6.4748E-01	3.0571E-01	AUTsivers	proton	k-	0.0000E+00	1.7188E-03
2.0675E+00	3.3447E-02	2.3162E-01	6.4904E-01	3.0522E-01	AUTsivers	proton	k-	0.0000E+00	1.8325E-03
2.0802E+00	7.0743E-02	1.1016E-01	6.5114E-01	3.0246E-01	AUTsivers	proton	k-	0.0000E+00	1.8217E-03
2.1279E+00	1.6274E-01	5.0073E-02	6.5417E-01	2.9502E-01	AUTsivers	proton	k-	0.0000E+00	1.8756E-03
4.0620E+00	2.8473E-02	5.5908E-01	6.5202E-01	3.0538E-01	AUTsivers	proton	k-	0.0000E+00	1.5869E-03
4.6677E+00	7.0817E-02	2.4700E-01	6.5571E-01	3.0559E-01	AUTsivers	proton	k-	0.0000E+00	1.8169E-03
