Q2	x	y	z	pT	obs	target	hadron	value	error
1.2606E+00	1.1414E-02	4.7081E-01	3.4914E-01	1.2920E-01	AUTsivers	proton	k+	0.0000E+00	8.9318E-04
1.2817E+00	5.0515E-02	1.0722E-01	3.5020E-01	1.2595E-01	AUTsivers	proton	k+	0.0000E+00	7.8948E-04
1.3403E+00	1.3868E-01	3.5955E-02	3.5682E-01	1.1826E-01	AUTsivers	proton	k+	0.0000E+00	1.8205E-03
2.0334E+00	2.3674E-02	3.9771E-01	3.4931E-01	1.2910E-01	AUTsivers	proton	k+	0.0000E+00	9.3269E-04
2.0751E+00	1.0184E-01	8.6026E-02	3.5273E-01	1.2587E-01	AUTsivers	proton	k+	0.0000E+00	9.5943E-04
3.3441E+00	7.9456E-02	2.7013E-01	3.4872E-01	1.2894E-01	AUTsivers	proton	k+	0.0000E+00	8.3589E-04
3.4850E+00	2.9591E-01	4.3518E-02	3.5445E-01	1.2112E-01	AUTsivers	proton	k+	0.0000E+00	2.0867E-03
6.4354E+00	9.7811E-02	3.3952E-01	3.4566E-01	1.2999E-01	AUTsivers	proton	k+	0.0000E+00	9.1005E-04
6.8192E+00	3.3671E-01	7.6994E-02	3.4744E-01	1.2761E-01	AUTsivers	proton	k+	0.0000E+00	1.4631E-03
1.6973E+01	2.2572E-01	3.8330E-01	3.4049E-01	1.3095E-01	AUTsivers	proton	k+	0.0000E+00	1.4727E-03
1.2369E+00	7.3025E-03	6.3414E-01	3.4833E-01	2.9995E-01	AUTsivers	proton	k+	0.0000E+00	9.1539E-04
1.2843E+00	1.5252E-02	3.1592E-01	3.5034E-01	2.9919E-01	AUTsivers	proton	k+	0.0000E+00	9.3409E-04
1.2785E+00	3.3380E-02	1.4331E-01	3.5082E-01	2.9166E-01	AUTsivers	proton	k+	0.0000E+00	9.3638E-04
1.3140E+00	6.6548E-02	7.3613E-02	3.5428E-01	2.8063E-01	AUTsivers	proton	k+	0.0000E+00	1.1831E-03
1.3660E+00	1.3243E-01	3.8215E-02	3.5902E-01	2.6662E-01	AUTsivers	proton	k+	0.0000E+00	2.6506E-03
2.0173E+00	1.3872E-02	5.6697E-01	3.4925E-01	2.9997E-01	AUTsivers	proton	k+	0.0000E+00	9.3799E-04
2.0629E+00	3.3381E-02	2.3212E-01	3.5178E-01	2.9508E-01	AUTsivers	proton	k+	0.0000E+00	1.0950E-03
2.0790E+00	6.9283E-02	1.1210E-01	3.5363E-01	2.8760E-01	AUTsivers	proton	k+	0.0000E+00	1.1107E-03
2.1455E+00	1.5056E-01	5.4613E-02	3.5848E-01	2.7419E-01	AUTsivers	proton	k+	0.0000E+00	1.6222E-03
3.3120E+00	2.6846E-02	5.0881E-01	3.4860E-01	2.9870E-01	AUTsivers	proton	k+	0.0000E+00	9.9279E-04
3.4018E+00	1.0235E-01	1.4015E-01	3.5212E-01	2.8909E-01	AUTsivers	proton	k+	0.0000E+00	9.2406E-04
3.5466E+00	2.8543E-01	4.5810E-02	3.5795E-01	2.7006E-01	AUTsivers	proton	k+	0.0000E+00	2.6676E-03
5.4059E+00	8.6680E-02	3.4014E-01	3.4763E-01	2.9597E-01	AUTsivers	proton	k+	0.0000E+00	8.4149E-04
5.6095E+00	3.1386E-01	6.7415E-02	3.5324E-01	2.7944E-01	AUTsivers	proton	k+	0.0000E+00	1.9138E-03
1.0588E+01	1.1002E-01	4.3166E-01	3.4492E-01	2.9880E-01	AUTsivers	proton	k+	0.0000E+00	9.6096E-04
1.1410E+01	3.4602E-01	1.2707E-01	3.4623E-01	2.9278E-01	AUTsivers	proton	k+	0.0000E+00	1.4075E-03
2.2922E+01	2.4665E-01	4.4088E-01	3.4048E-01	3.0101E-01	AUTsivers	proton	k+	0.0000E+00	1.8794E-03
1.2609E+00	1.0955E-02	4.8789E-01	3.5095E-01	4.8651E-01	AUTsivers	proton	k+	0.0000E+00	8.0074E-04
1.3013E+00	3.1638E-02	1.5355E-01	3.5414E-01	4.7503E-01	AUTsivers	proton	k+	0.0000E+00	1.5444E-03
1.3428E+00	6.2921E-02	7.9164E-02	3.5873E-01	4.6083E-01	AUTsivers	proton	k+	0.0000E+00	2.9563E-03
1.3607E+00	1.3150E-01	3.8238E-02	3.6220E-01	4.5101E-01	AUTsivers	proton	k+	0.0000E+00	8.8567E-03
2.0413E+00	2.0334E-02	4.5596E-01	3.5210E-01	4.8534E-01	AUTsivers	proton	k+	0.0000E+00	9.1754E-04
2.1193E+00	6.6170E-02	1.1925E-01	3.5748E-01	4.6871E-01	AUTsivers	proton	k+	0.0000E+00	2.1587E-03
2.1963E+00	1.4049E-01	5.9356E-02	3.6229E-01	4.5759E-01	AUTsivers	proton	k+	0.0000E+00	4.8246E-03
3.3464E+00	3.8466E-02	4.2633E-01	3.5155E-01	4.8323E-01	AUTsivers	proton	k+	0.0000E+00	1.0482E-03
3.5074E+00	1.3737E-01	9.4888E-02	3.5805E-01	4.6367E-01	AUTsivers	proton	k+	0.0000E+00	3.1524E-03
3.5841E+00	2.7707E-01	4.7624E-02	3.6098E-01	4.5496E-01	AUTsivers	proton	k+	0.0000E+00	8.9520E-03
5.4357E+00	7.0970E-02	4.0335E-01	3.5068E-01	4.8158E-01	AUTsivers	proton	k+	0.0000E+00	1.1850E-03
5.7394E+00	2.9260E-01	7.3240E-02	3.5816E-01	4.6006E-01	AUTsivers	proton	k+	0.0000E+00	5.0129E-03
1.1084E+01	1.4386E-01	3.9834E-01	3.4830E-01	4.8260E-01	AUTsivers	proton	k+	0.0000E+00	1.0995E-03
1.3311E+01	5.4477E-01	8.8148E-02	3.5259E-01	4.6566E-01	AUTsivers	proton	k+	0.0000E+00	7.2234E-03
2.3022E+01	2.4026E-01	4.4981E-01	3.4295E-01	4.8653E-01	AUTsivers	proton	k+	0.0000E+00	2.2729E-03
1.2648E+00	1.0371E-02	5.1285E-01	3.5413E-01	6.7539E-01	AUTsivers	proton	k+	0.0000E+00	1.4255E-03
1.3372E+00	3.2674E-02	1.5894E-01	3.5976E-01	6.6051E-01	AUTsivers	proton	k+	0.0000E+00	3.9038E-03
1.3471E+00	1.2390E-01	3.9663E-02	3.6180E-01	6.4528E-01	AUTsivers	proton	k+	0.0000E+00	4.1897E-02
