Q2	x	y	z	pT	obs	target	hadron	value	error
1.2403E+00	7.2975E-03	6.3611E-01	3.4353E-01	1.3044E-01	AUTsivers	proton	pi-	0.0000E+00	6.4393E-04
1.2802E+00	1.5454E-02	3.0976E-01	3.4453E-01	1.2992E-01	AUTsivers	proton	pi-	0.0000E+00	5.9989E-04
1.2906E+00	3.3438E-02	1.4500E-01	3.4656E-01	1.2554E-01	AUTsivers	proton	pi-	0.0000E+00	6.3259E-04
1.2829E+00	7.1692E-02	6.7057E-02	3.4528E-01	1.2426E-01	AUTsivers	proton	pi-	0.0000E+00	5.8233E-04
1.3095E+00	1.5391E-01	3.1958E-02	3.4480E-01	1.2254E-01	AUTsivers	proton	pi-	0.0000E+00	5.9037E-04
2.0149E+00	1.3992E-02	5.6313E-01	3.4314E-01	1.3056E-01	AUTsivers	proton	pi-	0.0000E+00	6.3493E-04
2.0586E+00	3.3352E-02	2.3118E-01	3.4430E-01	1.2848E-01	AUTsivers	proton	pi-	0.0000E+00	6.8621E-04
2.0616E+00	7.1567E-02	1.0798E-01	3.4421E-01	1.2763E-01	AUTsivers	proton	pi-	0.0000E+00	6.5934E-04
2.0597E+00	1.5122E-01	5.1047E-02	3.4370E-01	1.2686E-01	AUTsivers	proton	pi-	0.0000E+00	6.6647E-04
3.2817E+00	2.6977E-02	5.0405E-01	3.4327E-01	1.3032E-01	AUTsivers	proton	pi-	0.0000E+00	6.8747E-04
3.3296E+00	7.1441E-02	1.7468E-01	3.4293E-01	1.3018E-01	AUTsivers	proton	pi-	0.0000E+00	8.2524E-04
3.3351E+00	1.5175E-01	8.2362E-02	3.4305E-01	1.2947E-01	AUTsivers	proton	pi-	0.0000E+00	8.2376E-04
3.3809E+00	3.0194E-01	4.1410E-02	3.4324E-01	1.2801E-01	AUTsivers	proton	pi-	0.0000E+00	9.9717E-04
5.3495E+00	5.1861E-02	4.6045E-01	3.4274E-01	1.3049E-01	AUTsivers	proton	pi-	0.0000E+00	7.8048E-04
5.4107E+00	2.2081E-01	1.0399E-01	3.4262E-01	1.2993E-01	AUTsivers	proton	pi-	0.0000E+00	8.0536E-04
5.6463E+00	5.0674E-01	3.9830E-02	3.4266E-01	1.2954E-01	AUTsivers	proton	pi-	0.0000E+00	3.9220E-03
8.7133E+00	1.5311E-01	3.4009E-01	3.4270E-01	1.3005E-01	AUTsivers	proton	pi-	0.0000E+00	8.1566E-04
8.8512E+00	5.3861E-01	5.9188E-02	3.4217E-01	1.3008E-01	AUTsivers	proton	pi-	0.0000E+00	4.0089E-03
1.6667E+01	2.0698E-01	4.1234E-01	3.4239E-01	1.3066E-01	AUTsivers	proton	pi-	0.0000E+00	1.0053E-03
1.2398E+00	7.2975E-03	6.3589E-01	3.4450E-01	2.9988E-01	AUTsivers	proton	pi-	0.0000E+00	4.6187E-04
1.2829E+00	1.5327E-02	3.1276E-01	3.4565E-01	2.9893E-01	AUTsivers	proton	pi-	0.0000E+00	4.4346E-04
1.2912E+00	3.2744E-02	1.4789E-01	3.4667E-01	2.9509E-01	AUTsivers	proton	pi-	0.0000E+00	5.1310E-04
1.2979E+00	6.9118E-02	7.0282E-02	3.4780E-01	2.8264E-01	AUTsivers	proton	pi-	0.0000E+00	5.9497E-04
1.3310E+00	1.4719E-01	3.3910E-02	3.4980E-01	2.6429E-01	AUTsivers	proton	pi-	0.0000E+00	8.1955E-04
1.9220E+00	8.7527E-03	7.9071E-01	3.4414E-01	3.0036E-01	AUTsivers	proton	pi-	0.0000E+00	9.0833E-04
2.0474E+00	1.5702E-02	4.8869E-01	3.4403E-01	2.9987E-01	AUTsivers	proton	pi-	0.0000E+00	5.2888E-04
2.0764E+00	3.2773E-02	2.3735E-01	3.4600E-01	2.9664E-01	AUTsivers	proton	pi-	0.0000E+00	5.3347E-04
2.0819E+00	7.0191E-02	1.1107E-01	3.4714E-01	2.8865E-01	AUTsivers	proton	pi-	0.0000E+00	5.9001E-04
2.1021E+00	1.4658E-01	5.3642E-02	3.4830E-01	2.7468E-01	AUTsivers	proton	pi-	0.0000E+00	7.1034E-04
3.2271E+00	1.6647E-02	7.1318E-01	3.4369E-01	3.0040E-01	AUTsivers	proton	pi-	0.0000E+00	7.8306E-04
3.3301E+00	3.3489E-02	3.7230E-01	3.4414E-01	2.9867E-01	AUTsivers	proton	pi-	0.0000E+00	6.4163E-04
3.3635E+00	7.0703E-02	1.7829E-01	3.4578E-01	2.9332E-01	AUTsivers	proton	pi-	0.0000E+00	6.4835E-04
3.3838E+00	1.4911E-01	8.4931E-02	3.4648E-01	2.8530E-01	AUTsivers	proton	pi-	0.0000E+00	7.1931E-04
